
[00:00:00.000 --> 00:00:04.000]  我不曉得大家在現在的一個
[00:00:04.000 --> 00:00:06.000]  你應該是比較熟悉的是
[00:00:06.000 --> 00:00:09.000]  在你的現在的Smartphone
[00:00:09.000 --> 00:00:10.000]  智能電話裡面
[00:00:10.000 --> 00:00:12.000]  你都在線上
[00:00:12.000 --> 00:00:15.000]  或者說你在上網電腦的時候
[00:00:15.000 --> 00:00:19.000]  這個Online就是在那個線上
[00:00:19.000 --> 00:00:23.000]  你每天都會在線上嗎
[00:00:23.000 --> 00:00:26.000]  還是你現在已經在線上
[00:00:26.000 --> 00:00:28.000]  我猜大概你都
[00:00:28.000 --> 00:00:30.000]  至少是都在線上
[00:00:30.000 --> 00:00:32.000]  所以這個連線
[00:00:32.000 --> 00:00:34.000]  大概你是在線上的
[00:00:34.000 --> 00:00:36.000]  通常你在線上的
[00:00:36.000 --> 00:00:40.000]  是跟哪些人連線的
[00:00:40.000 --> 00:00:43.000]  跟你你的朋友吧
[00:00:43.000 --> 00:00:45.000]  起碼就是跟你朋友
[00:00:45.000 --> 00:00:47.000]  跟你旁邊的人都是你的朋友
[00:00:47.000 --> 00:00:48.000]  就是在線上
[00:00:48.000 --> 00:00:50.000]  同樣保倫那個時候
[00:00:50.000 --> 00:00:53.000]  我相信他在他的人生當中
[00:00:53.000 --> 00:00:56.000]  他也是跟不同的人連線
[00:00:56.000 --> 00:01:01.000]  他那個時候沒有電腦網絡發達
[00:01:01.000 --> 00:01:03.000]  但他也是在線上
[00:01:03.000 --> 00:01:05.000]  他身邊有不同的朋友
[00:01:05.000 --> 00:01:08.000]  其實線上這個字
[00:01:08.000 --> 00:01:10.000]  也不是現代的名詞
[00:01:10.000 --> 00:01:11.000]  你知道在以前古代的時候
[00:01:11.000 --> 00:01:13.000]  也用這個詞嗎
[00:01:13.000 --> 00:01:15.000]  如果你有看武俠小說
[00:01:15.000 --> 00:01:16.000]  武俠小說裡面
[00:01:16.000 --> 00:01:18.000]  有時候我們就看到一些對白
[00:01:18.000 --> 00:01:19.000]  是這樣子
[00:01:19.000 --> 00:01:21.000]  你是哪條線上的朋友
[00:01:21.000 --> 00:01:23.000]  我不曉得你有沒有看過武俠小說
[00:01:23.000 --> 00:01:26.000]  但是問你是哪一條線上的朋友
[00:01:26.000 --> 00:01:29.000]  你是跟我是不是一同道中人
[00:01:29.000 --> 00:01:30.000]  所以這個在線上
[00:01:30.000 --> 00:01:32.000]  大概是已經很古老
[00:01:32.000 --> 00:01:34.000]  已經有的這個名詞
