
[00:00:00.000 --> 00:00:05.000]  願意我們在新一年一同作為合乎神心意的群體
[00:00:05.000 --> 00:00:07.000]  我們作為一個信仰群體一齊去成長
[00:00:07.000 --> 00:00:09.000]  一齊去跟主腳蹤
[00:00:09.000 --> 00:00:10.000]  如果你有聖經在手的話
[00:00:10.000 --> 00:00:12.000]  我邀請你一齊去擁抱神的話
[00:00:12.000 --> 00:00:14.000]  我們一齊祈禱
[00:00:14.000 --> 00:00:15.000]  英雄上帝我們多謝你
[00:00:15.000 --> 00:00:18.000]  讓我們可以再被你招聚在一起
[00:00:18.000 --> 00:00:21.000]  一起向你獻上我們的頌讚
[00:00:21.000 --> 00:00:22.000]  獻上我們的敬拜
[00:00:22.000 --> 00:00:25.000]  因為你是配得我們一切的敬拜
[00:00:25.000 --> 00:00:28.000]  我們也禱告求你幫助我們
[00:00:28.000 --> 00:00:31.000]  能夠更多地去愛主你
[00:00:31.000 --> 00:00:34.000]  更多地去忠心地去跟隨耶穌
[00:00:34.000 --> 00:00:37.000]  要我們能夠忠於耶穌給我們的使命
[00:00:37.000 --> 00:00:38.000]  我們將以下時間交上
[00:00:38.000 --> 00:00:40.000]  求你親切地向我們講說話
[00:00:40.000 --> 00:00:42.000]  讓我們看見你的宏美
[00:00:42.000 --> 00:00:43.000]  觸動我們的心靈
[00:00:43.000 --> 00:00:45.000]  改變我們的生命
[00:00:45.000 --> 00:00:46.000]  聽我們的祈禱
[00:00:46.000 --> 00:00:48.000]  奉靠耶穌基督得聖恩賜祈求
[00:00:48.000 --> 00:00:50.000]  阿們
[00:00:50.000 --> 00:00:53.000]  不知道你們會不會有人在香港也會開車
[00:00:53.000 --> 00:00:55.000]  在國內也會開車
[00:00:55.000 --> 00:00:57.000]  有的話我也向你們致敬
[00:00:57.000 --> 00:00:59.000]  因為這是非常不簡單的事情
[00:00:59.000 --> 00:01:01.000]  你在香港開車
[00:01:01.000 --> 00:01:03.000]  不代表你在內地開車
[00:01:03.000 --> 00:01:05.000]  因為裡面的交通情況很不同
[00:01:05.000 --> 00:01:07.000]  反過來你在內地開車
[00:01:07.000 --> 00:01:09.000]  也不代表你習慣在香港開車
[00:01:09.000 --> 00:01:10.000]  因為你會發覺
[00:01:10.000 --> 00:01:11.000]  不可以轉嗎?
[00:01:11.000 --> 00:01:12.000]  為什麼不行?
[00:01:12.000 --> 00:01:13.000]  這個情況
[00:01:13.000 --> 00:01:15.000]  如果你有去過內地旅行的話
[00:01:15.000 --> 00:01:17.000]  你也知道路面情況
[00:01:17.000 --> 00:01:20.000]  是跟香港有很大的出入
[00:01:20.000 --> 00:01:23.000]  我自己曾經在內地短暫的時間
[00:01:23.000 --> 00:01:25.000]  在那兩星期裡
[00:01:25.000 --> 00:01:27.000]  我也沒有開車只是踩單車
[00:01:27.000 --> 00:01:29.000]  但是我要適應到
[00:01:29.000 --> 00:01:31.000]  在內地可以踩單車的時候
[00:01:31.000 --> 00:01:32.000]  跟我習慣了
[00:01:32.000 --> 00:01:34.000]  我回到美國讀書的時候
[00:01:34.000 --> 00:01:35.000]  我覺得我開不了車
[00:01:35.000 --> 00:01:36.000]  我不在美國開車
[00:01:36.000 --> 00:01:37.000]  很不習慣
[00:01:37.000 --> 00:01:40.000]  因為整個環境
[00:01:40.000 --> 00:01:41.000]  什麼時候可以轉
[00:01:41.000 --> 00:01:42.000]  什麼時候不可以轉
[00:01:42.000 --> 00:01:43.000]  怎樣出怎樣入
[00:01:43.000 --> 00:01:45.000]  都是很不同的
[00:01:45.000 --> 00:01:46.000]  你明白到
[00:01:46.000 --> 00:01:49.000]  在香港和在內地的交通路面情況不同
[00:01:49.000 --> 00:01:52.000]  其實在美國也會是這樣的
[00:01:52.000 --> 00:01:55.000]  大城市和小鎮可以是很不同的
[00:01:55.000 --> 00:01:58.000]  我的阿姨和姨丈
[00:01:58.000 --> 00:02:01.000]  他們住在Pennsylvania Philadelphia
[00:02:01.000 --> 00:02:03.000]  即是費城附近
[00:02:03.000 --> 00:02:07.000]  是一個比較偏遠的郊區地方
[00:02:07.000 --> 00:02:10.000]  所以是一個很安心很寧靜
[00:02:10.000 --> 00:02:12.000]  你怎樣開車都可以
[00:02:12.000 --> 00:02:13.000]  你喜歡怎樣拍
[00:02:13.000 --> 00:02:15.000]  甚麼時候都可以拍的日子
[00:02:15.000 --> 00:02:19.000]  他們偶爾會去到紐約
[00:02:19.000 --> 00:02:20.000]  去到紐約開車
[00:02:20.000 --> 00:02:21.000]  整件事就完全不同了
[00:02:21.000 --> 00:02:23.000]  紐約人都不敢去紐約開車
[00:02:23.000 --> 00:02:25.000]  你拍位
[00:02:25.000 --> 00:02:26.000]  日日吃出來
[00:02:26.000 --> 00:02:28.000]  那些全部都很不同的玩法
[00:02:28.000 --> 00:02:31.000]  他們在紐約開車就很緊張
[00:02:31.000 --> 00:02:33.000]  整個硬梆梆的
[00:02:33.000 --> 00:02:35.000]  我試過有一次去探望他們
[00:02:35.000 --> 00:02:38.000]  他們特意由紐約來見我們
[00:02:38.000 --> 00:02:41.000]  然後送我們回到他們那邊
[00:02:41.000 --> 00:02:42.000]  去費城的話
