
[00:00:00.000 --> 00:00:01.520]  各位大英姐妹午安
[00:00:01.520 --> 00:00:05.480]  今日我的講題是「我忍耐」
[00:00:05.480 --> 00:00:09.460]  「忍」和「耐」中間用了省略號
[00:00:09.460 --> 00:00:12.400]  我這樣做是給大家一些想像空間
[00:00:12.400 --> 00:00:15.880]  你就填充題 你填上你自己想填的字
[00:00:15.880 --> 00:00:19.440]  我忍到幾耐呢
[00:00:19.440 --> 00:00:21.440]  我又忍了好耐了
[00:00:21.440 --> 00:00:25.040]  或者你想跟我忍說 我忍了你好耐了
[00:00:25.040 --> 00:00:28.160]  或者就是 我忍忍忍忍忍
[00:00:28.160 --> 00:00:29.680]  忍了好耐了 總之
[00:00:29.680 --> 00:00:32.620]  是說不出的一種忍耐
[00:00:32.620 --> 00:00:37.220]  從小到大其實我們都學習到
[00:00:37.220 --> 00:00:38.920]  忍耐是一種美德
[00:00:38.920 --> 00:00:40.720]  父母這樣跟我們說
[00:00:40.720 --> 00:00:42.840]  我們的老師會這樣跟我們說
[00:00:42.840 --> 00:00:44.840]  忍耐是一種美德
[00:00:44.840 --> 00:00:49.440]  我們都這樣去教導我們的下一代要忍耐
[00:00:49.440 --> 00:00:53.280]  在形容這個忍耐的成語裡面有很多
[00:00:53.280 --> 00:00:54.600]  不知道大家能否想到
[00:00:54.600 --> 00:00:57.640]  那些艷語的成語
[00:00:57.640 --> 00:01:00.440]  百忍成金 有沒有聽過 百忍成金
[00:01:00.440 --> 00:01:03.120]  小不忍則執亂大謀
[00:01:03.120 --> 00:01:05.240]  又說忍辱負重
[00:01:05.240 --> 00:01:08.760]  還有忍一時之喜免百日之憂
[00:01:08.760 --> 00:01:11.720]  或者是忍一時風平浪靜
[00:01:11.720 --> 00:01:14.240]  退一步則海闊天空
[00:01:14.240 --> 00:01:17.040]  就是有這些的艷語
[00:01:17.040 --> 00:01:20.680]  其實忍耐也是神的屬性之一
[00:01:20.680 --> 00:01:24.120]  就是屬於神的一種美德
[00:01:24.120 --> 00:01:28.040]  在彼得前書第三章二十節描述到方舟事件
[00:01:28.040 --> 00:01:30.880]  羅亞建造方舟是需要時間的
[00:01:30.880 --> 00:01:33.680]  大約都要一年的時間 專家認為
[00:01:33.680 --> 00:01:38.680]  神就藉著這一年的時間去容忍等待
[00:01:38.680 --> 00:01:42.640]  彼得前書第三章二十節說到容忍等待
[00:01:42.640 --> 00:01:45.520]  讓人有時間去悔改
[00:01:45.520 --> 00:01:48.400]  在提摩太前書一章十六節也提到
[00:01:48.400 --> 00:01:51.880]  保羅見證主耶穌對他的拯救
[00:01:51.880 --> 00:01:54.280]  顯明了主對他的忍耐
[00:01:54.280 --> 00:01:56.680]  然而我夢了憐憫
[00:01:56.680 --> 00:02:00.480]  是因耶穌基督要在我者罪魁身上
[00:02:00.480 --> 00:02:02.280]  顯明他一切的忍耐
[00:02:02.280 --> 00:02:07.000]  給後來信他得永生的人做榜樣
[00:02:07.000 --> 00:02:09.640]  還有哥倫多前書第十三章
[00:02:09.640 --> 00:02:12.800]  愛的篇章 大家都很熟悉
[00:02:12.800 --> 00:02:14.080]  他形容愛是怎樣
[00:02:14.080 --> 00:02:18.080]  第一句是愛是恆久忍耐
[00:02:18.080 --> 00:02:20.000]  愛就是恆久忍耐
[00:02:20.000 --> 00:02:23.640]  還有下第七節說到凡事忍耐
[00:02:23.640 --> 00:02:25.360]  因為我們知道神就是愛
[00:02:25.360 --> 00:02:29.080]  所以忍耐也是屬於神的一種美德
[00:02:29.080 --> 00:02:33.440]  一種性情 我們說是神的屬性
[00:02:33.440 --> 00:02:38.560]  不過也有形容忍耐是有限度的
[00:02:38.560 --> 00:02:41.200]  通常我們說忍無可忍
[00:02:41.200 --> 00:02:42.880]  是可忍 屬不可忍
[00:02:42.880 --> 00:02:45.000]  就是說這樣也能忍 什麼也能忍
[00:02:45.000 --> 00:02:47.800]  就是說不能忍了
[00:02:47.800 --> 00:02:51.040]  原來聖經甚至也記載過
[00:02:51.040 --> 00:02:54.240]  主耶穌也有不耐煩的時候
[00:02:54.240 --> 00:02:58.000]  在馬太福音十七章十七節
[00:02:58.000 --> 00:03:04.160]  耶穌說 這又不順又撥謀的世代
[00:03:04.160 --> 00:03:07.760]  我在你們這裏要到幾時呢
[00:03:07.760 --> 00:03:10.600]  我忍耐你們要到幾時呢
[00:03:10.600 --> 00:03:13.400]  把他帶到我這裏來吧
[00:03:13.400 --> 00:03:15.920]  主耶穌說完這番話之後
[00:03:15.920 --> 00:03:17.960]  雖然表達了他的情緒
[00:03:17.960 --> 00:03:21.000]  他真的覺得很辛苦 忍耐這幫人
[00:03:21.000 --> 00:03:24.040]  但他也醫好了患癲癇病的孩子
[00:03:24.040 --> 00:03:27.880]  並且在他身上趕出烏龜
[00:03:27.880 --> 00:03:31.040]  無論如何 忍耐也是一種美德
[00:03:31.040 --> 00:03:33.720]  那根據聖經的教導
[00:03:33.720 --> 00:03:35.720]  忍耐有什麼益處呢
[00:03:35.720 --> 00:03:38.200]  忍耐對我們有什麼益處呢
[00:03:38.200 --> 00:03:40.440]  我們看看在《雅各書》這本書
[00:03:40.440 --> 00:03:44.000]  即是《雅各書》裏面 起初就勉勵信徒
