
[00:00:00.000 --> 00:00:02.820]  《時事記》的七章尾
[00:00:02.820 --> 00:00:06.480]  今日繼續會講
[00:00:06.480 --> 00:00:09.340]  《時事記》、《基殿》的故事
[00:00:09.340 --> 00:00:12.740]  你說為什麼《基殿》有這麼長的故事呢?
[00:00:12.740 --> 00:00:15.000]  有三章的經文
[00:00:15.000 --> 00:00:18.520]  《時事記》第六章、第七章和第八章
[00:00:18.520 --> 00:00:22.400]  是比任何的《時事記》更長的篇幅
[00:00:22.400 --> 00:00:25.240]  很感謝Winnie為我們揀歌
[00:00:25.240 --> 00:00:30.180]  今天我們看到有憑著信心來戰爭
[00:00:30.180 --> 00:00:32.100]  為主作戰
[00:00:32.100 --> 00:00:35.600]  非常之和我們今天的講題吻合
[00:00:35.600 --> 00:00:38.160]  今天要講到《基殿》
[00:00:38.160 --> 00:00:41.320]  如何大敗他們的敵人
[00:00:41.320 --> 00:00:43.300]  今天的副標題叫做
[00:00:43.300 --> 00:00:46.120]  「放出瓦氣中的光」
[00:00:46.120 --> 00:00:49.340]  其實這就是他們的戰略
[00:00:49.340 --> 00:00:52.640]  就是將火把放在瓦氣裏面
[00:00:52.640 --> 00:00:54.280]  別人看不到
[00:00:54.280 --> 00:00:56.860]  然後將瓦氣打碎
[00:00:56.860 --> 00:00:59.600]  突然間將光放出來
[00:00:59.600 --> 00:01:02.760]  你說這個戰略對我們新約的基督徒
[00:01:02.760 --> 00:01:05.080]  有什麼教導呢?
[00:01:05.080 --> 00:01:07.040]  我們學到什麼呢?
[00:01:07.040 --> 00:01:10.560]  其實等一會我們去到結尾的時候
[00:01:10.560 --> 00:01:12.280]  我們就會回來看一點
[00:01:12.280 --> 00:01:18.900]  其實和我們基督徒有莫大的連帶關係
[00:01:18.900 --> 00:01:20.800]  回顧一下
[00:01:20.800 --> 00:01:26.120]  我們講到基殿神差派他去帶領以色列人
[00:01:26.120 --> 00:01:28.520]  來跟米甸人爭戰
[00:01:28.520 --> 00:01:33.840]  由三萬二千的士兵減到三百人
