
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,早安。
[00:00:02.000 --> 00:00:06.000]  中秋節雖然已經過了,
[00:00:06.000 --> 00:00:11.000]  仍然祝願各人家人常常團聚,
[00:00:11.000 --> 00:00:13.000]  生命時時都圓滿。
[00:00:13.000 --> 00:00:18.000]  蘋果電腦的創辦人,喬布斯,
[00:00:18.000 --> 00:00:24.000]  有一次在史丹福大學的畢業禮演講,
[00:00:24.000 --> 00:00:26.000]  這個演講也很出名的,
[00:00:26.000 --> 00:00:31.000]  他講到人不應該盲從其他人的想法,
[00:00:31.000 --> 00:00:34.000]  不應該活其他人的生活,
[00:00:34.000 --> 00:00:37.000]  而應敢於去實現自己的夢想。
[00:00:37.000 --> 00:00:41.000]  這個演講最後的兩句,
[00:00:41.000 --> 00:00:44.000]  變成了金句,
[00:00:44.000 --> 00:00:49.000]  就是「Stay hungry, stay foolish」。
[00:00:49.000 --> 00:00:54.000]  如果我們將這兩句說話抽離喬布斯的演講的話,
[00:00:54.000 --> 00:00:58.000]  這兩句說話又差不多變得沒什麼意義,
[00:00:58.000 --> 00:01:01.000]  因為根本不需要「Stay foolish」,
[00:01:01.000 --> 00:01:04.000]  因為很多人本身就是「Foolish」,
[00:01:04.000 --> 00:01:08.000]  也不用「Stay hungry」,
[00:01:08.000 --> 00:01:11.000]  很多人的本性已經是飢餓無比,
[00:01:11.000 --> 00:01:14.000]  甚至飢不擇食。
[00:01:14.000 --> 00:01:16.000]  世界上最差的人,
[00:01:16.000 --> 00:01:21.000]  可能就是那些又「Hungry」又「Foolish」的人,
[00:01:21.000 --> 00:01:24.000]  他們對權力飢餓,
[00:01:24.000 --> 00:01:26.000]  卻又是「愚不可及」,
[00:01:26.000 --> 00:01:31.000]  最後「禍己害人,遺臭萬年」。
[00:01:31.000 --> 00:01:35.000]  我們會不會又是飢餓又是愚蠢的人呢?
[00:01:35.000 --> 00:01:41.000]  人有很多層次,很多種類的飢餓,
[00:01:41.000 --> 00:01:43.000]  很多渴望,
[00:01:43.000 --> 00:01:47.000]  我們會肚餓,會口渴,
[00:01:47.000 --> 00:01:49.000]  我們想呼吸,
[00:01:49.000 --> 00:01:53.000]  這些都是身體上的飢餓。
[00:01:53.000 --> 00:01:57.000]  我們不想被人無端端拘捕,
[00:01:57.000 --> 00:01:59.000]  我們不想打仗,
[00:01:59.000 --> 00:02:01.000]  我們不想死,
[00:02:01.000 --> 00:02:04.000]  我們不想辛苦賺回來的錢被人搶走,
[00:02:04.000 --> 00:02:06.000]  我們不想有病,
[00:02:06.000 --> 00:02:10.000]  這些都是我們對安全感的一些渴望。
[00:02:10.000 --> 00:02:13.000]  我們渴望有朋友,
[00:02:13.000 --> 00:02:16.000]  我們渴望有所歸屬,
[00:02:16.000 --> 00:02:18.000]  我們渴望擁抱,
[00:02:18.000 --> 00:02:21.000]  我們渴望有人一起賞月,
[00:02:21.000 --> 00:02:26.000]  這些都是我們對關係的一些渴望,
[00:02:26.000 --> 00:02:29.000]  對歸屬的一些渴望。
[00:02:29.000 --> 00:02:32.000]  如果一個人失去了一切的關係,
[00:02:32.000 --> 00:02:36.000]  他可能會餓到精神失常。
[00:02:36.000 --> 00:02:39.000]  我們也渴求其他人的讚賞,
[00:02:39.000 --> 00:02:41.000]  你唱歌的時候,
[00:02:41.000 --> 00:02:43.000]  你希望有支音人,
[00:02:43.000 --> 00:02:46.000]  你說的話希望有人聽,
[00:02:46.000 --> 00:02:50.000]  這些都是我們對榮譽的渴望,
[00:02:50.000 --> 00:02:53.000]  對認同感的一些渴望。
[00:02:53.000 --> 00:02:57.000]  當然還有我們會渴望實現自己的夢想,
[00:02:57.000 --> 00:03:01.000]  有人花了八年做一隻會飛的飛機,
[00:03:01.000 --> 00:03:04.000]  他感到很滿足。
[00:03:04.000 --> 00:03:06.000]  有人花了十年苦練,
