
[00:00:00.000 --> 00:00:04.240]  今天的題目是「史上最撩交打的自辯」
[00:00:04.240 --> 00:00:10.400]  而經文就是《使徒行傳》第七章第二至六十節
[00:00:10.400 --> 00:00:12.240]  是很長的 五十八節經文
[00:00:12.240 --> 00:00:15.080]  但我們不會看完的 我只是看重點
[00:00:15.080 --> 00:00:18.880]  這段經文是聖經第一次
[00:00:18.880 --> 00:00:24.880]  也是最後一次記載司提反說話
[00:00:24.880 --> 00:00:25.640]  為甚麼是這樣呢?
[00:00:25.640 --> 00:00:30.520]  就是因為這段經文是司提反的自我的辯護
[00:00:30.520 --> 00:00:32.360]  他辯護完後又怎樣?
[00:00:32.360 --> 00:00:35.400]  就被人用石頭打死了 然後就沒有延後了
[00:00:35.400 --> 00:00:37.840]  所以這是唯一一次 也是最後一次
[00:00:37.840 --> 00:00:41.680]  司提反在聖經裡是有說話的
[00:00:41.680 --> 00:00:45.040]  所以其實有甚麼人會為自己辯護
[00:00:45.040 --> 00:00:48.720]  辯護到說完話後立即被人打死呢?
[00:00:48.720 --> 00:00:50.560]  那司提反是否很厲害呢?
[00:00:50.560 --> 00:00:52.920]  就是辯護完後立即被人打死
[00:00:52.920 --> 00:00:58.680]  所以我會說他的辯護是史上最撩交打的自辯
[00:00:58.680 --> 00:01:03.240]  我們首先會去看看司提反究竟被指控甚麼
[00:01:03.240 --> 00:01:05.360]  然後看看他怎樣回應
[00:01:05.360 --> 00:01:09.400]  再看看這段對話為甚麼這麼撩交打
[00:01:09.400 --> 00:01:11.960]  以及我們去看看這段講話
[00:01:11.960 --> 00:01:14.400]  究竟在整段的《使徒行傳》裡
[00:01:14.400 --> 00:01:18.040]  在文學脈絡當中有甚麼作用
[00:01:18.040 --> 00:01:19.760]  我們首先去看看
[00:01:19.760 --> 00:01:22.400]  究竟司提反被人指控甚麼
[00:01:22.400 --> 00:01:28.400]  我們去看看上文第六章八至十四節說甚麼
[00:01:28.400 --> 00:01:33.640]  那裡說司提反被一班猶太人指控兩件事
[00:01:33.640 --> 00:01:35.000]  指控哪兩件事呢?
[00:01:35.000 --> 00:01:40.160]  就是指控他毀謗聖地和律法
[00:01:40.160 --> 00:01:42.720]  以及宣揚那個要拆毀聖殿
[00:01:42.720 --> 00:01:46.000]  以及改變摩西律法的耶穌
[00:01:46.000 --> 00:01:49.840]  所以司提反在他的字辯裡回應這兩點
[00:01:49.840 --> 00:01:57.800]  首先司提反回應毀謗聖殿的指控
[00:01:57.800 --> 00:02:04.080]  他在七章四十四至五十節強調兩點
[00:02:04.080 --> 00:02:07.920]  第一點是說神在曠野時是怎樣
[00:02:07.920 --> 00:02:11.720]  神在曠野裡不是靠聖殿和人同在
[00:02:11.720 --> 00:02:15.760]  神在曠野裡是靠見證的帳幕和以色列人同在
[00:02:15.760 --> 00:02:17.200]  這是第一點
[00:02:17.200 --> 00:02:19.000]  第二點是甚麼呢?
[00:02:19.000 --> 00:02:21.360]  雖然所羅門建造聖殿
[00:02:21.360 --> 00:02:23.640]  但司提反最終強調的是甚麼
[00:02:23.640 --> 00:02:26.640]  但神不是住在聖殿
[00:02:26.640 --> 00:02:31.880]  因為神並不住在人手所做的殿宇當中
[00:02:31.880 --> 00:02:34.000]  所以司提反在這裡在做甚麼
[00:02:34.000 --> 00:02:37.200]  就是當他被人指控毀謗聖殿時
[00:02:37.200 --> 00:02:40.400]  他就反指控那些指控他的人
[00:02:40.400 --> 00:02:43.920]  就說是你們理解錯了聖殿的功能
[00:02:43.920 --> 00:02:47.280]  神從來都不是靠聖殿和人同在
[00:02:47.280 --> 00:02:50.520]  神是不會住在人手所做的殿宇當中
[00:02:50.520 --> 00:02:53.000]  是你們理解錯聖殿的功能
[00:02:53.000 --> 00:02:53.960]  所以是否很厲害
[00:02:53.960 --> 00:02:57.120]  他反串那些指控他的人
[00:02:57.120 --> 00:03:00.360]  第二是司提反被人指控甚麼
[00:03:00.360 --> 00:03:02.840]  毀謗律法
[00:03:02.840 --> 00:03:07.680]  所以他在七章三十五至四十三節強調甚麼
[00:03:07.680 --> 00:03:11.080]  強調摩西領受了活的聖賢
[00:03:11.080 --> 00:03:12.320]  但是甚麼
[00:03:12.320 --> 00:03:16.960]  是以色列人的先祖不肯聽他的說話
[00:03:16.960 --> 00:03:19.200]  還要向偶像獻祭
[00:03:19.200 --> 00:03:20.320]  值得注意的是甚麼
