
[00:00:00.000 --> 00:00:02.220]  各位靈姐妹,午安!
[00:00:02.220 --> 00:00:04.600]  歡迎大家來到十價基督教會
[00:00:04.600 --> 00:00:07.800]  很感恩我們能夠繼續看「肥立比書」
[00:00:07.800 --> 00:00:10.000]  之前我們用了十四篇道
[00:00:10.000 --> 00:00:12.100]  看完整本的「肥立比書」
[00:00:12.100 --> 00:00:13.500]  然後在兩個月前
[00:00:13.500 --> 00:00:15.300]  我們開始去回顧
[00:00:15.300 --> 00:00:18.200]  我們的大題目是「肥書回顧」
[00:00:18.200 --> 00:00:21.600]  一方面我們希望回顧「肥立比書」
[00:00:21.600 --> 00:00:24.800]  另一方面我也希望透過「肥書回顧」
[00:00:24.800 --> 00:00:27.400]  讓我們每一個都成為一隻肥豬
[00:00:27.400 --> 00:00:31.600]  就是FAT的意思Faithful,我們忠誠毀身
[00:00:31.600 --> 00:00:34.300]  Available,我們隨時候命
[00:00:34.300 --> 00:00:39.000]  Teachable,我們樂於受教
[00:00:39.000 --> 00:00:41.300]  大家應該記得這個線型結構
[00:00:41.300 --> 00:00:43.100]  「肥立比書」裏面
[00:00:43.100 --> 00:00:45.600]  保羅最想突出的是中間的部分
[00:00:45.600 --> 00:00:47.500]  就是基督之歌
[00:00:47.500 --> 00:00:49.000]  我們這個回顧系列
[00:00:49.000 --> 00:00:51.400]  是會由外至內去進行的
[00:00:51.400 --> 00:00:53.500]  所以上次我們看了最外圍的
[00:00:53.500 --> 00:00:56.700]  A、B、B'和A'
[00:00:56.700 --> 00:00:59.400]  今天我們會看C和C'
[00:00:59.400 --> 00:01:02.000]  是保羅講述他自己的部分
[00:01:02.000 --> 00:01:07.800]  我們有一個「肥立比書」的超濃縮版
[00:01:07.800 --> 00:01:09.700]  在這五篇回顧篇
[00:01:09.700 --> 00:01:12.500]  每次我們都會重溫這個超濃縮版
[00:01:12.500 --> 00:01:15.500]  希望幫助我們記得「肥立比書」的重要片段
[00:01:15.500 --> 00:01:18.100]  一開始A段
[00:01:18.100 --> 00:01:22.200]  「僕人至咸,聖徒願主恩歸你們」
[00:01:22.200 --> 00:01:25.300]  保羅稱呼自己是基督耶穌的僕人
[00:01:25.300 --> 00:01:28.000]  「僕人」這個字指向整封信的中心
[00:01:28.000 --> 00:01:29.700]  基督之歌
[00:01:29.700 --> 00:01:31.500]  然後保羅就送上文案
[00:01:31.500 --> 00:01:33.700]  他說「願恩惠平安
[00:01:33.700 --> 00:01:37.900]  從我們的父上帝和主耶穌基督歸給你們」
[00:01:37.900 --> 00:01:40.400]  「恩惠」是另一個很重要的字眼
[00:01:40.400 --> 00:01:43.500]  B段
[00:01:43.500 --> 00:01:45.200]  「那日必成者功」
[00:01:45.200 --> 00:01:47.600]  三合一榮耀果
[00:01:47.600 --> 00:01:50.300]  「那日必成者功」是講一章六節
[00:01:50.300 --> 00:01:51.100]  保羅說
[00:01:51.100 --> 00:01:55.200]  他深信上帝會一直在肥立比信徒當中做功
[00:01:55.200 --> 00:01:57.500]  並且到了耶穌基督再來的日子
[00:01:57.500 --> 00:01:59.700]  會完成這個工作
[00:01:59.700 --> 00:02:03.300]  三合一是保羅為肥立比信徒所求的三樣東西
[00:02:03.300 --> 00:02:06.400]  愛心、振興式、審查力
[00:02:06.400 --> 00:02:09.400]  這個三合一的屬靈能力不斷增長
[00:02:09.400 --> 00:02:11.400]  以致榮耀歸給父上帝
[00:02:11.400 --> 00:02:14.100]  C段
[00:02:14.100 --> 00:02:17.900]  「活著就是基督,死活基督顯大」
[00:02:17.900 --> 00:02:18.700]  在C部分
[00:02:18.700 --> 00:02:20.600]  保羅首先分享他的近況
[00:02:20.600 --> 00:02:22.500]  他說到他雖然被軟禁
[00:02:22.500 --> 00:02:24.500]  但為著福音能夠興旺
[00:02:24.500 --> 00:02:26.800]  弟兄們能夠更放膽傳道
[00:02:26.800 --> 00:02:28.400]  他就非常開心
[00:02:28.400 --> 00:02:31.000]  然後保羅分享他的內心世界
[00:02:31.000 --> 00:02:32.800]  他說無論是生是死
[00:02:32.800 --> 00:02:35.900]  總要讓基督在他身上照常顯大
[00:02:35.900 --> 00:02:37.800]  因為我活著就是基督
[00:02:37.800 --> 00:02:40.200]  死了就有益處
[00:02:40.200 --> 00:02:42.500]  保羅定義他無論是生死
[00:02:42.500 --> 00:02:45.300]  都要為了榮耀上帝
[00:02:45.300 --> 00:02:52.100]  這段天文雙稱福音是一章二十七節
[00:02:52.100 --> 00:02:54.300]  保羅說你們作為天國公民
[00:02:54.300 --> 00:02:58.000]  行事為人要與基督的福音相稱
[00:02:58.000 --> 00:03:01.000]  相稱即是彰顯價值的意思
[00:03:01.000 --> 00:03:03.600]  我們怎樣去彰顯基督福音的價值呢?
[00:03:03.600 --> 00:03:07.600]  要無畏、站穩、同心、勁鬥
[00:03:07.600 --> 00:03:11.100]  所謂勁鬥是為福音齊心努力的縮寫
[00:03:11.100 --> 00:03:12.500]  因為它的希臘文是
[00:03:12.500 --> 00:03:13.500]  Synophilia
[00:03:13.500 --> 00:03:15.000]  Syn是一齊的意思
[00:03:15.000 --> 00:03:18.200]  Aphilia是運動員的意思
[00:03:18.200 --> 00:03:20.800]  就好像一群運動員參與對陣比賽
[00:03:20.800 --> 00:03:23.400]  為了勝利一同的努力
[00:03:23.400 --> 00:03:27.200]  而合一謙卑他顧是二章一至四節
[00:03:27.200 --> 00:03:29.300]  各人看別人比自己重要
[00:03:29.300 --> 00:03:31.200]  各人不要單顧自己的事
[00:03:31.200 --> 00:03:34.000]  也要顧別人的事等等
[00:03:34.000 --> 00:03:36.600]  最後以基督心為心是二章五節
[00:03:36.600 --> 00:03:38.900]  我們要思想在耶穌的心中
[00:03:38.900 --> 00:03:44.600]  究竟甚麼才是合一、謙卑和他顧
[00:03:44.600 --> 00:03:47.300]  這部分就是最重要的基督之歌
[00:03:47.300 --> 00:03:49.300]  八重下降是指耶穌基督
[00:03:49.300 --> 00:03:51.300]  從本與上帝同等
[00:03:51.300 --> 00:03:53.800]  一路去己 一路下降
[00:03:53.800 --> 00:03:55.300]  直到全心信服
[00:03:55.300 --> 00:03:59.100]  以至於死 且死在十字架上
[00:03:59.100 --> 00:04:01.900]  然而基督受苦是為了進入榮耀
[00:04:01.900 --> 00:04:04.300]  他得次超乎萬民之名
[00:04:04.300 --> 00:04:05.900]  萬室都要跪拜
[00:04:05.900 --> 00:04:07.700]  萬口都要宣認
[00:04:07.700 --> 00:04:09.100]  耶穌基督是主
[00:04:09.100 --> 00:04:14.200]  歸榮耀給付上帝
[00:04:14.200 --> 00:04:15.300]  D'段
[00:04:15.300 --> 00:04:16.600]  因為基督之歌
[00:04:16.600 --> 00:04:20.100]  所以我們應當戰經作不怨言
[00:04:20.100 --> 00:04:23.500]  恐懼戰經是上帝的大能和他的恩典
[00:04:23.500 --> 00:04:25.800]  臨到我們生命當中的記號
[00:04:25.800 --> 00:04:27.800]  因為是上帝在我們裏面
