
[00:00:00.000 --> 00:00:05.680]  今天我們是生活在一個資訊爆炸的年代
[00:00:05.680 --> 00:00:11.500]  你很快在你的手機就看到這些畫面
[00:00:11.500 --> 00:00:16.920]  只要你有登記無線的新聞台
[00:00:16.920 --> 00:00:19.300]  我現在不是宣傳
[00:00:19.300 --> 00:00:21.440]  只要你有一個Apps
[00:00:21.440 --> 00:00:23.940]  有新聞台的Apps
[00:00:23.940 --> 00:00:27.880]  你隨時可以看到香港最新的新聞
[00:00:27.880 --> 00:00:31.380]  看到世界各地所發生的新聞
[00:00:31.380 --> 00:00:34.960]  世界的距離已經越來越近
[00:00:34.960 --> 00:00:37.460]  幾分鐘前發生的事
[00:00:37.460 --> 00:00:40.180]  你很快已經知道
[00:00:40.180 --> 00:00:46.020]  這個就是網絡世界的無所不在
[00:00:46.020 --> 00:00:48.380]  無遠弗屆
[00:00:48.380 --> 00:00:50.460]  不管距離多遠
[00:00:50.460 --> 00:00:52.660]  你都可以很快看到
[00:00:52.660 --> 00:00:56.660]  所以今天我們會出現一種恐懼
[00:00:56.660 --> 00:00:58.520]  我想大家都會有
[00:00:58.520 --> 00:01:01.220]  就是你的手機不見了
[00:01:01.220 --> 00:01:04.680]  如果你的手機不見了你會怎樣
[00:01:04.680 --> 00:01:06.340]  我想你會發瘋
[00:01:06.340 --> 00:01:10.180]  不見了手機去哪了
[00:01:10.180 --> 00:01:13.700]  所有的約會全部靠手機
[00:01:13.700 --> 00:01:16.240]  所有電話號碼靠手機
[00:01:16.240 --> 00:01:18.940]  你記不記得你媽媽的電話號碼
[00:01:18.940 --> 00:01:20.600]  不記得
[00:01:20.600 --> 00:01:23.860]  你記不記得你哪個朋友的電話號碼
[00:01:23.860 --> 00:01:24.360]  不記得
[00:01:24.360 --> 00:01:25.980]  全部在手機上
[00:01:25.980 --> 00:01:27.840]  平時按鍵的
[00:01:27.840 --> 00:01:29.160]  怎會背呢
[00:01:29.160 --> 00:01:33.360]  25436210不會背的
[00:01:33.360 --> 00:01:35.640]  所以甚麼都是靠手機
[00:01:35.640 --> 00:01:39.260]  如果萬一手機不見了
[00:01:39.260 --> 00:01:41.260]  你會很恐慌
[00:01:41.260 --> 00:01:45.240]  這個叫做沒有手機恐慌症
[00:01:45.240 --> 00:01:49.440]  是現代人最大的病
[00:01:49.440 --> 00:01:53.280]  沒有手機你不能生存
[00:01:53.280 --> 00:01:56.760]  沒有了手機你就很混亂
[00:01:56.760 --> 00:01:58.760]  死了不知怎辦
[00:01:58.760 --> 00:02:00.720]  死了找回誰
[00:02:00.720 --> 00:02:02.020]  去哪裏問
[00:02:02.020 --> 00:02:04.660]  去哪裏找回資料出來
[00:02:04.660 --> 00:02:08.460]  所以今天我們是很需要資訊
[00:02:08.460 --> 00:02:13.860]  但我們又很怕沒有了資訊
[00:02:13.860 --> 00:02:17.640]  一個很矛盾的世代
[00:02:17.640 --> 00:02:22.080]  舊時的手機叫做大哥大
[00:02:22.080 --> 00:02:24.620]  像個水壺
[00:02:24.620 --> 00:02:28.520]  第一代的手機像個水壺
[00:02:28.520 --> 00:02:30.940]  拿著水壺出街很威風
[00:02:30.940 --> 00:02:32.360]  因為很貴
[00:02:32.360 --> 00:02:34.860]  不是很多人有手機
[00:02:34.860 --> 00:02:38.140]  現在人人都有手機
[00:02:38.140 --> 00:02:39.740]  聽說
[00:02:39.740 --> 00:02:41.560]  照顧孫子的
[00:02:41.560 --> 00:02:43.440]  如果當小孩哭
[00:02:43.440 --> 00:02:44.940]  一部手機給他
[00:02:44.940 --> 00:02:46.940]  保證不會哭
[00:02:46.940 --> 00:02:50.400]  小孩不是握奶嘴給他
[00:02:50.400 --> 00:02:52.400]  只要一部手機給他
[00:02:52.400 --> 00:02:53.820]  他就可以了
[00:02:53.820 --> 00:02:55.480]  他自己會玩
[00:02:55.480 --> 00:02:57.080]  你不用教他
[00:02:57.080 --> 00:03:00.260]  兩三歲的自己拿著手機
[00:03:00.260 --> 00:03:03.800]  他會玩打機遊戲
[00:03:03.800 --> 00:03:05.800]  會看
[00:03:05.800 --> 00:03:07.600]  不過很可能他不小心
[00:03:07.600 --> 00:03:09.600]  刪除了你很多東西
[00:03:09.600 --> 00:03:11.600]  所以要很小心
[00:03:11.600 --> 00:03:16.960]  所以現在這個時代是一個很不同的年代
[00:03:16.960 --> 00:03:19.660]  所以今晚很想和大家思想一個題目
[00:03:19.660 --> 00:03:24.640]  就是世界是有資訊
[00:03:24.640 --> 00:03:28.140]  沒錯,我們有時都需要資訊
[00:03:28.140 --> 00:03:32.920]  但其實我們更加需要的是智慧
[00:03:32.920 --> 00:03:35.560]  如果資訊你不懂得用
[00:03:35.560 --> 00:03:38.120]  是垃圾
[00:03:38.120 --> 00:03:41.120]  網上的東西有多少
[00:03:41.120 --> 00:03:43.380]  你懂不懂運用呢?
[00:03:43.380 --> 00:03:46.240]  你有沒有有效地運用
[00:03:46.240 --> 00:03:48.060]  所以我們很感謝神
[00:03:48.060 --> 00:03:53.400]  是神將智慧賜給我們
[00:03:53.400 --> 00:03:56.920]  請我們低頭我們一齊同心祈禱
[00:03:56.920 --> 00:03:59.000]  親愛的天父我們多謝你
[00:03:59.000 --> 00:04:02.820]  帶領我們進入21世紀
[00:04:02.820 --> 00:04:05.300]  一個很不同的年代
[00:04:05.300 --> 00:04:08.860]  我們已經來到2019年
[00:04:08.860 --> 00:04:13.180]  很快又進入2020年
[00:04:13.180 --> 00:04:18.620]  5G在世界各地都會推行
[00:04:18.620 --> 00:04:20.300]  我們不知道這個世界
[00:04:20.300 --> 00:04:23.180]  再會有甚麼新的面貌
[00:04:23.180 --> 00:04:25.180]  新的進展
[00:04:25.180 --> 00:04:29.080]  我們唯獨在一個這麼資訊氾濫
[00:04:29.080 --> 00:04:31.980]  資訊爆炸的世代裏面
[00:04:31.980 --> 00:04:34.480]  求你讓我們有一個心
[00:04:34.480 --> 00:04:37.580]  我們只是求智慧
[00:04:37.580 --> 00:04:39.900]  好像所羅門王一樣
[00:04:39.900 --> 00:04:42.180]  當他要做皇帝的時候
[00:04:42.180 --> 00:04:45.580]  他覺得如何管理一個這麼大的國家
[00:04:45.580 --> 00:04:47.580]  這麼多的民眾
[00:04:47.580 --> 00:04:51.380]  所以他向天父求智慧
[00:04:51.380 --> 00:04:53.580]  天父你就閱立他
[00:04:53.580 --> 00:04:55.580]  不單止給他有智慧
[00:04:55.580 --> 00:04:59.580]  更加將很多東西都賞賜給他
[00:04:59.580 --> 00:05:04.580]  以至所羅門王能夠成為一個明君
[00:05:04.580 --> 00:05:07.580]  能夠帶領以色列人發展
[00:05:07.580 --> 00:05:11.180]  求父你都同樣給我們一個謙卑的心
[00:05:11.180 --> 00:05:16.980]  讓我們今日都懂得向你求智慧
[00:05:16.980 --> 00:05:20.580]  求你將智慧厚賜給我們
[00:05:20.580 --> 00:05:24.380]  以至我們懂得在今日這個時代裏面
[00:05:24.380 --> 00:05:28.180]  我們做一個有真智慧的人
[00:05:28.180 --> 00:05:30.580]  我們這樣仰望、祈禱
[00:05:30.580 --> 00:05:33.180]  是奉耶穌基督的命求
[00:05:33.180 --> 00:05:35.180]  阿們
[00:05:36.580 --> 00:05:42.180]  最近中美貿易角力
[00:05:42.180 --> 00:05:47.980]  特朗普要制止華為
[00:05:47.980 --> 00:05:51.580]  所以美國很多零件商
[00:05:51.580 --> 00:05:55.980]  不准供應零件給華為
[00:05:55.980 --> 00:05:59.380]  即是斬了華為的手和腳
[00:05:59.380 --> 00:06:03.380]  華為就完蛋了
[00:06:03.380 --> 00:06:06.580]  但是習近平厲害
[00:06:06.580 --> 00:06:10.180]  在這次G20峰會裏面
[00:06:10.180 --> 00:06:13.980]  就和特朗普交鋒
[00:06:13.980 --> 00:06:22.380]  結果准許華為仍然有少少東西可以做到
[00:06:22.380 --> 00:06:26.780]  為何華為全世界都這麼怕他
[00:06:26.780 --> 00:06:32.780]  因為他發明了很多新的技術
[00:06:32.780 --> 00:06:36.780]  是其他國家還未研發出來的
[00:06:36.780 --> 00:06:40.180]  如果華為繼續發展下去
[00:06:40.180 --> 00:06:47.380]  他將會雄霸傳媒業電訊界
[00:06:47.380 --> 00:06:49.980]  他會雄霸一切
[00:06:49.980 --> 00:06:52.780]  華為這間公司
[00:06:52.780 --> 00:06:55.580]  我只知道少少資料
[00:06:55.580 --> 00:06:58.580]  知不知道為何叫華為
[00:06:58.580 --> 00:07:06.380]  中華有為就中國人要有所作為
[00:07:06.380 --> 00:07:09.580]  所以他叫自己做華為
[00:07:09.580 --> 00:07:11.780]  很有野心
[00:07:11.780 --> 00:07:18.180]  據說他轄下養了千幾個科學家
[00:07:18.180 --> 00:07:20.580]  全部有博士學位
[00:07:20.580 --> 00:07:26.980]  給很高人工去養這班精銳分子
[00:07:26.980 --> 00:07:30.780]  為他做很多科研工作
[00:07:30.780 --> 00:07:34.380]  否則他不會這麼領先
[00:07:34.380 --> 00:07:37.380]  是很有野心的動作
[00:07:37.380 --> 00:07:41.580]  所以他每年的開支非常之大
[00:07:41.580 --> 00:07:48.380]  他夠膽說我們擁有5G的技術
[00:07:48.380 --> 00:07:50.180]  甚麼叫5G呢
[00:07:50.180 --> 00:07:54.180]  就是The 5th Generation的手機
[00:07:54.180 --> 00:07:58.180]  剛才我講過第一代的手機叫大哥大
[00:07:58.180 --> 00:08:00.180]  第二代我不知是甚麼
[00:08:00.180 --> 00:08:02.980]  第三代可能是Nokia
