
[00:00:00.000 --> 00:00:02.920]  我們開始《時詩記》
[00:00:02.920 --> 00:00:08.420]  在《時詩記》讓我們看到一個很重要的題目
[00:00:08.420 --> 00:00:15.020]  《時詩記》是一本很特別的書
[00:00:15.020 --> 00:00:21.980]  涵蓋的時期是以色列被撈之前
[00:00:21.980 --> 00:00:25.380]  最黑暗的一段歷史
[00:00:25.380 --> 00:00:29.300]  今晚其實會較爲悶
[00:00:29.300 --> 00:00:34.800]  我記得我少年時代已經開始去研讀《聖經》
[00:00:34.800 --> 00:00:36.600]  也會看《釋經》書
[00:00:36.600 --> 00:00:38.260]  當我買《釋經》書的時候
[00:00:38.260 --> 00:00:40.880]  前面當然有個《言曹德順》
[00:00:40.880 --> 00:00:42.100]  《引論》
[00:00:42.100 --> 00:00:47.240]  就會講《聖經》的作者、背景、寫作的特色
[00:00:47.240 --> 00:00:49.900]  當中有些什麼神學思想
[00:00:49.900 --> 00:00:51.940]  其實這些東西是很悶的
[00:00:51.940 --> 00:00:53.940]  所以我多數不看的
[00:00:53.940 --> 00:00:55.060]  一聽就跳下去
[00:00:55.060 --> 00:00:57.860]  立刻開始看第幾章、第幾節開始
[00:00:57.860 --> 00:00:59.380]  來看《釋經》
[00:00:59.380 --> 00:01:01.920]  但當我再成熟一點的時候
[00:01:01.920 --> 00:01:07.940]  就發覺到我們應該對每一本書的背景要有所瞭解
[00:01:07.940 --> 00:01:12.140]  你瞭解了背景的神學思想
[00:01:12.140 --> 00:01:14.200]  於是你看那本書
[00:01:14.200 --> 00:01:16.120]  你纔會更加深入
[00:01:16.120 --> 00:01:19.320]  而不會有偏差
[00:01:19.320 --> 00:01:23.140]  所以今晚第一節講《時詩記》
[00:01:23.140 --> 00:01:29.080]  我們就先了解一下《時詩記》的內容是怎樣
[00:01:29.080 --> 00:01:30.700]  剛纔我已經講了
[00:01:30.700 --> 00:01:33.020]  《時詩記》涵蓋的時期
[00:01:33.020 --> 00:01:37.860]  是以色列被捕之前的一段最黑暗的歷史
[00:01:37.860 --> 00:01:39.180]  爲什麼呢?
[00:01:39.180 --> 00:01:41.180]  後來又有了君王之後
[00:01:41.180 --> 00:01:46.140]  蘇羅王有一段風光的時間
[00:01:46.140 --> 00:01:47.920]  當然後來他失敗了
[00:01:47.920 --> 00:01:49.620]  到了大魏
[00:01:49.620 --> 00:01:53.360]  大魏作王的時候就開始穩定下來
