
[00:00:00.000 --> 00:00:03.040]  "跨代同行,傳揚主因"
[00:00:03.040 --> 00:00:05.240]  是不是一個很美麗的圖畫?
[00:00:05.240 --> 00:00:08.600]  我們看到一班這麼...
[00:00:08.600 --> 00:00:10.000]  再見,家長們
[00:00:10.000 --> 00:00:14.320]  好,他們接回這些小朋友
[00:00:14.320 --> 00:00:16.600]  弟兄姊妹,平安
[00:00:16.600 --> 00:00:17.560]  我都在這裡
[00:00:17.560 --> 00:00:21.920]  恭祝大家主因滿滿,寧命日長
[00:00:21.920 --> 00:00:25.480]  好,今天我負責說這篇《道》
[00:00:25.480 --> 00:00:27.520]  叫《看不看得出》
[00:00:27.520 --> 00:00:30.520]  是說什麼?兩點的
[00:00:30.520 --> 00:00:33.600]  "堅韌信仰,目者心"
[00:00:33.600 --> 00:00:36.800]  中文字是很多的意思
[00:00:36.800 --> 00:00:38.920]  尤其是看到第二個字
[00:00:38.920 --> 00:00:40.440]  "堅韌"的"韌"字
[00:00:40.440 --> 00:00:42.800]  看到什麼意思嗎?
[00:00:42.800 --> 00:00:45.120]  斬崩刀都斬不斷的
[00:00:45.120 --> 00:00:46.760]  刀字旁邊加一點
[00:00:46.760 --> 00:00:48.200]  斬不斷
[00:00:48.200 --> 00:00:53.040]  叫我們怎麼樣去切不斷我們的信仰
[00:00:53.040 --> 00:00:54.200]  另一方面
[00:00:54.200 --> 00:00:58.000]  "目者"的心腸應該是怎麼樣的呢?
[00:00:58.000 --> 00:00:59.760]  很記得上星期
[00:00:59.760 --> 00:01:03.120]  不是,上一次說《帖撒羅尼迦前書》的時候
[00:01:03.120 --> 00:01:05.120]  林牧師提到一件事
[00:01:05.120 --> 00:01:06.120]  作為目者
[00:01:06.120 --> 00:01:10.000]  我們應該要有為父為母的心腸
[00:01:10.000 --> 00:01:13.960]  這段經文是保羅對於《帖撒羅尼迦》
[00:01:13.960 --> 00:01:18.760]  一份很重要的一個提醒
[00:01:18.760 --> 00:01:20.920]  等我一會兒,我漏了一些東西還沒拿
[00:01:24.200 --> 00:01:27.600]  太緊張了
[00:01:27.600 --> 00:01:31.720]  因為我星期五晚上才從青島回來
[00:01:31.720 --> 00:01:35.320]  所以現在也是從一個很冷的地方回來
