
[00:00:00.000 --> 00:00:02.400]  頂智媒主禮平安
[00:00:02.400 --> 00:00:06.740]  今天早上想和大家繼續思想新命記的訊息
[00:00:06.740 --> 00:00:08.820]  今天想用一段經文
[00:00:08.820 --> 00:00:13.280]  和大家一起思想一個大家熟悉的題目
[00:00:13.280 --> 00:00:14.580]  「蒙福」
[00:00:14.580 --> 00:00:17.680]  這個題目相信大家不會陌生
[00:00:17.680 --> 00:00:21.020]  我們很多時候都喜歡去祝福
[00:00:21.020 --> 00:00:23.360]  我們身邊我們所認識的人
[00:00:23.360 --> 00:00:25.300]  我們所愛的人
[00:00:25.300 --> 00:00:27.920]  我們會希望他們能夠在主禮中「蒙福」
[00:00:27.920 --> 00:00:32.400]  我們會祝他們生日「蒙福」
[00:00:32.400 --> 00:00:34.520]  生春「蒙福」等等
[00:00:34.520 --> 00:00:36.000]  在主禮中「蒙福」
[00:00:36.000 --> 00:00:38.820]  都是我們共同的願望
[00:00:38.820 --> 00:00:44.240]  但究竟我們怎樣才能夠真正地經歷神所賜的福呢?
[00:00:44.240 --> 00:00:47.940]  今天我們來到新命記最後幾章的經文
[00:00:47.940 --> 00:00:53.180]  摩西要很鮮明地將祝福和咒助
[00:00:53.180 --> 00:00:56.800]  生死禍福要陳明在他的百姓面前
[00:00:56.800 --> 00:01:00.120]  因為他的子民要來決定了
[00:01:00.120 --> 00:01:02.880]  要來決定究竟他們是
[00:01:02.880 --> 00:01:05.540]  毀身在這個寶貴的聖約裡面
[00:01:05.540 --> 00:01:08.020]  還是拒絕這個聖約
[00:01:08.020 --> 00:01:11.560]  今天我們先看的經文是
[00:01:11.560 --> 00:01:14.880]  新命記二十八章一至十四節
[00:01:14.880 --> 00:01:18.520]  是有關於蒙福的經文
[00:01:18.520 --> 00:01:21.600]  請首先聽我讀出
[00:01:21.600 --> 00:01:25.200]  「你若留意聽從耶和華你神的話
[00:01:25.200 --> 00:01:27.280]  謹守進行他一切的誡明
[00:01:27.280 --> 00:01:29.520]  就是我今日所吩咐你的
[00:01:29.520 --> 00:01:32.920]  他必使你超乎天下萬民之上
[00:01:32.920 --> 00:01:35.400]  你若聽從耶和華你神的話
[00:01:35.400 --> 00:01:37.480]  這以下的福必追隨你
[00:01:37.480 --> 00:01:39.240]  臨到你身上
[00:01:39.240 --> 00:01:40.840]  你在城裡必蒙福
[00:01:40.840 --> 00:01:43.120]  在田間也必蒙福
[00:01:43.120 --> 00:01:44.640]  你身所生的
[00:01:44.640 --> 00:01:45.920]  地所產的
[00:01:45.920 --> 00:01:47.320]  生畜所下的
[00:01:47.320 --> 00:01:50.600]  依靠藕獨羊羔所都必蒙福
[00:01:50.600 --> 00:01:54.760]  你的糠子和你的豚面盤都必蒙福
[00:01:54.760 --> 00:01:55.800]  你出也蒙福
[00:01:55.800 --> 00:01:57.040]  入也蒙福
[00:01:57.040 --> 00:01:58.400]  受敵起來攻擊你
[00:01:58.400 --> 00:02:02.200]  耶和華必使他們在你面前被你殺敗
[00:02:02.200 --> 00:02:04.160]  他們從一條路來攻擊你
[00:02:04.160 --> 00:02:06.440]  必從七條路逃跑
[00:02:06.440 --> 00:02:07.760]  在你倉房裡
[00:02:07.760 --> 00:02:10.440]  並你手所辦的一切事上
[00:02:10.440 --> 00:02:13.640]  耶和華所命的福必臨到你
[00:02:13.640 --> 00:02:15.800]  耶和華你神也要在
[00:02:15.800 --> 00:02:18.360]  所給你的地上賜福予你
[00:02:18.360 --> 00:02:21.160]  你若謹守耶和華你神的誡明
[00:02:21.160 --> 00:02:22.440]  遵行他的道
[00:02:22.440 --> 00:02:25.240]  他必照著向你所起的誓
[00:02:25.240 --> 00:02:28.040]  立你作為自己的聖文
[00:02:28.040 --> 00:02:31.280]  天下萬民見你歸在耶和華的名下
[00:02:31.280 --> 00:02:33.200]  周邀懼怕你
[00:02:33.200 --> 00:02:35.000]  你在耶和華向你列祖
[00:02:35.000 --> 00:02:36.240]  起誓應許
[00:02:36.240 --> 00:02:37.520]  賜你的地上
[00:02:37.520 --> 00:02:39.960]  他必使你身所生的
[00:02:39.960 --> 00:02:41.240]  生畜所下的
[00:02:41.240 --> 00:02:42.640]  地所產的
