
[00:00:00.000 --> 00:00:03.280]  當我們開始讀神的話語的時候
[00:00:03.280 --> 00:00:04.680]  我們一起有個禱告
[00:00:04.680 --> 00:00:08.680]  讓我們讀神話語的時候先有個同心打卡
[00:00:08.680 --> 00:00:11.920]  神啊 求祢在這一刻
[00:00:11.920 --> 00:00:17.760]  親自給我們有個安靜的心在祢面前
[00:00:17.760 --> 00:00:21.160]  我們感謝祢給我們有這個敬拜
[00:00:21.160 --> 00:00:24.400]  求祢親自給我們有個受救的心
[00:00:24.400 --> 00:00:27.320]  來領受祢的話語的教導
[00:00:27.320 --> 00:00:29.040]  祈禱奉耶穌基督的名字
[00:00:29.040 --> 00:00:31.200]  阿們
[00:00:31.200 --> 00:00:35.440]  我相信每一個人都很喜歡聞到一些香的氣味
[00:00:35.440 --> 00:00:39.520]  我相信每一個人都很喜歡去聞到一些香的氣味
[00:00:39.520 --> 00:00:43.600]  特別那些清淡
[00:00:43.600 --> 00:00:49.360]  很清香又啞淡的氣味特別喜歡
[00:00:49.360 --> 00:00:54.880]  特別是清香又啞淡的氣味大家都很喜歡
[00:00:54.880 --> 00:00:57.840]  當然香氣是吸引人的
[00:00:57.840 --> 00:01:00.520]  香氣是能吸引人的
[00:01:00.520 --> 00:01:07.720]  無怪乎那些化妝品的公司就用很多錢去做研究
[00:01:07.720 --> 00:01:11.280]  很多化妝品公司花很多錢去做研究
[00:01:11.280 --> 00:01:15.320]  所以男士們女士們有很多名牌的香水
[00:01:15.320 --> 00:01:18.760]  所以男士們女士們都有很多名牌的香水
[00:01:18.760 --> 00:01:22.880]  其實每個人用香水其實有個目標的
[00:01:22.880 --> 00:01:24.840]  用香水是有一個目標的
[00:01:24.840 --> 00:01:28.240]  是把自己的氣味遮蓋了
[00:01:28.240 --> 00:01:31.360]  是遮蓋自己的一些氣味
[00:01:31.360 --> 00:01:36.520]  希望在社交上我們能有一個新鮮的感覺
[00:01:36.520 --> 00:01:38.720]  希望在社交上我們能有一個新鮮的感覺
[00:01:38.720 --> 00:01:41.680]  增進我們人際的關係
[00:01:41.680 --> 00:01:45.320]  增進我們人際的關係
[00:01:45.320 --> 00:01:48.840]  但是畢竟這些所謂人造的香水
[00:01:48.840 --> 00:01:51.080]  但是畢竟這些所謂人造的香水
[00:01:51.080 --> 00:01:52.680]  很快就會消失
[00:01:52.680 --> 00:01:53.960]  很快就會消失
[00:01:53.960 --> 00:01:57.280]  消失之後有什麼事情發生呢?
[00:01:57.280 --> 00:01:59.080]  消失之後有什麼事情發生呢?
[00:01:59.080 --> 00:02:00.280]  打回原形
[00:02:00.280 --> 00:02:02.160]  打回原形
[00:02:02.160 --> 00:02:08.440]  但是今天我們剛才讀的那段經文
[00:02:08.440 --> 00:02:11.240]  因為剛剛我們所讀的這段經文
[00:02:11.240 --> 00:02:16.840]  就是讀到保羅介紹另外一種名牌的香水
[00:02:16.840 --> 00:02:20.160]  就是保羅介紹另外一種名牌的香水
[00:02:20.160 --> 00:02:25.960]  這種名牌的香水品牌叫做基督清香之氣
[00:02:25.960 --> 00:02:31.960]  這種名牌的香水品牌叫做基督清香之氣
[00:02:31.960 --> 00:02:33.160]  是很名貴的
