
[00:00:00.000 --> 00:00:07.000]  我們來看今天我們講到的題目 叫做 罪人和聖人的禱告
[00:00:07.000 --> 00:00:11.000]  如果你們要學習的話 要效法的話
[00:00:11.000 --> 00:00:16.000]  你猜一下 你要向罪人的禱告學習 還是向聖人的禱告學習
[00:00:16.000 --> 00:00:22.000]  可以向誰學習?聖人對不對 或者是罪人 不知道是吧
[00:00:22.000 --> 00:00:24.000]  讀下去 我們剛纔的經文讀完的話
[00:00:24.000 --> 00:00:28.000]  你覺得我想大家從哪個角度去思考呢?
[00:00:28.000 --> 00:00:33.000]  我們一邊去講這篇信息的時候 一邊去思考這個問題
[00:00:33.000 --> 00:00:39.000]  我想大家都可能都聽過蘇格拉底這個哲學家
[00:00:39.000 --> 00:00:43.000]  希臘的一個很出名的哲學家
[00:00:43.000 --> 00:00:45.000]  他的地址很多
[00:00:45.000 --> 00:00:51.000]  曾經有個地址 他就跟蘇格拉底在討論一個問題
[00:00:51.000 --> 00:00:56.000]  他說他家裏的非常有錢 他可以說是一個富二代
[00:00:56.000 --> 00:01:04.000]  他在雅典家裏的財富比起其他同學加起來的家庭還要多
[00:01:04.000 --> 00:01:07.000]  而且他不單止跟老師這樣說
[00:01:07.000 --> 00:01:12.000]  而且他常常在同學面前炫耀他的財富
[00:01:12.000 --> 00:01:15.000]  炫耀他在雅典的財富
[00:01:15.000 --> 00:01:19.000]  那如果你是蘇格拉底 你會怎麼教這個學生?
[00:01:19.000 --> 00:01:24.000]  你會知道他這個方面有點問題 你會怎麼教他?
[00:01:24.000 --> 00:01:27.000]  那蘇格拉底就拿出一個地圖
[00:01:27.000 --> 00:01:30.000]  拿出一個世界地圖問這個學生
[00:01:30.000 --> 00:01:34.000]  麻煩你指給我看一下哪裏是亞細亞
[00:01:34.000 --> 00:01:37.000]  亞細亞是個地區 是很大的
[00:01:37.000 --> 00:01:40.000]  那學生洋洋得意地一指就指
[00:01:40.000 --> 00:01:43.000]  這個地區就是一大片都是亞細亞
[00:01:43.000 --> 00:01:47.000]  然後蘇格拉底再問那希臘在什麼地方
[00:01:47.000 --> 00:01:51.000]  他又指到他很熟地理 馬上就知道希臘在哪個地方
[00:01:51.000 --> 00:01:55.000]  然後接着是雅典在什麼地方 他的老家在什麼地方
[00:01:55.000 --> 00:01:57.000]  他也指出來了
[00:01:57.000 --> 00:02:00.000]  那蘇格拉底最後問他的問題是什麼呢?
[00:02:00.000 --> 00:02:02.000]  猜到了嗎?
[00:02:02.000 --> 00:02:04.000]  你的家在什麼地方?
[00:02:04.000 --> 00:02:08.000]  在地圖上找你的家可以找到嗎?
[00:02:08.000 --> 00:02:11.000]  那個學生滿頭大汗 找了很久
[00:02:11.000 --> 00:02:15.000]  他知道沒可能找到 因爲他家太小了
[00:02:15.000 --> 00:02:17.000]  他根本找不到
[00:02:17.000 --> 00:02:20.000]  那教的人都很喜歡跟人比較
[00:02:20.000 --> 00:02:23.000]  炫耀自己所擁有的一切
[00:02:23.000 --> 00:02:25.000]  希望把其他人都比下去
[00:02:25.000 --> 00:02:27.000]  這樣子他就很高興
[00:02:27.000 --> 00:02:31.000]  但是呢 當有一天比不過別人的時候
[00:02:31.000 --> 00:02:33.000]  就招來了羞辱
[00:02:33.000 --> 00:02:35.000]  那反過來謙卑的人呢
[00:02:35.000 --> 00:02:39.000]  因爲都能夠虛心地受教
[00:02:39.000 --> 00:02:42.000]  常常能夠學習 所以不能不斷地能夠進步
[00:02:42.000 --> 00:02:47.000]  所以能夠成爲別人所稱讚的一個智慧的人
[00:02:47.000 --> 00:02:51.000]  那驕傲跟謙卑是一對的反義詞
[00:02:51.000 --> 00:02:56.000]  那今天我們看到罪人的另外一面就是聖人
[00:02:56.000 --> 00:02:59.000]  今天我們就從罪人和聖人的禱告當中
[00:02:59.000 --> 00:03:02.000]  看一下當中的驕傲跟謙卑
[00:03:02.000 --> 00:03:04.000]  那讓我們去反省幾個的問題
[00:03:04.000 --> 00:03:10.000]  一個是 那我們跟神禱告的基礎到底是什麼?
[00:03:10.000 --> 00:03:13.000]  是不是我們自己做得很好呢?
[00:03:13.000 --> 00:03:16.000]  那人憑着什麼可以跟神交通呢?
[00:03:16.000 --> 00:03:19.000]  那最後我想問一個核心的問題就是
[00:03:19.000 --> 00:03:22.000]  謙卑的生命爲什麼這麼重要?
[00:03:22.000 --> 00:03:24.000]  謙卑的生命爲什麼這麼重要?
[00:03:24.000 --> 00:03:27.000]  那我們看一下這段不是很長的
[00:03:27.000 --> 00:03:31.000]  耶穌講到這個比喻的這些經文的記載
[00:03:31.000 --> 00:03:33.000]  開頭的時候耶穌就對那些
[00:03:33.000 --> 00:03:38.000]  自詞爲義 輕視別人的人講了一個比喻
[00:03:38.000 --> 00:03:41.000]  所以我們在這裏看 這個比喻講給誰聽?
[00:03:41.000 --> 00:03:45.000]  是講給這些自以爲義 看不起別人的人
[00:03:45.000 --> 00:03:47.000]  那我在這裏問大家一個問題
[00:03:47.000 --> 00:03:50.000]  我希望大家去思考一個問題
[00:03:50.000 --> 00:03:53.000]  因爲你思考完之後有不同的答案
[00:03:53.000 --> 00:03:57.000]  這個答案很有可能會導致我們用不同的思路
[00:03:57.000 --> 00:04:01.000]  去理解跟應用這段的經文
[00:04:01.000 --> 00:04:04.000]  當我們讀到以下這段經文的時候
[00:04:04.000 --> 00:04:07.000]  讀到法利賽人的禱告的時候
[00:04:07.000 --> 00:04:10.000]  我們的腦海裏面我們會想起誰?
[00:04:10.000 --> 00:04:12.000]  想起一個驕傲的人
[00:04:12.000 --> 00:04:16.000]  那個驕傲的人是不是某個上師某個同事
[00:04:16.000 --> 00:04:20.000]  或者甚至是教會里面某個弟兄或者姐妹
[00:04:20.000 --> 00:04:24.000]  更有可能是家裏面那位先生那位太太
[00:04:24.000 --> 00:04:27.000]  但是另外一個思路是什麼呢?
[00:04:27.000 --> 00:04:29.000]  另外一個思路是
[00:04:29.000 --> 00:04:35.000]  我們自己本身就是耶穌要跟我們講這個比喻的對象
[00:04:35.000 --> 00:04:42.000]  我們自己本身就是自以爲意輕視別人的法利賽人
[00:04:42.000 --> 00:04:45.000]  我們可能不是完全跟法利賽人一樣
[00:04:45.000 --> 00:04:48.000]  但是我們有些地方有些情況
[00:04:48.000 --> 00:04:53.000]  我們是跟法利賽人這個宗教領袖有相似的地方
[00:04:53.000 --> 00:04:56.000]  我記得我剛信主沒多久的時候
[00:04:56.000 --> 00:04:58.000]  有個蜀林的前輩常常提醒我
[00:04:58.000 --> 00:05:01.000]  他說讀經讀神的話語
[00:05:01.000 --> 00:05:02.000]  理解神的話語
[00:05:02.000 --> 00:05:06.000]  首先要讀給自己聽而不要爲別人讀經
[00:05:06.000 --> 00:05:08.000]  首先要讀給自己聽
[00:05:08.000 --> 00:05:10.000]  這是非常重要的
[00:05:10.000 --> 00:05:11.000]  雅各術告訴我們
[00:05:11.000 --> 00:05:15.000]  聖經就像一面的鏡子照出我們人的本相
[00:05:15.000 --> 00:05:18.000]  當我們知道自己的本相的時候
[00:05:18.000 --> 00:05:20.000]  我們需要去反省生命
[00:05:20.000 --> 00:05:23.000]  以至於我們可以遵行神的話語
[00:05:23.000 --> 00:05:25.000]  以至於生命就可以改變
[00:05:25.000 --> 00:05:31.000]  所以讀經是先讀給自己聽而不要爲別人讀經
[00:05:31.000 --> 00:05:35.000]  接着第十節裏面的經文是這樣說到
[00:05:35.000 --> 00:05:38.000]  有兩個人上聖殿去禱告
[00:05:38.000 --> 00:05:41.000]  一個是法利賽人一個是瑞利
[00:05:41.000 --> 00:05:44.000]  我想大家對法利賽人都不會陌生
[00:05:44.000 --> 00:05:50.000]  他是猶太人當中的一個非常嚴謹的教派
