
[00:00:00.000 --> 00:00:05.740]  在聖祖之先,我們一同同心祈禱
[00:00:05.740 --> 00:00:09.360]  法藝因主,祢是教會的主,祢是世界的主
[00:00:09.360 --> 00:00:11.600]  祢亦是我們生命的主
[00:00:11.600 --> 00:00:14.840]  主,我們感謝祢留下祢寶貴的聖言給我們
[00:00:14.840 --> 00:00:18.240]  願祢再一次將我們的心向祢開放
[00:00:18.240 --> 00:00:22.000]  願我們今天都聽到祢對我們生命的邀請
[00:00:22.000 --> 00:00:25.220]  我們恭敬將來的時間交在祢的手中
[00:00:25.220 --> 00:00:28.680]  願祢親切地與我們同在使用
[00:00:28.680 --> 00:00:30.480]  我們感恩感謝祢
[00:00:30.480 --> 00:00:31.880]  所以聽禱告
[00:00:31.880 --> 00:00:35.360]  禱告乃奉我主耶穌基督寶貴名字祈求
[00:00:35.360 --> 00:00:37.560]  阿門
[00:00:37.560 --> 00:00:39.120]  今天正道的題目是
[00:00:39.120 --> 00:00:43.520]  「在夾縫中的虔誠人」
[00:00:43.520 --> 00:00:45.820]  或者我們對於「夾縫」這兩個字
[00:00:45.820 --> 00:00:48.080]  都不會特別感到陌生
[00:00:48.080 --> 00:00:49.620]  實在因為有不少聚會
[00:00:49.620 --> 00:00:52.040]  都有用到「夾縫」這兩個字
[00:00:52.040 --> 00:00:53.320]  譬如葉漢浩博士
[00:00:53.320 --> 00:00:56.200]  可能之前在網上的菲勒比書選讀
[00:00:56.200 --> 00:00:59.240]  他會說是「夾縫中的照明」
[00:00:59.240 --> 00:01:04.320]  有培靈會會用到是「在夾縫中的信望愛」
[00:01:04.320 --> 00:01:06.640]  甚至宣教師團體的題目
[00:01:06.640 --> 00:01:09.640]  都是「掙扎於兩難之間」
[00:01:09.640 --> 00:01:11.960]  「夾縫之間的模樣」
[00:01:11.960 --> 00:01:15.080]  可見「夾縫」或許都是我們
[00:01:15.080 --> 00:01:17.280]  不少人生活的寫照
[00:01:17.280 --> 00:01:21.400]  或者都是我們不難去「甕」到的一個感覺
[00:01:21.400 --> 00:01:28.360]  當你聽到「夾縫」這兩個字的時候你會覺得怎樣?
[00:01:28.360 --> 00:01:32.600]  或者可能有些動彈不得
[00:01:32.600 --> 00:01:34.240]  有些壓迫
[00:01:34.240 --> 00:01:36.720]  斷固都不會是一個舒服的感覺
[00:01:36.720 --> 00:01:40.080]  甚至乎是覺得有些扭曲
[00:01:40.080 --> 00:01:42.000]  如果按照原文的直譯
[00:01:42.000 --> 00:01:44.520]  詩人在今天的經文中提到
[00:01:44.520 --> 00:01:48.000]  「我在狹窄,narrowness,tightness」
[00:01:48.000 --> 00:01:50.120]  意思就是困境之中
[00:01:50.120 --> 00:01:53.280]  上帝曾經使他寬廣
[00:01:53.280 --> 00:01:55.560]  或者亦做寬暢
[00:01:55.560 --> 00:01:59.440]  在一些卡住甚至卡實的狀況的時候
[00:01:59.440 --> 00:02:01.320]  詩人曾經經驗過
[00:02:01.320 --> 00:02:04.080]  是上帝擴張他的空間
[00:02:04.080 --> 00:02:06.880]  讓他有突破重圍
