
[00:00:00.000 --> 00:00:03.000]  如果我沒有了解錯的話
[00:00:03.000 --> 00:00:06.000]  我們教會的屬靈背景
[00:00:06.000 --> 00:00:09.000]  或者叫做神學的傳統
[00:00:09.000 --> 00:00:12.000]  是屬於福音派
[00:00:12.000 --> 00:00:17.000]  又或者叫做保守派都可以
[00:00:17.000 --> 00:00:19.000]  當我們叫做福音派
[00:00:19.000 --> 00:00:21.000]  或者我們叫做保守派的時候
[00:00:21.000 --> 00:00:23.000]  相信大家都知道
[00:00:23.000 --> 00:00:27.000]  有一樣東西我們是非常重視的
[00:00:27.000 --> 00:00:30.000]  是什麼呢?
[00:00:30.000 --> 00:00:34.000]  就是我們很多時候都鼓勵弟兄姊妹
[00:00:34.000 --> 00:00:37.000]  要多讀聖經
[00:00:37.000 --> 00:00:39.000]  同不同意?
[00:00:39.000 --> 00:00:42.000]  來了教會很久你都常常聽到的
[00:00:42.000 --> 00:00:44.000]  這個是真的
[00:00:44.000 --> 00:00:46.000]  這個就是我們的屬靈背景
[00:00:46.000 --> 00:00:48.000]  福音派神學傳統裡面的
[00:00:48.000 --> 00:00:51.000]  一個很重要的地方
[00:00:51.000 --> 00:00:53.000]  就是要多讀聖經
[00:00:53.000 --> 00:00:55.000]  所以當你在教會內的時候
[00:00:55.000 --> 00:00:57.000]  你會發現有很多的活動
[00:00:57.000 --> 00:01:00.000]  都和神的話語有關
[00:01:00.000 --> 00:01:02.000]  主日學
[00:01:02.000 --> 00:01:04.000]  讀經營
[00:01:04.000 --> 00:01:07.000]  推動一些讀經運動
[00:01:07.000 --> 00:01:12.000]  我們又有讀經的比賽
[00:01:12.000 --> 00:01:14.000]  問答比賽
[00:01:14.000 --> 00:01:17.000]  背金句等等
[00:01:17.000 --> 00:01:19.000]  很多時候這些操練這些活動
[00:01:19.000 --> 00:01:22.000]  都是幫助我們明白神的話語
[00:01:22.000 --> 00:01:24.000]  去吸收神的話語
[00:01:24.000 --> 00:01:26.000]  這個是沒有錯的
[00:01:26.000 --> 00:01:29.000]  也是我們需要繼續持守的
[00:01:29.000 --> 00:01:32.000]  聖經是我們的根基
[00:01:32.000 --> 00:01:36.000]  是我們規範的最高的準則
[00:01:36.000 --> 00:01:39.000]  所以我們要繼續看從這方面
[00:01:39.000 --> 00:01:41.000]  不過當我靜下來去思考的時候
[00:01:41.000 --> 00:01:43.000]  我們又發現有一樣東西
[00:01:43.000 --> 00:01:48.000]  在我們推動重視讀經的同時
[00:01:48.000 --> 00:01:51.000]  我們有一樣東西是忽略了
[00:01:51.000 --> 00:01:53.000]  是什麼呢?
[00:01:53.000 --> 00:01:56.000]  有一樣東西我們忽略了
[00:01:56.000 --> 00:01:59.000]  那一樣東西就是原來我們
[00:01:59.000 --> 00:02:02.000]  沒有強調一樣東西
[00:02:02.000 --> 00:02:04.000]  就是當我們讀經的時候
[00:02:04.000 --> 00:02:09.000]  我們需要仰賴聖靈
[00:02:09.000 --> 00:02:11.000]  是不是?
[00:02:11.000 --> 00:02:13.000]  比較少講的
[00:02:13.000 --> 00:02:15.000]  但是今天我希望能夠帶出來
[00:02:15.000 --> 00:02:17.000]  給頂子妹來到思想
[00:02:17.000 --> 00:02:20.000]  原來當我們讀神的話語的時候
[00:02:20.000 --> 00:02:22.000]  我們需要仰賴聖靈
[00:02:22.000 --> 00:02:25.000]  因為聖靈是幫助我們進入真理
[00:02:25.000 --> 00:02:29.000]  或者解釋成明白真理
[00:02:29.000 --> 00:02:30.000]  是這樣的
[00:02:30.000 --> 00:02:32.000]  這個是很重要的
[00:02:32.000 --> 00:02:35.000]  讀神的話語是要明白上帝的心意
[00:02:35.000 --> 00:02:37.000]  上帝的計劃
