
[00:00:00.000 --> 00:00:09.000]  今天雖然我們只一起的唸了十五節,但是我們是看整章的經。
[00:00:09.000 --> 00:00:20.000]  那我們先來看看這個短片。
[00:00:27.000 --> 00:00:33.000]  David在這七篇的文化,他這樣子的列出來。
[00:00:33.000 --> 00:00:48.000]  每一年裡面,行政人員和員工大概偷了公司大約六千億。
[00:00:54.000 --> 00:01:00.000]  我不肯定到底他們是偷竊了什麼,可能是時間或者是一些工具。
[00:01:00.000 --> 00:01:10.000]  百分之七十四的高中學生說他們曾經作弊。
[00:01:21.000 --> 00:01:28.000]  大約百分之九十的大學生說他們說謊來提高尋找工作的機會。
[00:01:28.000 --> 00:01:40.000]  大約百分之五十的履歷表裡面包含了假的資料。
[00:01:49.000 --> 00:01:55.000]  在我們住的這個環境裡面,謊言撒謊好像是一個很普遍的事情。
[00:01:55.000 --> 00:02:00.000]  有些人用謊言來保護自己。
[00:02:00.000 --> 00:02:07.000]  或者是保護他們的朋友或親戚。
[00:02:07.000 --> 00:02:17.000]  在這章我們讀的第九章,欺騙人就是用謊言來保護自己。
[00:02:20.000 --> 00:02:26.000]  那在耶穌亞書第二章我們也看到拉何用謊言來保護兩位探子。
[00:02:26.000 --> 00:02:41.000]  如果我們想深一點,他的目的其實是要保護自己和他的家人。
[00:02:47.000 --> 00:02:55.000]  那要是我們仔細思想一下,其實謊言很多時候,人會撒謊就是為了自私的原因。
[00:02:55.000 --> 00:03:08.000]  我們看到當以色列人橫過耶誕河後,
[00:03:18.000 --> 00:03:28.000]  就是他們還沒有進入迦蘭帝之前,上帝的名聲和神在埃及所做的大事,很多人都聽到。
[00:03:28.000 --> 00:03:41.000]  當以色列人經過了耶誕河,他們就毀掉耶利哥這個城市。
[00:03:45.000 --> 00:03:49.000]  接下來就是艾城。
[00:03:49.000 --> 00:04:13.000]  我們看到賀人,亞摩利人,迦蘭人,耶利比希人,希莫人,耶布斯人,他們的王都忌怕以色列人。
[00:04:14.000 --> 00:04:17.000]  他們就聯盟。
[00:04:17.000 --> 00:04:35.000]  阿摩斯人他們就這樣聯盟了五個王,要來攻擊攻打以色列人。
[00:04:45.000 --> 00:04:49.000]  但是欺騙人他們就想用其他的方法。
[00:04:49.000 --> 00:05:00.000]  他們決定採用欺騙的方式。
[00:05:00.000 --> 00:05:09.000]  他們就計畫了一套的謊言。
[00:05:15.000 --> 00:05:24.000]  他就拆拍一批的人,就打扮得像他們從遙遠的地方來的旅客。
[00:05:24.000 --> 00:05:37.000]  對不起,剛才我說是南方的王。
[00:05:45.000 --> 00:05:51.000]  欺騙人就想用其他的方法,用欺騙的方法成為以色列人的朋友。
[00:06:13.000 --> 00:06:22.000]  他們的詭計就是假扮,穿著破舊的衣服,拿著破舊的口袋和乾了的乾糧。
[00:06:22.000 --> 00:06:37.000]  他們要打扮這樣子,主要就是讓以色列人很容易地聽信他們所說的故事。
[00:06:42.000 --> 00:06:47.000]  那好讓以色列人跟他們的利益保護他們,而不傷害他們。
[00:06:47.000 --> 00:07:00.000]  謊言是很可怕的,因為我們不知道它從何開始。
[00:07:00.000 --> 00:07:08.000]  如果我們面對面的抵抗,我們知道我們的仇敵是誰。
[00:07:13.000 --> 00:07:18.000]  所以,欺騙人的製造謊言不是為了破壞,而是為了保護自己。
[00:07:18.000 --> 00:07:31.000]  所以為什麼我說我們撒謊,有時候就是為了要保護自己。
[00:07:43.000 --> 00:07:52.000]  神特別地吩咐以色列人,你們進入迦蘭地的時候,不可以與當地的人通婚,不可以與他們利益。
[00:07:52.000 --> 00:07:58.000]  你們應該會消滅所有的外邦人。
[00:07:58.000 --> 00:08:08.000]  所以以色列人其實他們知道自己所做的是什麼。
[00:08:13.000 --> 00:08:16.000]  我相信他們忘記了上帝的吩咐。
[00:08:16.000 --> 00:08:23.000]  所以他們就被欺騙人欺哄。
[00:08:23.000 --> 00:08:31.000]  他就以當地的人利益。
[00:08:31.000 --> 00:08:39.000]  我們都知道撒謊是罪。
[00:08:43.000 --> 00:08:47.000]  就是外邦人不信神的人也知道謊言是錯的。
[00:08:47.000 --> 00:09:01.000]  不同的就是我們基督徒,我們對撒謊這個罪非常的敏感。
[00:09:09.000 --> 00:09:13.000]  所以我們成為基督徒後,我們不會特意地去說謊。
[00:09:13.000 --> 00:09:21.000]  但是有時候我們會隱藏真相。
[00:09:21.000 --> 00:09:27.000]  可能就是為了自私的原因。
[00:09:27.000 --> 00:09:34.000]  比如說我們既怕失去了我們的朋友。
[00:09:39.000 --> 00:09:43.000]  或者是人家知道我們的一些真相,他們會不喜悅我們。
[00:09:43.000 --> 00:09:58.000]  所以很常謊言是出自於自私的目的。
[00:10:07.000 --> 00:10:12.000]  其實我們隱藏真相很多時候是因為我們缺乏了對上帝的信心。
[00:10:12.000 --> 00:10:17.000]  我們不願意相信神。
[00:10:17.000 --> 00:10:29.000]  我們無法完全地相信神能夠保護我們,神能夠看顧我們。
[00:10:34.000 --> 00:10:38.000]  那即便人和拉赫的分別是拉赫相信神。
[00:10:38.000 --> 00:10:52.000]  拉赫豐文有神,但是他卻用錯誤的方法來對神的表達。
[00:11:02.000 --> 00:11:11.000]  即便他們聽到一切關乎上帝的事,但是他們卻不願意相信這一位神,也為了保護自己。
[00:11:11.000 --> 00:11:25.000]  如果我們在像他們相似的困難當中,我們有其他選擇的方法嗎?
[00:11:30.000 --> 00:11:33.000]  我相信耶穌是我們最好的榜樣。
[00:11:33.000 --> 00:11:46.000]  那今天在第二堂陳牧師講到說,教導我們不要效法彼得的榜樣。
[00:11:58.000 --> 00:12:04.000]  彼得三次地否認神,三次地撒謊說他並不是神耶穌的門徒。
[00:12:04.000 --> 00:12:08.000]  如果你看到我們的主耶穌,
[00:12:08.000 --> 00:12:17.000]  他被逮捕一直到他上十字架。
[00:12:23.000 --> 00:12:28.000]  如果他願意向他們認同我並不是彼得的話,也許他就不用走上十字架。
[00:12:28.000 --> 00:12:35.000]  但是在整個的過程當中,他都默默地無語。
[00:12:35.000 --> 00:12:48.000]  其實有時候他都不用回答什麼,其他的人為他回答。
[00:12:51.000 --> 00:12:53.000]  最好的例子就是比拉多。
[00:12:53.000 --> 00:12:58.000]  比拉多陳述關於所有他的事。
[00:12:58.000 --> 00:13:15.000]  就好像我的一位教授說,如果沒有什麼好話從我們嘴巴講出來的話,那我們就閉口無言。
[00:13:19.000 --> 00:13:23.000]  其實他說的那個例子就是在夫妻之間的關係。
[00:13:23.000 --> 00:13:33.000]  因為謊言不能夠榮耀上帝。
[00:13:33.000 --> 00:13:47.000]  我們撒謊呢,其實證明出來我們對上帝的信任是多麼的少。
