
[00:00:00.000 --> 00:00:02.940]  弟兄姊妹主來平安
[00:00:02.940 --> 00:00:07.620]  不知不覺就到了《哥羅西書》第四章最後一講
[00:00:07.620 --> 00:00:11.420]  今天的題目就是「打開傳道的門」
[00:00:11.420 --> 00:00:17.260]  首先我們慣常就是港道來學英文
[00:00:17.260 --> 00:00:20.600]  聽多一點港道 英文會進步
[00:00:20.600 --> 00:00:24.840]  之前我在福音茶座教英文
[00:00:24.840 --> 00:00:28.200]  都教人們那個叫做英文的命令式
[00:00:28.200 --> 00:00:31.920]  imperative 即是說你命令人們做一些事
[00:00:31.920 --> 00:00:35.320]  例如叫人們開門 開門就可以了
[00:00:35.320 --> 00:00:37.120]  你不會說you open the door
[00:00:37.120 --> 00:00:39.980]  反而沒有禮貌 你不要用那個you字
[00:00:39.980 --> 00:00:42.800]  如果想禮貌一點又怎樣呢
[00:00:42.800 --> 00:00:45.600]  當然是加個please在後面
[00:00:45.600 --> 00:00:48.480]  大家懂的 英文很低級
[00:00:48.480 --> 00:00:51.440]  但是高級一點
[00:00:51.440 --> 00:00:54.120]  open the door就是開了門
[00:00:54.120 --> 00:00:56.240]  但其實有另一個解釋
[00:00:56.240 --> 00:01:00.600]  英文裡open the door可以有另一個解釋
[00:01:00.600 --> 00:01:04.200]  即是說提供一個機會
[00:01:04.200 --> 00:01:07.120]  可以令到你可以做到一些事
[00:01:07.120 --> 00:01:10.400]  更加容易令到一些事會發生
[00:01:10.400 --> 00:01:13.260]  即是打開了個門令到一些事可以發生
[00:01:13.260 --> 00:01:17.320]  進入一個新的景象 新的領域
[00:01:17.320 --> 00:01:20.520]  意思就是說open the door就是
[00:01:20.520 --> 00:01:22.880]  這件事發生了就打開個門
[00:01:22.880 --> 00:01:26.720]  令到更多人受惠 更多人可以做
[00:01:26.720 --> 00:01:29.320]  之前有個奧運選手 殘障的選手
[00:01:29.320 --> 00:01:32.280]  就是很厲害 跑步
[00:01:32.280 --> 00:01:36.000]  那些人就說他因為他的成功
[00:01:36.000 --> 00:01:37.920]  他出了名 所以open the door
[00:01:37.920 --> 00:01:40.960]  for其他的有殘障的人都不要自卑
[00:01:40.960 --> 00:01:42.240]  都可以做多一點運動
[00:01:42.240 --> 00:01:44.040]  甚至做到奧運的選手
[00:01:44.040 --> 00:01:46.000]  大家明白什麼是open the door是嗎
[00:01:46.000 --> 00:01:49.120]  保羅就是 保羅英文很厲害
[00:01:49.120 --> 00:01:51.760]  所以他一早就已經是這樣說
[00:01:51.760 --> 00:01:52.960]  打開個門
[00:01:52.960 --> 00:01:56.400]  當然他打開個門就是講傳道的門
[00:01:56.400 --> 00:01:57.720]  打開個門是做什麼呢
[00:01:57.720 --> 00:02:03.320]  是帶我們進入一個新的時代 可以這樣說
[00:02:03.320 --> 00:02:04.600]  考考大家
[00:02:04.600 --> 00:02:07.000]  記不記得你27年前的今天
[00:02:07.000 --> 00:02:09.440]  你在做什麼呢
[00:02:09.440 --> 00:02:10.600]  不記得了 是吧
