
[00:00:00.000 --> 00:00:03.200]  丁子梅,你跟旁邊的人說一聲,你敬拜很有力啊!
[00:00:03.200 --> 00:00:10.500]  好,我們繼續用這一份的有力,繼續這一份的火熱,
[00:00:10.500 --> 00:00:12.300]  我們讀出今天的經文。
[00:00:12.300 --> 00:00:16.200]  約翰福音一章,一至十四節,以及第十八節,一二三。
[00:00:16.200 --> 00:00:19.300]  太初有道,道與神同在。
[00:00:19.300 --> 00:00:23.400]  道就是神,這道太初與神同在。
[00:00:23.400 --> 00:00:25.800]  萬物是藉著他造的。
[00:00:25.800 --> 00:00:29.900]  凡被造的,沒有一樣不是藉著他造的。
[00:00:29.900 --> 00:00:34.600]  生命在他旅行,這生命就是人的光。
[00:00:34.600 --> 00:00:38.800]  光照在下行地,下行卻不是神光。
[00:00:38.800 --> 00:00:43.800]  有一個人只是從神打去踩入地,亦叫若可。
[00:00:43.800 --> 00:00:48.900]  這人來,謂要作見證,就是謂光作見證。
[00:00:48.900 --> 00:00:53.400]  叫眾人因他可以信,他不是那光。
[00:00:53.400 --> 00:00:58.000]  而是要謂光作見證,那光是真光。
[00:00:58.000 --> 00:01:01.200]  照亮一切生在世上的人。
[00:01:01.200 --> 00:01:05.300]  他在世界,世界也是藉著他造的。
[00:01:05.300 --> 00:01:09.900]  世界卻不認識他,他要自己的地方來,
[00:01:09.900 --> 00:01:12.600]  自己的人都不接待他。
[00:01:12.600 --> 00:01:16.200]  凡接待他的,就是信他明的人。
[00:01:16.200 --> 00:01:20.300]  他就似他們權柄,作神的兒女。
[00:01:20.300 --> 00:01:25.400]  這等人不是從血氣生的,不是從情慾生的,
[00:01:25.400 --> 00:01:29.900]  也不是從仁義生的,乃是從神生的。
[00:01:29.900 --> 00:01:33.600]  道成了肉身,住在我們中間,
[00:01:33.600 --> 00:01:37.100]  充充滿滿的,有因典有真理。
[00:01:37.100 --> 00:01:42.600]  我們也見過他的榮光,正是父獨生子的榮光。
[00:01:42.600 --> 00:01:48.300]  從來沒有人看見神,只有在父懷裡的獨生子,
[00:01:48.300 --> 00:01:50.600]  將他表明出來。
[00:01:50.600 --> 00:01:56.100]  使徒約翰對耶穌基督的三個重要的身份介紹。
[00:01:56.100 --> 00:01:59.600]  第一,耶穌是道,耶穌是神。
[00:01:59.600 --> 00:02:02.600]  道就是神,道成肉身。
[00:02:02.600 --> 00:02:04.100]  我們再讀這個經文。
[00:02:04.100 --> 00:02:07.600]  太初有道,道就是神同在。
[00:02:07.600 --> 00:02:11.600]  道就是神,這道太初與神同在。
