
[00:00:00.000 --> 00:00:03.000]  創造天地萬物的主
[00:00:03.000 --> 00:00:06.000]  我們恭敬的將這段時候放在祢的手裡頭
[00:00:06.000 --> 00:00:09.000]  求祢恩代這裡在座每一位
[00:00:09.000 --> 00:00:12.000]  讓我們在這段時間都能夠經歷到祢
[00:00:12.000 --> 00:00:15.000]  祈禱是奉主耶穌基督的名
[00:00:15.000 --> 00:00:21.000]  在這時候特別想歡迎
[00:00:21.000 --> 00:00:25.000]  第一次踏足教會的親友
[00:00:25.000 --> 00:00:28.000]  我們今天是有緣相聚
[00:00:28.000 --> 00:00:32.000]  不過「緣」字就是「原因」的「緣」
[00:00:32.000 --> 00:00:35.000]  我們是有原因今天聚在一起的
[00:00:35.000 --> 00:00:38.000]  什麼原因呢?
[00:00:38.000 --> 00:00:43.000]  基督徒的親友邀請你今天來教會
[00:00:43.000 --> 00:00:46.000]  其實就是很想和你介紹
[00:00:46.000 --> 00:00:49.000]  我們所相信的這位耶穌基督
[00:00:49.000 --> 00:00:52.000]  你願意來
[00:00:52.000 --> 00:00:55.000]  你來教會大概也是想認識
[00:00:55.000 --> 00:01:00.000]  想知道究竟基督教信仰是怎樣的信仰
[00:01:00.000 --> 00:01:04.000]  基督徒所相信的耶穌基督是怎樣的耶穌基督
[00:01:04.000 --> 00:01:07.000]  所以我都不會轉彎抹角的
[00:01:07.000 --> 00:01:13.000]  我會很直接和你介紹我們基督徒相信的這位耶穌基督
[00:01:13.000 --> 00:01:22.000]  基督徒相信聖經是這位創造主向人的啟示
[00:01:22.000 --> 00:01:26.000]  其中有一段聖經裡就是這樣介紹耶穌基督的
[00:01:26.000 --> 00:01:31.000]  就是希伯來書第一章第一節到第三節
[00:01:31.000 --> 00:01:38.000]  「神在古時藉著眾先知多次多方的曉喻列祖
[00:01:38.000 --> 00:01:41.000]  就在這末世藉著他而展曉喻我們
[00:01:41.000 --> 00:01:48.000]  又早以納他為承受萬有的也曾藉著他創造諸世界
[00:01:48.000 --> 00:01:52.000]  他攝神榮耀所發的光輝攝神本體的真像
[00:01:52.000 --> 00:01:56.000]  常用他權能的命令托住萬有
[00:01:56.000 --> 00:02:02.000]  他洗淨了人的罪就坐在高天支大者的右邊」
[00:02:02.000 --> 00:02:04.000]  這段經文很重要
[00:02:04.000 --> 00:02:09.000]  是基督徒的信仰裡對耶穌基督很重要的認識
[00:02:09.000 --> 00:02:16.000]  這裡說耶穌基督就是那位創造宇宙萬物的根源
[00:02:16.000 --> 00:02:22.000]  他曾創造諸世界
[00:02:22.000 --> 00:02:27.000]  因為耶穌基督也是萬物最後的歸宿
[00:02:27.000 --> 00:02:30.000]  就是這裡所說的
[00:02:30.000 --> 00:02:36.000]  「又早以納他為承受萬有的」
[00:02:36.000 --> 00:02:40.000]  而且耶穌基督也是萬物被創造
[00:02:40.000 --> 00:02:42.000]  到將來最後的歸宿之間
[00:02:42.000 --> 00:02:45.000]  我們今天這段時間
[00:02:45.000 --> 00:02:49.000]  宇宙萬物能夠被維持
[00:02:49.000 --> 00:02:52.000]  都是這位耶穌基督
[00:02:52.000 --> 00:02:54.000]  就是這裡所說的
[00:02:54.000 --> 00:02:59.000]  「他常用他權能的命令托住萬有」
[00:02:59.000 --> 00:03:03.000]  這位耶穌基督是很重要的一個介紹
[00:03:03.000 --> 00:03:07.000]  好像聖經另一個經文說同樣的意思
[00:03:07.000 --> 00:03:08.000]  耶穌基督是誰呢?
[00:03:08.000 --> 00:03:12.000]  是萬有,宇宙萬物都是本於他
[00:03:12.000 --> 00:03:17.000]  依靠他,然後歸於他
[00:03:17.000 --> 00:03:19.000]  宇宙萬物的根源
[00:03:19.000 --> 00:03:23.000]  宇宙萬物將來意義的歸宿
[00:03:23.000 --> 00:03:27.000]  還有今天萬物能夠被維持
[00:03:27.000 --> 00:03:31.000]  都是這位耶穌基督
[00:03:31.000 --> 00:03:34.000]  平時我們不會想這麼嚴肅的問題
[00:03:34.000 --> 00:03:35.000]  好像很偉大
[00:03:35.000 --> 00:03:37.000]  這些問題太過嚴肅了
