
[00:00:00.000 --> 00:00:03.200]  各位頂姐妹,晚安,是嗎?
[00:00:03.200 --> 00:00:09.380]  今日跟大家分享《馬可福音》,大家可能很熟悉
[00:00:09.380 --> 00:00:14.580]  《馬可福音》如果你打開聖經,你會發現十六章是一至二十節的
[00:00:14.580 --> 00:00:16.220]  一至二十節,但是呢
[00:00:16.220 --> 00:00:22.220]  如果你認真讀過聖經那些,你就知道《馬可福音》最早、最可靠的抄本
[00:00:22.220 --> 00:00:24.340]  其實平日一至八節的
[00:00:24.340 --> 00:00:31.160]  九至二十節,就算你現在打開這本紅色的和合本
[00:00:31.160 --> 00:00:37.160]  它都是括著它,其實是後來有古卷加上去的
[00:00:37.160 --> 00:00:42.200]  就是說最可靠的版本其實是停在第八節
[00:00:42.200 --> 00:00:43.100]  的意思是什麼呢?
[00:00:43.100 --> 00:00:48.240]  就是這幫婦女聽到復活的訊息,沒有傳開去
[00:00:48.240 --> 00:00:49.500]  完了
[00:00:49.500 --> 00:00:54.500]  有些人讀到這裏,如果停在這裏,他就會覺得很詫異
[00:00:54.500 --> 00:00:58.600]  不是吧?不完整,爛尾,有沒有搞錯?
[00:00:58.600 --> 00:01:02.200]  就開始起哄,沒理由是這樣的
[00:01:02.200 --> 00:01:04.540]  《原文直譯》更奇怪
[00:01:04.540 --> 00:01:06.760]  那個《原文直譯》其實是
[00:01:06.760 --> 00:01:10.100]  我們這裏叫做好一點,因為他們害怕
[00:01:10.100 --> 00:01:14.300]  其實《原文直譯》是他們害怕,因為
[00:01:14.300 --> 00:01:16.200]  完了
[00:01:16.200 --> 00:01:19.000]  不知道因為什麼,你們明白我講什麼嗎?
[00:01:19.000 --> 00:01:22.560]  他們,就是婦女害怕,然後因為,沒有了
[00:01:22.560 --> 00:01:27.220]  而不是漏了,不是不見了,是故意這樣完結
[00:01:27.220 --> 00:01:32.020]  很奇怪的,就是這樣就完結了
[00:01:32.020 --> 00:01:33.500]  就是馬可福音這樣
[00:01:33.500 --> 00:01:38.700]  就是我們一向喜歡大團圓的,我們看得TVB多
[00:01:38.700 --> 00:01:43.260]  因為我們總是要最後一幕,要燒一下食物
[00:01:43.260 --> 00:01:45.420]  分享一下將來,這樣圓滿一點
[00:01:45.420 --> 00:01:49.900]  還有我們給那些四福音分圖,馬太、盧家、若韓
[00:01:49.900 --> 00:01:54.600]  這麼圓滿,你沒可能停在一個很不圓滿的結局,是嗎?
[00:01:54.600 --> 00:01:58.400]  馬可福音其實就是一個這樣的版本
[00:01:58.400 --> 00:02:01.700]  相對起馬太和盧家,馬可其實是
[00:02:01.700 --> 00:02:05.600]  即是公認的了,即是用字粗糙
[00:02:05.600 --> 00:02:10.000]  情節奇怪、岩蠶,爛尾
[00:02:10.000 --> 00:02:14.600]  這個就是馬可福音一個這樣的書卷
[00:02:14.600 --> 00:02:17.860]  但是為什麼仍然被人擺上正典呢?
[00:02:17.860 --> 00:02:23.560]  一卷這樣的書卷,其實是最反映到真實的人性的
[00:02:23.560 --> 00:02:25.220]  其實人就是這樣
[00:02:25.220 --> 00:02:30.520]  我們就是那種粗糙、岩岩、殘殘、爛尾的生命
[00:02:30.520 --> 00:02:37.360]  或者我們需要用這樣的方式去閱讀裡面的人物
[00:02:37.360 --> 00:02:42.160]  那你才讀到,原來馬可福音裡面的人其實就是這麼真實
[00:02:42.160 --> 00:02:46.700]  就是這麼不知頭不知腦,就是這麼奇怪、岩蠶
[00:02:46.700 --> 00:02:49.520]  或者他根本他好像結尾都不知道想怎樣
[00:02:49.520 --> 00:02:52.060]  那這個就是我們真實的生命
[00:02:52.060 --> 00:02:54.760]  或者馬可福音其實是想呈現一種這樣的生命
[00:02:54.760 --> 00:03:00.760]  所以呢,你需要帶著這種的心情去進入
[00:03:00.760 --> 00:03:02.060]  馬可福音裡面沒有一個人物
[00:03:02.060 --> 00:03:05.400]  甚至今天我想說的三批人物就是婦女
[00:03:05.400 --> 00:03:07.900]  婦女那種真實是怎樣真實化呢?
[00:03:07.900 --> 00:03:11.000]  復活的基督,復活基督真的很真實的,是嗎?
[00:03:11.000 --> 00:03:14.000]  就是門徒,四散了的門徒
[00:03:14.000 --> 00:03:17.360]  這個就是想我們去投入這種情懷
