
[00:00:00.000 --> 00:00:04.400]  很高興今天能夠和大家一起分享主的華語
[00:00:04.400 --> 00:00:07.800]  在我們開始之前,我們一起來低頭祈禱
[00:00:07.800 --> 00:00:10.800]  慈悲的天父,我們感謝讚美你
[00:00:10.800 --> 00:00:14.600]  讓我們能夠聚在一起,來敬拜主祢
[00:00:14.600 --> 00:00:17.800]  讓我們知之又有的來到祢的面前
[00:00:17.800 --> 00:00:20.400]  主啊,求祢開放我們的心
[00:00:20.400 --> 00:00:22.800]  開放我們的眼,開放我們的耳朵
[00:00:22.800 --> 00:00:30.600]  亦都求祢用孩子,將祢的真理釋放出來
[00:00:30.600 --> 00:00:33.600]  不單止我們只有個聽,而且我們真的能夠懂得怎樣
[00:00:33.600 --> 00:00:37.600]  在我們日常生活當中,好好地將祂運用出來
[00:00:37.600 --> 00:00:40.600]  來合乎著祢的道
[00:00:40.600 --> 00:00:45.600]  我們今天的祈禱是奉主耶穌基督,得聖的名叩,Amen
[00:00:45.600 --> 00:00:48.600]  很高興和大家一起
[00:00:48.600 --> 00:00:54.600]  我很記得我自從信主,一直到一段時間
[00:00:54.600 --> 00:00:56.600]  對聖經裡頭都有很多的疑問
[00:00:56.600 --> 00:00:58.600]  其實這個很正常的
[00:00:58.600 --> 00:01:03.600]  因為我相信大家當中對聖經裡頭還是有些疑問
[00:01:03.600 --> 00:01:05.600]  因為聖經真是很深奧
[00:01:05.600 --> 00:01:10.600]  我們花一生的時間去研究,有時都好像覺得不夠
[00:01:10.600 --> 00:01:13.600]  當我們的疑問當中,對我來說疑問當中
[00:01:13.600 --> 00:01:15.600]  兩個很大的疑問,其中一個就是
[00:01:15.600 --> 00:01:18.600]  大家都很熟悉的莊園的故事
[00:01:18.600 --> 00:01:22.600]  早些進去做和遲些進去做的待遇是一樣的
[00:01:22.600 --> 00:01:24.600]  是不是那個時候沒有工會呢?
[00:01:24.600 --> 00:01:28.600]  所以好像是不平等待遇,是不是?
[00:01:28.600 --> 00:01:31.600]  那現在來說,馬上就掟石了,是不是?
[00:01:31.600 --> 00:01:33.600]  第二件事就是,有一對夫婦
[00:01:33.600 --> 00:01:38.600]  因為說了一句謊言,就馬上烏乎哀哉,就去世了
[00:01:38.600 --> 00:01:44.600]  不過感謝主最後都讓我能夠體會到這兩個合適的答案
[00:01:44.600 --> 00:01:48.600]  我雖然最後的學位是在社會科學
[00:01:48.600 --> 00:01:51.600]  但我一直以來的訓練都是在理科上面
[00:01:51.600 --> 00:01:56.600]  所以對我來說,一個量度的準則是很重要
[00:01:56.600 --> 00:02:01.600]  到底犯罪有沒有等次,懲罰有沒有階級,有沒有階段呢?
[00:02:01.600 --> 00:02:06.600]  有就好了,因為換言之就可以去設計一個組合
