
[00:00:00.000 --> 00:00:10.000]  此錄音或錄影的版權是屬基督教宣導會北角堂所有
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一是以真理教導為本
[00:00:14.000 --> 00:00:18.000]  歡迎你將此錄音或錄影的連結傳給親友
[00:00:18.000 --> 00:00:21.000]  懇請注意未經授權請勿轉錄
[00:00:21.000 --> 00:00:24.000]  或剪輯本錄音或錄影
[00:00:24.000 --> 00:00:30.000]  十月好似《使徒行傳》二十章三十二節中所說
[00:00:30.000 --> 00:00:35.000]  這道能建立你們,叫你們和一切承聖的人同得基業
[00:00:35.000 --> 00:00:40.000]  《真言》這兩句說話很清楚告訴我們
[00:00:40.000 --> 00:00:45.000]  勤勉誠實是一種基本的美德
[00:00:45.000 --> 00:00:49.000]  不過《真言》這個特色就是你一看就明白它說什麼
[00:00:49.000 --> 00:00:53.000]  有誰不知道要勤力做人不要偷懶
[00:00:53.000 --> 00:00:56.000]  小時候父母就教的
[00:00:56.000 --> 00:01:02.000]  那我們讀《真言》難道是為了讀一些我們知道的道理嗎
[00:01:02.000 --> 00:01:08.000]  是的,這些道理你知道了有沒有做
[00:01:08.000 --> 00:01:11.000]  或者為什麼不做
[00:01:11.000 --> 00:01:15.000]  很可能因為這個世界你看到很多不同的狀況
[00:01:15.000 --> 00:01:22.000]  甚至你覺得在這個世代怎麼可以還說勤力呢
[00:01:22.000 --> 00:01:27.000]  躺平世代,還叫我努力一點
[00:01:27.000 --> 00:01:33.000]  一會兒在談論《真言》的時候會再和大家探討這一部份
[00:01:33.000 --> 00:01:36.000]  《真言》讓我們看見有兩個層面
[00:01:36.000 --> 00:01:42.000]  第一,在日常生活裡面人要做出選擇
[00:01:42.000 --> 00:01:45.000]  《真言》就是說有不同的人
[00:01:45.000 --> 00:01:54.000]  惡人、異人、壞人、好人、愚昧人、智慧人、窮人、富人
[00:01:54.000 --> 00:01:59.000]  其實它是不斷在問你是哪一種人
[00:01:59.000 --> 00:02:03.000]  你要選擇,選擇之後有後果的
[00:02:03.000 --> 00:02:09.000]  有不同的出來的成果或者刑罰
[00:02:09.000 --> 00:02:12.000]  《真言》是指引我們要走一個智慧的生活
[00:02:12.000 --> 00:02:17.000]  就好像《真言》旁邊的書C篇、119篇、105節
[00:02:17.000 --> 00:02:18.000]  你很熟悉的
[00:02:18.000 --> 00:02:24.000]  你的話是我腳前的燈、路上的光
[00:02:24.000 --> 00:02:27.000]  走在路上的
[00:02:27.000 --> 00:02:29.000]  是讓你繼續走的
[00:02:29.000 --> 00:02:33.000]  所以是在說人的選擇
[00:02:33.000 --> 00:02:36.000]  同樣《真言》也告訴我們在這些真理背後
[00:02:36.000 --> 00:02:38.000]  神正在看著
[00:02:38.000 --> 00:02:42.000]  將生活格言放在《聖經》裡面
[00:02:42.000 --> 00:02:45.000]  所羅門或者當代的智者去搜集這些真言
[00:02:45.000 --> 00:02:47.000]  或者寫出這些真言
[00:02:47.000 --> 00:02:49.000]  放在《聖卷》裡面
[00:02:49.000 --> 00:02:53.000]  表達神正在看著這些人的選擇
[00:02:53.000 --> 00:02:55.000]  神在這幅圖畫的背後
[00:02:55.000 --> 00:03:00.000]  去按著你所選的給予你或者收取
[00:03:00.000 --> 00:03:02.000]  神到底想我們怎麼做呢?
[00:03:02.000 --> 00:03:05.000]  所以今天我們會講解一些經文的結構
[00:03:05.000 --> 00:03:10.000]  亦都會就著人的選擇和神會看著這兩個層面
[00:03:10.000 --> 00:03:12.000]  去理解一下《真言》教導我們的真理
[00:03:12.000 --> 00:03:16.000]  亦都會講少少《真言》的特點和應用的方法
[00:03:16.000 --> 00:03:19.000]  我們進入經文之前我們再禱告
[00:03:19.000 --> 00:03:22.000]  天會上帝你是智慧的源頭
[00:03:22.000 --> 00:03:26.000]  求你指教我們當明白人生的道理
[00:03:26.000 --> 00:03:28.000]  甚至在生活微小的部份
[00:03:28.000 --> 00:03:32.000]  讓我們活出你給我們的真智慧
[00:03:32.000 --> 00:03:35.000]  求主的靈教導我們進入真理
[00:03:35.000 --> 00:03:36.000]  多謝你
[00:03:36.000 --> 00:03:37.000]  我們的祈禱是
[00:03:37.000 --> 00:03:39.000]  奉主耶穌基督得聖名之祈求
[00:03:39.000 --> 00:03:41.000]  阿們
[00:03:41.000 --> 00:03:47.000]  十章的第一到第五節其實是一組
[00:03:47.000 --> 00:03:49.000]  我們今天選第二節開始
[00:03:49.000 --> 00:03:52.000]  第一節我們看到有個標題
[00:03:52.000 --> 00:03:54.000]  「所浪門的朕言」
[00:03:54.000 --> 00:04:00.000]  接著的兩行就講出兩個二子的情況的對比
[00:04:00.000 --> 00:04:04.000]  而在第五節同樣有兩個二子的對比
[00:04:04.000 --> 00:04:06.000]  這個譯本都沒有直接譯出來
[00:04:06.000 --> 00:04:08.000]  不過在原本的文字
[00:04:08.000 --> 00:04:12.000]  就是「明智的二子」對「可恥的二子」
[00:04:12.000 --> 00:04:14.000]  一頭一尾兩個二子的對比
[00:04:14.000 --> 00:04:17.000]  跨著了這五節的經文
[00:04:17.000 --> 00:04:19.000]  其實是圍繞著一幅圖畫來講的
[00:04:19.000 --> 00:04:21.000]  我都打了一幅圖給你看
[00:04:21.000 --> 00:04:23.000]  一幅家庭的圖畫
[00:04:23.000 --> 00:04:26.000]  講述一個家族在當時的農業社會
[00:04:26.000 --> 00:04:28.000]  一口田養活一整個大家庭
[00:04:28.000 --> 00:04:31.000]  兒子是代表著家庭的勞動力
[00:04:31.000 --> 00:04:36.000]  這個男丁怎樣去選擇做事影響全家
[00:04:36.000 --> 00:04:38.000]  這個是斟言所說的
[00:04:38.000 --> 00:04:40.000]  他的選擇帶來後果
[00:04:40.000 --> 00:04:43.000]  所以他的選擇怎樣可以令到爸爸歡喜
[00:04:43.000 --> 00:04:44.000]  母親不傷悲
[00:04:44.000 --> 00:04:47.000]  怎樣作個有智慧的兒子呢
[00:04:47.000 --> 00:04:48.000]  第二節這樣講
[00:04:48.000 --> 00:04:49.000]  一起讀吧
[00:04:49.000 --> 00:04:54.000]  「不義之財無益,公義救人免死」
[00:04:54.000 --> 00:04:55.000]  你知道的
[00:04:55.000 --> 00:04:57.000]  不要做壞事賺錢
[00:04:57.000 --> 00:04:59.000]  要選擇對的事來做
[00:04:59.000 --> 00:05:03.000]  不義之財不能給你最終的安全感
[00:05:03.000 --> 00:05:07.000]  只有公義的行為才能夠走到最後
[00:05:07.000 --> 00:05:09.000]  不過你又會了解
[00:05:09.000 --> 00:05:11.000]  壞人有時候都吃得飽的
[00:05:11.000 --> 00:05:15.000]  不義之財都可以給他很多進障
[00:05:15.000 --> 00:05:17.000]  斟言的作者當然明白
[00:05:17.000 --> 00:05:20.000]  而人有時是會挨餓
[00:05:20.000 --> 00:05:21.000]  所以弟兄姊妹
[00:05:21.000 --> 00:05:22.000]  當我們讀斟言的時候
[00:05:22.000 --> 00:05:23.000]  我們要明白一句的斟言
[00:05:23.000 --> 00:05:27.000]  不是將全部的真理濃縮在一兩句說話裡
[00:05:27.000 --> 00:05:30.000]  它是在描述在那一刻當下
[00:05:30.000 --> 00:05:32.000]  神是想我們怎樣去生活
