
[00:00:00.000 --> 00:00:02.200]  今天說馬可福音第十章
[00:00:02.200 --> 00:00:07.300]  我相信是上帝的安排
[00:00:07.300 --> 00:00:11.420]  我沒想過會在這個時候
[00:00:11.420 --> 00:00:13.920]  過去一個星期發生這麼多的事
[00:00:13.920 --> 00:00:16.120]  但畢竟
[00:00:16.120 --> 00:00:21.080]  在剛才那段經文 馬可福音第十章
[00:00:21.080 --> 00:00:24.180]  它是讓我們看到另一幅圖畫
[00:00:24.180 --> 00:00:28.000]  在我們地上生活的時候
[00:00:29.540 --> 00:00:32.820]  有人會管理我們 有人會治理我們
[00:00:32.820 --> 00:00:35.600]  在我們工作的時候
[00:00:35.600 --> 00:00:39.120]  有老闆會管我們
[00:00:39.120 --> 00:00:41.880]  有管理階層會管我們
[00:00:41.880 --> 00:00:47.800]  但主耶穌的教導是完完全全相反的教導
[00:00:47.800 --> 00:00:52.100]  一個我們稱為upside down
[00:00:52.100 --> 00:00:55.520]  一個完全反過來的教導
[00:00:55.520 --> 00:00:57.980]  怎樣做老闆
[00:00:58.320 --> 00:01:00.780]  怎樣做君王
[00:01:00.780 --> 00:01:03.560]  怎樣做管理人
[00:01:03.560 --> 00:01:06.440]  是完全相反的
[00:01:06.440 --> 00:01:10.080]  因為主耶穌的教導是涉及天國的教導
[00:01:10.080 --> 00:01:12.180]  因為馬可福音第十章之前
[00:01:12.180 --> 00:01:15.880]  耶穌一直在說神的國是怎樣
[00:01:15.880 --> 00:01:18.400]  而耶穌所說的
[00:01:18.400 --> 00:01:20.760]  就是在神的國裏面
[00:01:20.760 --> 00:01:24.120]  的管理架構是怎樣的
[00:01:24.800 --> 00:01:28.400]  以致在這裏 主耶穌直接說出來
[00:01:28.400 --> 00:01:31.400]  讓我們去明白
[00:01:31.400 --> 00:01:33.320]  在上帝的家裏面
[00:01:33.320 --> 00:01:34.560]  特別今天
[00:01:34.560 --> 00:01:38.540]  我們有新一屆執事的按立就職禮
[00:01:38.540 --> 00:01:40.980]  在上帝的家裏面
[00:01:40.980 --> 00:01:42.760]  在上帝的國裏面
[00:01:42.760 --> 00:01:46.440]  怎樣去管理上帝的家
[00:01:46.440 --> 00:01:49.180]  用讓我們一齊去祈禱
[00:01:49.180 --> 00:01:53.120]  主有幫助我們
[00:01:54.180 --> 00:01:58.720]  有時我們會將過大 過高的期望
[00:01:58.720 --> 00:02:02.800]  放在我們處身的社會
[00:02:02.800 --> 00:02:04.560]  國家
[00:02:04.560 --> 00:02:08.020]  但我們忘記了
[00:02:08.020 --> 00:02:10.900]  我們最終的盼望
[00:02:10.900 --> 00:02:12.900]  最實在的盼望
[00:02:12.900 --> 00:02:15.160]  是在你身上
[00:02:15.160 --> 00:02:17.160]  在上帝的國身上
[00:02:17.160 --> 00:02:19.960]  主有幫助我們
[00:02:19.960 --> 00:02:22.300]  不是被這個社會
[00:02:22.300 --> 00:02:25.240]  不是被外面的世俗之風
[00:02:25.240 --> 00:02:26.840]  吹來吹去
[00:02:26.840 --> 00:02:30.000]  以致我們忘記了
[00:02:30.000 --> 00:02:32.000]  在這個國裏面
[00:02:32.000 --> 00:02:34.480]  你要我們成為一個怎樣的一個人
[00:02:34.480 --> 00:02:38.160]  用讓教會
[00:02:38.160 --> 00:02:40.160]  在紛亂的年代
[00:02:40.160 --> 00:02:42.160]  顯出你那份的美善
[00:02:42.160 --> 00:02:44.160]  讓人知道
[00:02:44.160 --> 00:02:46.660]  你在這裏
[00:02:46.660 --> 00:02:48.660]  奉主耶穌名字
[00:02:48.660 --> 00:02:50.660]  阿們
[00:02:51.200 --> 00:02:52.720]  我們重新讀一次
[00:02:52.720 --> 00:02:54.220]  今天講到的經文好嗎
[00:02:54.220 --> 00:02:56.220]  很簡單四節
[00:02:56.220 --> 00:02:57.720]  準備起
[00:02:57.720 --> 00:02:59.720]  耶穌叫了他們來
[00:02:59.720 --> 00:03:01.720]  對他們說
[00:03:01.720 --> 00:03:03.220]  你們知道
[00:03:03.220 --> 00:03:06.720]  外邦人有君王作主治理他們
[00:03:06.720 --> 00:03:09.720]  有大臣操權管轄他們
[00:03:09.720 --> 00:03:13.720]  但是在你們中間不可這樣
[00:03:13.720 --> 00:03:16.720]  你們中間誰願為大
[00:03:16.720 --> 00:03:18.720]  就要作你們的用人
[00:03:18.720 --> 00:03:21.720]  在你們中間誰願為首
[00:03:21.720 --> 00:03:24.720]  就要作眾人的僕人
[00:03:24.720 --> 00:03:26.720]  因為人子來
[00:03:26.720 --> 00:03:28.720]  不是要受人的服侍
[00:03:28.720 --> 00:03:30.720]  乃是要服侍人
[00:03:30.720 --> 00:03:32.720]  並且要寫明
[00:03:32.720 --> 00:03:34.720]  作多人的屬價
[00:03:34.720 --> 00:03:36.720]  第四十二節
[00:03:36.720 --> 00:03:39.720]  耶穌叫了他們來對他們說
[00:03:39.720 --> 00:03:41.720]  說什麼
[00:03:41.720 --> 00:03:43.720]  說外邦人
[00:03:43.720 --> 00:03:45.720]  有君王作主治理他們
[00:03:45.720 --> 00:03:50.720]  有大臣操權管轄他們
[00:03:50.720 --> 00:03:51.720]  是不是
[00:03:51.720 --> 00:03:53.720]  事實是這樣
[00:03:53.720 --> 00:03:56.720]  當耶穌那個年代的時候
[00:03:56.720 --> 00:03:58.720]  以色列人
[00:03:58.720 --> 00:04:02.720]  是在羅馬的政權之下
[00:04:02.720 --> 00:04:04.720]  有羅馬的皇帝
[00:04:04.720 --> 00:04:06.720]  去治理他們
[00:04:06.720 --> 00:04:09.720]  有大臣有其他中間管理階層
[00:04:09.720 --> 00:04:10.720]  去管轄他們
[00:04:10.720 --> 00:04:13.720]  即是在上的
[00:04:13.720 --> 00:04:15.720]  是治理在下的
[00:04:15.720 --> 00:04:19.720]  在上的是管轄在下的
[00:04:19.720 --> 00:04:21.720]  無論是
[00:04:21.720 --> 00:04:22.720]  國家
[00:04:22.720 --> 00:04:23.720]  社會
[00:04:23.720 --> 00:04:24.720]  是這樣
[00:04:24.720 --> 00:04:26.720]  無論是公司
[00:04:26.720 --> 00:04:27.720]  或者
[00:04:27.720 --> 00:04:29.720]  做事的機構
[00:04:29.720 --> 00:04:30.720]  都是這樣
[00:04:30.720 --> 00:04:33.720]  建立了不同的管理系統
[00:04:33.720 --> 00:04:35.720]  就是要員工
[00:04:35.720 --> 00:04:38.720]  按照著老闆的心意去工作
[00:04:38.720 --> 00:04:40.720]  而管理階層裡面
[00:04:40.720 --> 00:04:43.720]  一層和一層中間的管理階層
[00:04:43.720 --> 00:04:45.720]  所謂的主任
[00:04:45.720 --> 00:04:46.720]  經理
[00:04:46.720 --> 00:04:47.720]  等等
[00:04:47.720 --> 00:04:49.720]  做的是什麼
[00:04:49.720 --> 00:04:51.720]  希望管到下一個
