
[00:00:00.000 --> 00:00:05.660]  今天我們分享的題目叫「珍惜生命」
[00:00:05.660 --> 00:00:10.880]  而今天我們亦會去到薩姆爾記上的最後一章聖經
[00:00:10.880 --> 00:00:17.280]  亦會去到薩姆爾記下第一章和第二章聖經
[00:00:17.280 --> 00:00:21.000]  我不知道如果聽到「珍惜生命」的時候
[00:00:21.000 --> 00:00:23.240]  你第一件事會想到些什麼呢?
[00:00:23.240 --> 00:00:27.360]  我就想起一個超過二十年的廣告
[00:00:27.360 --> 00:00:32.400]  這個廣告叫做「生命母 Take Two 小心第一步」
[00:00:32.400 --> 00:00:34.440]  我不知道你記不記得這個廣告
[00:00:34.440 --> 00:00:35.520]  如果你記得這個廣告
[00:00:35.520 --> 00:00:37.960]  可能你跟我差不多年紀了
[00:00:37.960 --> 00:00:39.520]  裡面這樣說
[00:00:39.520 --> 00:00:42.040]  生命好像一張白紙
[00:00:42.040 --> 00:00:43.840]  你不好好珍惜
[00:00:43.840 --> 00:00:47.360]  任由一切不好的事情發生在你身上
[00:00:47.360 --> 00:00:50.440]  有可能會一發不可收拾
[00:00:50.440 --> 00:00:54.720]  所以生命母 Take Two 小心第一步
[00:00:54.720 --> 00:00:55.880]  不知道大家有沒有聽過
[00:00:55.880 --> 00:00:59.320]  這個叫我們不要吸食毒品的廣告
[00:00:59.320 --> 00:01:01.760]  另外我又聽過另一個廣告
[00:01:01.760 --> 00:01:06.400]  大家如果記得是叫我們不要醉酒駕駛
[00:01:06.400 --> 00:01:07.880]  裡面的主角是這樣的朋友
[00:01:07.880 --> 00:01:10.080]  叫他不要喝了
[00:01:10.080 --> 00:01:11.120]  他就這樣回應
[00:01:11.120 --> 00:01:13.320]  「喝啦!怕什麼呢?」
[00:01:13.320 --> 00:01:15.480]  然後他的父母就跟他說
[00:01:15.480 --> 00:01:17.600]  「開車啊!還喝?」
[00:01:17.600 --> 00:01:20.200]  然後他就說「飲少少而已」
[00:01:20.200 --> 00:01:22.520]  然後女朋友跟他說「不要喝了」
[00:01:22.520 --> 00:01:25.640]  然後他說「我有分數啊!定點來」
[00:01:25.640 --> 00:01:27.800]  但是鏡頭一轉
[00:01:27.800 --> 00:01:30.880]  他就因為喝醉酒而撞車
[00:01:30.880 --> 00:01:33.800]  不知道我們又有沒有好好地珍惜
[00:01:33.800 --> 00:01:36.560]  以及活好我們的生命呢?
[00:01:36.560 --> 00:01:40.480]  每一年我都會收到我在英國讀的學校
[00:01:40.480 --> 00:01:42.320]  寄給我的季刊
[00:01:42.320 --> 00:01:47.720]  裡面都會說一下最近離世的校友的消息
[00:01:47.720 --> 00:01:49.800]  以及分享他們的生命
[00:01:49.800 --> 00:01:53.880]  每一次當我閱讀這些校友的生命的時候
[00:01:53.880 --> 00:01:58.440]  我發現當中有一些他們努力並且精彩
[00:01:58.440 --> 00:02:01.680]  但是有一些開頭的時候好像很好的
[00:02:01.680 --> 00:02:03.440]  很好的成績畢業
[00:02:03.440 --> 00:02:05.000]  找到很好的工作
[00:02:05.000 --> 00:02:07.240]  或者有很好的背景
[00:02:07.240 --> 00:02:09.120]  但是因為不同的原因
[00:02:09.120 --> 00:02:13.200]  最後的生命好像跟預期有一些落差
