
[00:00:00.000 --> 00:00:03.040]  奏坐和祝福是兩面體
[00:00:03.040 --> 00:00:05.040]  好像今天的講題一樣
[00:00:05.040 --> 00:00:07.040]  今天又講到大綱
[00:00:07.040 --> 00:00:09.040]  大家可以看得更加清楚
[00:00:09.040 --> 00:00:10.040]  我不知道大家是否同意
[00:00:10.040 --> 00:00:13.040]  在聖經當中有關這一類的事情
[00:00:13.040 --> 00:00:16.040]  或者故事的技術有很多
[00:00:16.040 --> 00:00:18.040]  今天大家看的那段經文
[00:00:18.040 --> 00:00:20.040]  就是其中一件事情
[00:00:20.040 --> 00:00:23.040]  基本上整卷的使徒行傳
[00:00:23.040 --> 00:00:27.040]  我們都會說是在描述一件這樣的事情
[00:00:27.040 --> 00:00:28.040]  在使徒行傳裡面
[00:00:28.040 --> 00:00:30.040]  教會是被迫害的
[00:00:30.040 --> 00:00:32.040]  教會一直被迫害的
[00:00:32.040 --> 00:00:35.040]  被民事被祭司一直被迫害
[00:00:35.040 --> 00:00:37.040]  但當一直被迫害的時候
[00:00:37.040 --> 00:00:39.040]  福音就一直被傳
[00:00:39.040 --> 00:00:40.040]  你越迫害得厲害
[00:00:40.040 --> 00:00:42.040]  福音就傳得越多
[00:00:42.040 --> 00:00:44.040]  傳得越遠
[00:00:44.040 --> 00:00:46.040]  迫害是不是奏坐
[00:00:46.040 --> 00:00:49.040]  福音傳開是不是祝福
[00:00:49.040 --> 00:00:51.040]  都是 但是同一件事
[00:00:51.040 --> 00:00:52.040]  我們看看使徒行傳
[00:00:52.040 --> 00:00:53.040]  一直看四章
[00:00:53.040 --> 00:00:55.040]  今天看到第五章
[00:00:55.040 --> 00:00:57.040]  第五章令我們印象最深刻
[00:00:57.040 --> 00:01:00.040]  應該是第五章開頭記載的故事
[00:01:00.040 --> 00:01:03.040]  安娜莉亞兩夫婦因為欺控聖靈
[00:01:03.040 --> 00:01:09.040]  就馬上就死了
[00:01:09.040 --> 00:01:12.040]  她欺控聖靈那件事
[00:01:12.040 --> 00:01:13.040]  大家小心聽
[00:01:13.040 --> 00:01:16.040]  可能你都曾經有做過
[00:01:16.040 --> 00:01:17.040]  我不知道
[00:01:17.040 --> 00:01:19.040]  你聽聽她做過什麼
[00:01:19.040 --> 00:01:23.040]  其實這件事
[00:01:23.040 --> 00:01:25.040]  在使徒行傳有很大的意義
[00:01:25.040 --> 00:01:28.040]  就是當教會被建立的時候
[00:01:28.040 --> 00:01:31.040]  教會開頭被建立的時候
[00:01:31.040 --> 00:01:33.040]  是散發出一種很獨特
[00:01:33.040 --> 00:01:35.040]  並且很美麗的氣質
[00:01:35.040 --> 00:01:38.040]  就是第四章最後那幾節
[00:01:38.040 --> 00:01:39.040]  我讀給大家聽
[00:01:39.040 --> 00:01:41.040]  32至37節
[00:01:41.040 --> 00:01:43.040]  那許多信的人都一心一意
[00:01:43.040 --> 00:01:45.040]  沒有一人說他的東西
[00:01:45.040 --> 00:01:47.040]  有一樣是自己的
[00:01:47.040 --> 00:01:48.040]  都是大家公用
[00:01:48.040 --> 00:01:49.040]  即是教會
[00:01:49.040 --> 00:01:52.040]  使徒大有能力見證主耶穌復活
[00:01:52.040 --> 00:01:54.040]  眾人也都蒙大恩
[00:01:54.040 --> 00:01:57.040]  內宗也沒有一個缺乏的
[00:01:57.040 --> 00:01:59.040]  因為人人將田產
[00:01:59.040 --> 00:02:00.040]  房屋都賣了
[00:02:00.040 --> 00:02:02.040]  把所賣的價銀拿來
[00:02:02.040 --> 00:02:03.040]  放在使徒腳前
[00:02:03.040 --> 00:02:06.040]  照各人所需用的分給各人
[00:02:06.040 --> 00:02:08.040]  有一個利尾人身在塞浦路斯
[00:02:08.040 --> 00:02:09.040]  名叫約瑟
[00:02:09.040 --> 00:02:11.040]  使徒稱他為巴拿巴
[00:02:11.040 --> 00:02:12.040]  他有田地也賣了
[00:02:12.040 --> 00:02:15.040]  把價銀拿來放在使徒腳前
[00:02:15.040 --> 00:02:16.040]  因為在神裡面
[00:02:16.040 --> 00:02:21.040]  每一個創造在原初的時候都是好的
[00:02:21.040 --> 00:02:24.040]  包括天地人
[00:02:24.040 --> 00:02:26.040]  都是好的
[00:02:26.040 --> 00:02:27.040]  在創世紀
[00:02:27.040 --> 00:02:28.040]  開頭的時候
[00:02:28.040 --> 00:02:30.040]  當神創造每一樣東西
[00:02:30.040 --> 00:02:33.040]  神捍衛都是好的
[00:02:33.040 --> 00:02:35.040]  教會也是一樣
[00:02:35.040 --> 00:02:37.040]  在第二章剛剛出現的時候
[00:02:37.040 --> 00:02:38.040]  去到第四章
[00:02:38.040 --> 00:02:39.040]  仍然是很美麗的
[00:02:39.040 --> 00:02:41.040]  剛才讀的那段經文
[00:02:41.040 --> 00:02:42.040]  即是說
[00:02:42.040 --> 00:02:44.040]  大家凡物公用
[00:02:44.040 --> 00:02:46.040]  每個人都把東西賣了
[00:02:46.040 --> 00:02:49.040]  沒有一個人覺得那些是自己的
[00:02:49.040 --> 00:02:51.040]  好不好
[00:02:51.040 --> 00:02:52.040]  好
[00:02:52.040 --> 00:02:53.040]  有沒有出現
[00:02:53.040 --> 00:02:54.040]  現在
[00:02:54.040 --> 00:02:57.040]  現在是沒有出現
[00:02:57.040 --> 00:02:58.040]  那你會發現
[00:02:58.040 --> 00:03:00.040]  為什麼教會記載的東西
[00:03:00.040 --> 00:03:01.040]  今天沒有出現呢
[00:03:01.040 --> 00:03:04.040]  就是因為第五章
[00:03:04.040 --> 00:03:05.040]  去到第五章
[00:03:05.040 --> 00:03:07.040]  就出現了一個戲劇性的逆轉
[00:03:07.040 --> 00:03:10.040]  就是阿拿利亞因為賣田產
[00:03:10.040 --> 00:03:11.040]  每個人都賣
[00:03:11.040 --> 00:03:13.040]  巴拿巴也賣
[00:03:13.040 --> 00:03:14.040]  阿拿利亞也賣
