
[00:00:00.000 --> 00:00:08.500]  今天我們還是繼續看《上秦之詩》的裏面的有兩篇詩篇
[00:00:08.500 --> 00:00:16.500]  今天我們要看的是詩篇125篇跟126篇這兩篇詩歌
[00:00:16.500 --> 00:00:25.000]  詩篇125篇 我們先把這首詩篇一同來讀一遍
[00:00:25.000 --> 00:00:32.000]  詩篇125篇
[00:00:32.000 --> 00:00:38.000]  翻到以後我們一起來讀
[00:00:38.000 --> 00:00:55.000]  依靠耶和華的人,好像西山山永不動搖,縱山怎樣圍繞耶路撒冷,耶和華也照樣圍繞他的百姓,從今時直到永遠。
[00:00:55.000 --> 00:01:20.000]  惡人的葬,不常落在地獄和墳上,免得一人一人身首不落,耶和華求你善待那些爲善和心地真正的人,至於那非情觀其道道之人,耶和華提醒他作惡人,一同出去受刑,願平安歸於一切。
[00:01:20.000 --> 00:01:25.000]  我們先讀125篇
[00:01:25.000 --> 00:01:35.000]  這125篇是中心的意思 講到我們要堅信地依賴神
[00:01:35.000 --> 00:01:44.000]  這首詩歌是教導我們 神必定是看顧、敬畏祂的人
[00:01:44.000 --> 00:01:51.000]  爲了過去神給我們的拯救 我們要感謝祂
[00:01:51.000 --> 00:01:58.000]  而且是爲了現在和將來 我們要堅信地來依賴神
[00:01:58.000 --> 00:02:06.000]  我們一生中間走在這條數天的道路上 最重要的我們就是要依靠神
[00:02:06.000 --> 00:02:14.000]  因爲這條路不是那麼平坦那麼容易 中間有好多的難處
[00:02:14.000 --> 00:02:18.000]  如果是靠我們自己 我們一定是走不好的
[00:02:18.000 --> 00:02:24.000]  但是感謝神 祂是我們的依靠 祂是我們的幫助
[00:02:24.000 --> 00:02:29.000]  所以這個是上行之士的第六首了
[00:02:29.000 --> 00:02:38.000]  教導我們的心要向着神 可以說這首詩歌是一首穩固的詩歌
[00:02:38.000 --> 00:02:44.000]  叫我們在動盪不安的這條路上 這個世界當中
[00:02:44.000 --> 00:02:53.000]  我們能夠由心的穩固 能夠一直依靠神 一直往前走
[00:02:53.000 --> 00:03:00.000]  所以這個第一件 第二件是講到要依賴神的保守
[00:03:00.000 --> 00:03:07.000]  到第三件是一個應許 到第四件是一個禱告
[00:03:07.000 --> 00:03:13.000]  耶和華求禰善待我 善待這些爲善跟心理正直的人
[00:03:13.000 --> 00:03:18.000]  到第五件就是一個警告 就是惡人的警告
[00:03:18.000 --> 00:03:25.000]  惡人的話就不能得平安 只有屬於神的人 信靠神的人
[00:03:25.000 --> 00:03:28.000]  他們必定有平安
[00:03:28.000 --> 00:03:35.000]  所以第一件就說到 倚靠耶和華的人 好像西安山永不動搖
[00:03:35.000 --> 00:03:39.000]  這句話就告訴我們西安山
[00:03:39.000 --> 00:03:46.000]  西安山是神的聖城 是大君王的聖城
[00:03:46.000 --> 00:03:53.000]  它的地形是很特別 因爲四面是高山環繞
[00:03:53.000 --> 00:04:00.000]  東面是橄欖山 耶路撒冷城的東面是橄欖山
[00:04:00.000 --> 00:04:12.000]  橄欖山也不是很高 它就是比西安山高一百多公尺
[00:04:12.000 --> 00:04:20.000]  西安山就是聖殿跟王宮所在的地方 是一箇中心
[00:04:20.000 --> 00:04:23.000]  是西安 耶路撒冷的中心
[00:04:23.000 --> 00:04:28.000]  那麼東面呢 南面呢 是叫做惡謀山
[00:04:28.000 --> 00:04:37.000]  惡謀山的南面呢 這種山上因爲有猶太教的領袖
[00:04:37.000 --> 00:04:44.000]  那些反對耶穌的人 他們要商量怎麼要殺害要陷害耶穌的話
[00:04:44.000 --> 00:04:49.000]  是在這座山上設的計謀的
[00:04:49.000 --> 00:04:53.000]  所以就給它起名叫做惡謀山
[00:04:53.000 --> 00:04:58.000]  惡人所謀害耶穌的山
[00:04:58.000 --> 00:05:03.000]  那麼在西面呢 不是很多的高山
[00:05:03.000 --> 00:05:08.000]  但是地勢呢 是比較緩緩地升高
[00:05:08.000 --> 00:05:14.000]  就是到南面呢 在北面呢 就是一些山嶺了
[00:05:14.000 --> 00:05:17.000]  北面就是一些高山 山嶺
[00:05:17.000 --> 00:05:23.000]  跟這個東面的橄欖山 能夠把它連接起來
[00:05:23.000 --> 00:05:30.000]  所以這個耶路撒冷的地形呢 就是這個地勢呢 是很特殊的
[00:05:30.000 --> 00:05:37.000]  那麼耶路撒冷並沒有修很高很大的城牆來保護它
[00:05:37.000 --> 00:05:47.000]  神安排他們在耶路撒冷呢 利用耶路撒冷的山來保護他們
[00:05:47.000 --> 00:05:52.000]  不像有一些帝國的話 像巴比倫的話
[00:05:52.000 --> 00:06:03.000]  那他是在平地上的話 他就修很高的城牆 修很高的很大的城牆來保護自己
[00:06:03.000 --> 00:06:07.000]  他的城牆很厚 上面都可以走馬車
[00:06:07.000 --> 00:06:12.000]  那麼四周圍呢 還挖了溝 挖了河溝
[00:06:12.000 --> 00:06:16.000]  把這個大河的水呢 流到溝裏頭來
[00:06:16.000 --> 00:06:22.000]  所以這個牆高 而且周圍都有水圍繞住的話
[00:06:22.000 --> 00:06:25.000]  一般的是不太容易被打進來的
[00:06:25.000 --> 00:06:33.000]  它是人的城 是靠自己修的牆 自己修的河來保護
[00:06:33.000 --> 00:06:36.000]  但是耶路撒冷是神的聖城
[00:06:36.000 --> 00:06:43.000]  神呢 讓他們在這個地方定位耶路撒冷是個中心的話
[00:06:43.000 --> 00:06:47.000]  他是用山來保護他們
[00:06:47.000 --> 00:06:53.000]  其實山保護不了他們的 真正能保護他們的是神自己
[00:06:53.000 --> 00:06:59.000]  所以神說 依靠耶化的人 好像西安山永不動搖
[00:06:59.000 --> 00:07:07.000]  你依靠神 你依靠這個西安山 那麼你就可以得到安全 就不會動搖
[00:07:07.000 --> 00:07:10.000]  所以山呢 是圍繞耶路撒冷
[00:07:10.000 --> 00:07:15.000]  那麼耶化呢 神呢 也照樣圍繞他的百姓
[00:07:15.000 --> 00:07:22.000]  雖然我們看不見 但是我們知道我們在什麼情況下 神都與我們同在
[00:07:22.000 --> 00:07:28.000]  所以這樣的話 就可以來得到神的保護
[00:07:28.000 --> 00:07:33.000]  那巴比倫呢 雖然有這麼高的城牆 有堅固的城牆
[00:07:33.000 --> 00:07:37.000]  周圍有河保護 應該是萬無一失吧
[00:07:37.000 --> 00:07:41.000]  但是不是 波斯軍隊的話
[00:07:41.000 --> 00:07:47.000]  不費吹風之力就把巴比倫給滅掉了
[00:07:47.000 --> 00:07:56.000]  他把四周圍的複合溝挖了一條渠道 把水全放掉了
[00:07:56.000 --> 00:08:02.000]  然後他們正在狂歡 喝酒 宴席的時候
[00:08:02.000 --> 00:08:09.000]  他們就進來了 就把巴比倫溝 一個晚上就把它給滅掉了
[00:08:09.000 --> 00:08:13.000]  所以這個堅固的是什麼呢
[00:08:13.000 --> 00:08:18.000]  不是外面的東西 不是牆 而是靠着耶化
[00:08:18.000 --> 00:08:26.000]  當人要是倚靠耶化的話 他就是像神會保護他們
[00:08:26.000 --> 00:08:34.000]  所以第一句話 倚靠耶化的人 好像喜愛神 永不動搖
[00:08:34.000 --> 00:08:39.000]  這是一個對我們很好的提醒
[00:08:39.000 --> 00:08:44.000]  我們倚靠誰呢 我們倚靠我們的金錢 倚靠我們的地位
[00:08:44.000 --> 00:08:49.000]  倚靠我們的工作 倚靠我們的財富 這都不可靠的
[00:08:49.000 --> 00:08:54.000]  有一天 可能就忽然之間就沒有了
[00:08:54.000 --> 00:08:59.000]  我們感謝神 祂讓我們相信了祂
[00:08:59.000 --> 00:09:05.000]  接受我們作爲祂的兒女 祂也要負我們一生的責任
[00:09:05.000 --> 00:09:13.000]  所以祂要與我們同在 告訴我們 倚靠耶化 好像喜愛神 永不動搖
[00:09:13.000 --> 00:09:19.000]  真正保護耶路撒冷的 不是這些神 是耶化自己
[00:09:19.000 --> 00:09:29.000]  所以我們也是 我們不能夠倚靠我們有的地位 財富 我們的健康 我們的才智
[00:09:29.000 --> 00:09:35.000]  我們所倚靠的是神 是愛我們的神 是救我們的神
[00:09:35.000 --> 00:09:43.000]  我們能倚靠祂的話 我們就一生就能夠走過來
[00:09:43.000 --> 00:09:49.000]  所以這個倚靠耶化 雖然有這麼多的山圍繞耶路撒冷
[00:09:49.000 --> 00:09:56.000]  但是真正的安全的前提 不動搖的前提 是倚靠耶化
[00:09:56.000 --> 00:10:01.000]  所以這首詩歌告訴我們 什麼時候我們離開了神
[00:10:01.000 --> 00:10:09.000]  縱然有很多的重山環繞 縱然有很多的東西來供應我們
[00:10:09.000 --> 00:10:16.000]  但是神不在其中的話 這一切都不可靠的
[00:10:16.000 --> 00:10:27.000]  在歷史上 耶路撒冷也曾經多次被外頭的國家勢力所攻破
[00:10:27.000 --> 00:10:30.000]  爲什麼呢 因爲他們不倚靠神
[00:10:30.000 --> 00:10:33.000]  當什麼時候他們不倚靠神的時候
[00:10:33.000 --> 00:10:40.000]  神就用外邦的君王 外邦的軍隊來滅他們 來俘虜他們
[00:10:40.000 --> 00:10:50.000]  所以耶路撒冷的猶太人 他們在歷史上多次受到外邦的侵略
[00:10:50.000 --> 00:10:55.000]  爲什麼呢 不是他們勢力小 不是他們人少
[00:10:55.000 --> 00:10:59.000]  而是他們沒有真正的倚靠神
[00:10:59.000 --> 00:11:04.000]  他們犯罪 他們就拜偶像 去拜外邦的神
[00:11:04.000 --> 00:11:06.000]  惹得耶路撒冷的憤怒
[00:11:06.000 --> 00:11:11.000]  神就把他們交給仇敵 讓仇敵來管教他們
[00:11:11.000 --> 00:11:14.000]  然後叫他們能夠回來
[00:11:14.000 --> 00:11:21.000]  所以用山的比喻 因爲山是比較堅固的
[00:11:21.000 --> 00:11:25.000]  山不太會搖動 是穩定的
[00:11:25.000 --> 00:11:30.000]  所以西岸山是神同在的中心
[00:11:30.000 --> 00:11:35.000]  有重山環繞的話 表示神的同在
[00:11:35.000 --> 00:11:42.000]  所以神不是把耶路撒冷 修一道高高的牆把耶路撒冷圍起來
[00:11:42.000 --> 00:11:46.000]  那還要變成一個監獄了 那不是這樣的
[00:11:46.000 --> 00:11:50.000]  他就用這些山來保護他的百姓
[00:11:50.000 --> 00:11:53.000]  最重要的還是神在其中
[00:11:53.000 --> 00:11:56.000]  神的城就不動搖
[00:11:56.000 --> 00:11:58.000]  如果神不在其中
[00:11:58.000 --> 00:12:03.000]  什麼樣的防護 什麼樣的方法都不可靠
[00:12:03.000 --> 00:12:08.000]  都會受到仇敵的侵略
[00:12:08.000 --> 00:12:11.000]  所以重山這樣圍繞耶路撒冷
[00:12:11.000 --> 00:12:14.000]  耶和華也照樣圍繞他的百姓
[00:12:14.000 --> 00:12:17.000]  從今時至到永遠
[00:12:17.000 --> 00:12:20.000]  所以從今時至到永遠的話
[00:12:20.000 --> 00:12:24.000]  是一個非常堅定的話 很肯定的話
[00:12:24.000 --> 00:12:26.000]  就是你依靠神的話
[00:12:26.000 --> 00:12:30.000]  從現在你開始 一直到永遠的話
[00:12:30.000 --> 00:12:34.000]  你都是在神的保護底下
[00:12:34.000 --> 00:12:39.000]  第三節說 惡人的杖不常落在義人的縫上
[00:12:39.000 --> 00:12:43.000]  免得義人伸手作惡
[00:12:43.000 --> 00:12:47.000]  這個義人的杖不常落
[00:12:47.000 --> 00:12:52.000]  常落的意思就是重重地壓在上面
[00:12:52.000 --> 00:12:58.000]  有時候神會把他的百姓交給外邦人管教
[00:12:58.000 --> 00:13:03.000]  他們能夠從管教中間來學習功課
[00:13:03.000 --> 00:13:05.000]  心能夠迴向神
[00:13:05.000 --> 00:13:11.000]  那麼這個常落就是重重地壓在上面
[00:13:11.000 --> 00:13:15.000]  就是說神把百姓 來管教百姓的時候
[00:13:15.000 --> 00:13:22.000]  他的杖並不是重重地壓在他的百姓的身上
[00:13:22.000 --> 00:13:28.000]  所以這個是因爲我們義人在地上受到逼迫
[00:13:28.000 --> 00:13:32.000]  是神允許的
[00:13:32.000 --> 00:13:34.000]  如果這個逼迫很重
[00:13:34.000 --> 00:13:38.000]  重到你受不了 自己要去對付而失敗了
[00:13:38.000 --> 00:13:43.000]  那麼就是這樣的話 義人就會伸手作惡了
[00:13:43.000 --> 00:13:51.000]  所以神不會讓百姓受他們所不能承受的責罰
[00:13:51.000 --> 00:13:55.000]  所以他就爲百姓定下一個界線
[00:13:55.000 --> 00:14:01.000]  就不允許外邦的國過分地來欺負他的選民
[00:14:01.000 --> 00:14:08.000]  比如巴比倫 他要成立巴比倫來管教以色列
[00:14:08.000 --> 00:14:15.000]  但是巴比倫過分地來對付以色列
[00:14:15.000 --> 00:14:21.000]  所以神就興起波斯帝國來管教巴比倫
[00:14:21.000 --> 00:14:24.000]  神是給他們管教
[00:14:24.000 --> 00:14:28.000]  並不是叫他們弄得百姓都過不了日子
[00:14:28.000 --> 00:14:35.000]  所以一個國家 一個人的安全根本是依靠神
[00:14:35.000 --> 00:14:40.000]  最重要的就是要依靠神
[00:14:40.000 --> 00:14:45.000]  如果離開神的話 什麼東西都是不可靠的
[00:14:45.000 --> 00:14:48.000]  今天可能你看見健康是很好的
[00:14:48.000 --> 00:14:53.000]  忽然之間得了一個什麼病了 立刻就轉變了
[00:14:53.000 --> 00:14:55.000]  也可能你財富很多了
[00:14:55.000 --> 00:14:58.000]  但是一個經商不遵法的話
[00:14:58.000 --> 00:15:01.000]  一下破產了 一下就變成窮人了
[00:15:01.000 --> 00:15:06.000]  所以人在世上的話 要是依靠自己的聰明
[00:15:06.000 --> 00:15:09.000]  依靠自己的方法離開了神
[00:15:09.000 --> 00:15:12.000]  那是必定是非常的悽慘
[00:15:12.000 --> 00:15:16.000]  所以這裏再三告訴我們
[00:15:16.000 --> 00:15:21.000]  神是我們能夠安定下來 能保護我們
[00:15:21.000 --> 00:15:26.000]  所以我們在任何情況下都要依靠神
[00:15:26.000 --> 00:15:28.000]  所以神賜福給我們
[00:15:28.000 --> 00:15:31.000]  神在我們離開他的時候
[00:15:31.000 --> 00:15:33.000]  他也會管教我們
[00:15:33.000 --> 00:15:38.000]  所以有人說神好像是一個調音師
[00:15:38.000 --> 00:15:40.000]  有些樂器 鋼琴的話
[00:15:40.000 --> 00:15:45.000]  到時候要請人來調整他的音
[00:15:45.000 --> 00:15:49.000]  那麼他會調整他的琴絃
[00:15:49.000 --> 00:15:51.000]  使他不要太鬆
[00:15:51.000 --> 00:15:53.000]  太鬆的音就走掉了
[00:15:53.000 --> 00:15:54.000]  也不要太緊
[00:15:54.000 --> 00:15:57.000]  太緊的話 琴絃可能崩斷了
[00:15:57.000 --> 00:16:01.000]  所以神來帶領我們這一生的話
[00:16:01.000 --> 00:16:04.000]  他都給我們的帶領
[00:16:04.000 --> 00:16:07.000]  給我們的管教 給我們的幫助
[00:16:07.000 --> 00:16:09.000]  都是適合我們的
[00:16:09.000 --> 00:16:11.000]  都是恰如其分的
[00:16:11.000 --> 00:16:14.000]  不會說太過重 叫我們受不了
[00:16:14.000 --> 00:16:18.000]  以致我們要想自己的辦法去對付
[00:16:18.000 --> 00:16:22.000]  以致異人身首作惡
[00:16:22.000 --> 00:16:27.000]  自己對付 結果的效果更加不好
[00:16:27.000 --> 00:16:30.000]  所以我們可以看到
[00:16:30.000 --> 00:16:34.000]  神要我們來依靠他
[00:16:34.000 --> 00:16:38.000]  所以下面第四節就講到
[00:16:38.000 --> 00:16:43.000]  神喜歡要我們成爲什麼樣的人
[00:16:43.000 --> 00:16:44.000]  第四節說
[00:16:44.000 --> 00:16:51.000]  耶化 求你善待那些爲善和心理正直的人
[00:16:51.000 --> 00:16:53.000]  所以這裏看到
[00:16:53.000 --> 00:16:55.000]  神要的什麼人
[00:16:55.000 --> 00:16:58.000]  第一個是爲善的人
[00:16:58.000 --> 00:17:03.000]  爲善的人就是把第一節到第五節
[00:17:03.000 --> 00:17:09.000]  這拳手詩歌 正念的這些情況合在一起的話
[00:17:09.000 --> 00:17:12.000]  那就是神所要的人
[00:17:12.000 --> 00:17:14.000]  這樣的人什麼樣的人呢
[00:17:14.000 --> 00:17:18.000]  就是倚靠耶化的人
[00:17:18.000 --> 00:17:22.000]  所以第一節說是倚靠耶化的人
[00:17:22.000 --> 00:17:27.000]  第二節就說到我們是神的百姓
[00:17:27.000 --> 00:17:29.000]  第二節說百姓
[00:17:29.000 --> 00:17:32.000]  耶化也照樣圍繞他的百姓
[00:17:32.000 --> 00:17:34.000]  所以我們是神的百姓
[00:17:34.000 --> 00:17:36.000]  第三節說
[00:17:36.000 --> 00:17:40.000]  惡人的杖不常落在異人的縫上
[00:17:40.000 --> 00:17:42.000]  我們是屬神的人
[00:17:42.000 --> 00:17:45.000]  神看我們是異人
[00:17:45.000 --> 00:17:48.000]  第四個說到
[00:17:48.000 --> 00:17:54.000]  耶化求你善待那些爲善和心理正直的人
[00:17:54.000 --> 00:17:56.000]  所以我們是屬神的人
[00:17:56.000 --> 00:17:59.000]  應該是心理正直的人
[00:17:59.000 --> 00:18:02.000]  第五節說到平安歸以色列
[00:18:02.000 --> 00:18:07.000]  所以神所要的人就是以色列
[00:18:07.000 --> 00:18:10.000]  以色列不但是講到以色列人
[00:18:10.000 --> 00:18:12.000]  也在講到信了主
[00:18:12.000 --> 00:18:15.000]  信了主倚靠耶化的人
[00:18:15.000 --> 00:18:18.000]  也都是屬靈的以色列
[00:18:18.000 --> 00:18:22.000]  所以這幾方面合起來
[00:18:22.000 --> 00:18:23.000]  合起來的話
[00:18:23.000 --> 00:18:27.000]  在五節裏面說到我們應該有的身份
[00:18:27.000 --> 00:18:29.000]  這幾方面合起來
