
[00:00:00.000 --> 00:00:02.000]  2016年就很特別
[00:00:02.000 --> 00:00:05.200]  可能香港的社會需要約翰福音
[00:00:05.200 --> 00:00:09.600]  可能我們教會的弟兄姊妹需要約翰福音
[00:00:09.600 --> 00:00:10.600]  裏面是真理
[00:00:10.600 --> 00:00:14.600]  這段經文裏有時不是這麼簡單的
[00:00:14.600 --> 00:00:17.200]  靈裏面有種催逼
[00:00:17.200 --> 00:00:19.400]  靈裏面有種感動
[00:00:19.400 --> 00:00:21.800]  這種感動有一個目的
[00:00:21.800 --> 00:00:24.200]  為耶穌作見證
[00:00:24.200 --> 00:00:27.200]  而這個見證就帶領我們
[00:00:27.200 --> 00:00:32.200]  行走人生裏面每一步的道路
[00:00:32.200 --> 00:00:34.200]  我預備這個講題的時間
[00:00:34.200 --> 00:00:38.000]  剛好跟弟兄姊妹做了一件很開心的事
[00:00:38.000 --> 00:00:39.600]  看天堂奇遇記
[00:00:39.600 --> 00:00:41.200]  有沒有誰去過看過
[00:00:41.200 --> 00:00:42.200]  舉起手
[00:00:42.200 --> 00:00:44.000]  有沒有感不感動
[00:00:44.000 --> 00:00:44.600]  很感動
[00:00:44.600 --> 00:00:46.600]  有沒有人在哭來看
[00:00:46.600 --> 00:00:47.400]  有
[00:00:47.400 --> 00:00:52.600]  我發覺我那天一直流眼水
[00:00:52.600 --> 00:00:55.400]  我發覺我左眼的眼水流得比右眼多
[00:00:55.400 --> 00:00:57.200]  我想要去看醫生才行
[00:00:57.200 --> 00:00:58.000]  不知為甚麼
[00:00:58.000 --> 00:00:59.400]  左眼的眼水濕透了
[00:00:59.400 --> 00:01:02.400]  右眼的眼水偶爾有點模糊
[00:01:02.400 --> 00:01:05.400]  其實那天我看電影也很有誠意
[00:01:05.400 --> 00:01:09.200]  我十年未入過電影院
[00:01:09.200 --> 00:01:13.400]  那天特別能夠跟廣福堂破了十年之界
[00:01:13.400 --> 00:01:14.800]  十年很重要
[00:01:14.800 --> 00:01:17.200]  十年最近拿了金像獎
[00:01:17.200 --> 00:01:19.200]  十年沒入過
[00:01:19.200 --> 00:01:20.600]  不等於我沒看過電影
[00:01:20.600 --> 00:01:22.000]  我先解釋清楚
[00:01:22.000 --> 00:01:24.000]  是沒入過電影院
[00:01:24.000 --> 00:01:26.000]  因為不太喜歡那種環境
[00:01:26.000 --> 00:01:28.000]  但做一件這麼特別的事
[00:01:28.000 --> 00:01:29.600]  去看天堂奇遇記
[00:01:29.600 --> 00:01:32.400]  裡面提到有個小女孩
[00:01:32.400 --> 00:01:34.800]  她的腸胃有問題
[00:01:34.800 --> 00:01:36.200]  吸收不到
[00:01:36.200 --> 00:01:39.400]  我們當中可能曾經有弟兄姊妹
[00:01:39.400 --> 00:01:41.200]  受腸胃的困苦
[00:01:41.200 --> 00:01:44.400]  我經常腸胃過飽過濟
[00:01:44.400 --> 00:01:47.000]  有時會有影響
[00:01:47.000 --> 00:01:49.800]  我在美國木會的時間
[00:01:49.800 --> 00:01:52.000]  2007年
[00:01:52.000 --> 00:01:55.000]  曾經主持一個安息禮拜
[00:01:55.000 --> 00:01:58.200]  當時那位姊妹49歲
[00:01:58.200 --> 00:02:00.400]  她信了耶穌
[00:02:00.400 --> 00:02:01.600]  她先生未信
[00:02:01.600 --> 00:02:02.800]  都是誤導
[00:02:02.800 --> 00:02:04.400]  我還在紀念她
[00:02:04.400 --> 00:02:07.800]  這十年雖然很少再接觸
[00:02:07.800 --> 00:02:09.200]  但我在Facebook看到
[00:02:09.200 --> 00:02:11.400]  我都繼續為她祈禱
[00:02:11.400 --> 00:02:13.800]  因為她經歷的是很難過的事
[00:02:13.800 --> 00:02:15.200]  49歲的姊妹
[00:02:15.200 --> 00:02:16.800]  她安息禮拜
[00:02:16.800 --> 00:02:21.200]  跟天堂奇遇記裡的病類似
[00:02:21.200 --> 00:02:23.200]  長了一個瘤在食道
[00:02:23.200 --> 00:02:24.600]  阻礙了
[00:02:24.600 --> 00:02:25.800]  又不知怎樣
[00:02:25.800 --> 00:02:27.800]  總之整個食道
[00:02:27.800 --> 00:02:30.200]  沒有可能再吸收營養
[00:02:30.200 --> 00:02:34.600]  嚴格來說她是餓死的
[00:02:34.600 --> 00:02:36.800]  但她先生本來打算
[00:02:36.800 --> 00:02:39.600]  他們兩個都50歲過世
[00:02:39.600 --> 00:02:41.200]  小朋友的兒子
[00:02:41.200 --> 00:02:42.000]  入了大學
[00:02:42.000 --> 00:02:44.200]  入了UCLA那邊
[00:02:44.200 --> 00:02:46.000]  入了大學的時間
[00:02:46.000 --> 00:02:47.800]  兩個退休了
[00:02:47.800 --> 00:02:49.200]  然後做環遊世界
[00:02:49.200 --> 00:02:50.200]  有這樣的計劃
[00:02:50.200 --> 00:02:52.000]  可惜這個計劃做不了
[00:02:52.000 --> 00:02:53.800]  我這位朋友
[00:02:53.800 --> 00:02:57.000]  我跟他很多聊天
[00:02:57.000 --> 00:02:57.800]  有一次
[00:02:57.800 --> 00:02:59.400]  跟他聊天的時間
[00:02:59.400 --> 00:03:01.600]  過了安息禮拜都有見面
[00:03:01.600 --> 00:03:02.600]  我突然
