
[00:00:00.000 --> 00:00:03.820]  我們打開聖經 一起看兩節經文
[00:00:03.820 --> 00:00:06.080]  在以上的書第四十五章
[00:00:06.080 --> 00:00:09.080]  二十二到二十三節 請我們一起讀
[00:00:09.080 --> 00:00:13.460]  地極的人都當仰望我 就必得救
[00:00:13.460 --> 00:00:16.680]  因為我是神 再沒有別神
[00:00:16.680 --> 00:00:18.680]  我只著自己起誓
[00:00:18.680 --> 00:00:21.420]  我口所出的話 是憑公義
[00:00:21.420 --> 00:00:22.920]  並不返回
[00:00:22.920 --> 00:00:25.260]  萬失必向我跪拜
[00:00:25.260 --> 00:00:28.420]  萬口必憑我起誓
[00:00:28.420 --> 00:00:31.840]  當然今天的題目叫做
[00:00:31.840 --> 00:00:34.300]  彼鄰若天涯
[00:00:34.300 --> 00:00:36.760]  你覺得有一點點竅口 好像不是這樣
[00:00:36.760 --> 00:00:39.600]  牧師弄錯了 不是 我專登的
[00:00:39.600 --> 00:00:43.560]  那句詩的確是天涯若彼鄰
[00:00:43.560 --> 00:00:45.260]  是不是意思就是說
[00:00:45.260 --> 00:00:48.220]  相隔很遠
[00:00:48.220 --> 00:00:49.600]  這個典故就是這樣
[00:00:49.600 --> 00:00:51.600]  兩個好朋友一個要去做官
[00:00:51.600 --> 00:00:53.600]  所以要分隔異地
[00:00:53.600 --> 00:00:56.560]  所以寫篇詩鼓勵大家不用那麼擔心
[00:00:56.560 --> 00:00:59.420]  天涯好像彼鄰 好像鄰舍一樣
[00:00:59.420 --> 00:01:00.300]  是不是意思就是說
[00:01:00.300 --> 00:01:02.960]  So close yet so far
[00:01:02.960 --> 00:01:04.460]  是不是這個意思呢
[00:01:04.460 --> 00:01:05.960]  我相信大家很聰明
[00:01:05.960 --> 00:01:06.960]  你聽完這篇讀
[00:01:06.960 --> 00:01:08.260]  我相信你可以解釋
[00:01:08.260 --> 00:01:12.960]  為什麼我會專登將這節詩來調轉
[00:01:12.960 --> 00:01:14.260]  這一節的經文
[00:01:14.260 --> 00:01:16.340]  告訴我們第二十二至上半節
[00:01:16.340 --> 00:01:18.160]  它說
[00:01:18.160 --> 00:01:20.160]  願你們都仰望上帝
[00:01:20.160 --> 00:01:21.960]  願全地的人
[00:01:21.960 --> 00:01:25.260]  地極的人都當仰望我 就必得救
[00:01:25.260 --> 00:01:27.260]  所以第一方面 我要和大家分享的就是
[00:01:27.260 --> 00:01:29.760]  無論天涯海角
[00:01:29.760 --> 00:01:32.160]  上帝是定義拯救
[00:01:32.160 --> 00:01:33.860]  無論我們身處天涯海角
[00:01:33.860 --> 00:01:35.560]  或天涯海角的人
[00:01:35.560 --> 00:01:39.860]  上帝是定義了要來拯救
[00:01:39.860 --> 00:01:41.560]  以上亞書第四十五章是說
[00:01:41.560 --> 00:01:44.160]  先知領受上帝一個意象
[00:01:44.160 --> 00:01:45.760]  一個預言
[00:01:45.760 --> 00:01:47.460]  要宣告在將來的日子
[00:01:47.460 --> 00:01:48.360]  有一個王
[00:01:48.360 --> 00:01:49.860]  外邦的王叫古烈
[00:01:49.860 --> 00:01:51.160]  他要被興起
[00:01:51.160 --> 00:01:54.060]  這個古烈要拯救以色列人
[00:01:54.060 --> 00:01:55.860]  回到自己的故土
[00:01:55.860 --> 00:01:57.360]  所以上帝要拯救以色列人
[00:01:57.360 --> 00:01:59.160]  這個我們相信是知道的
[00:01:59.160 --> 00:02:00.460]  但是原來上帝說
[00:02:00.460 --> 00:02:02.360]  這個拯救不單止是以色列人
[00:02:02.360 --> 00:02:04.660]  上帝要全地的人
[00:02:04.660 --> 00:02:07.760]  地極的人都能夠經歷上帝的拯救
[00:02:07.760 --> 00:02:09.160]  這個是定義了的
[00:02:09.160 --> 00:02:12.260]  是上帝的心意來的
[00:02:12.260 --> 00:02:13.660]  不單止以色列人
[00:02:13.660 --> 00:02:15.760]  他們能夠經歷上帝的拯救
[00:02:15.760 --> 00:02:18.160]  上帝向外幫人招手
[00:02:18.160 --> 00:02:20.160]  雖然你不是神的選民
[00:02:20.160 --> 00:02:22.260]  但其實神都預了他們
[00:02:22.260 --> 00:02:25.060]  經歷上帝的恩惠
[00:02:25.060 --> 00:02:26.660]  為什麼可以這樣呢?
[00:02:26.660 --> 00:02:28.560]  他們只要做了什麼
[00:02:28.560 --> 00:02:30.860]  他們能夠得到這份拯救
[00:02:30.860 --> 00:02:33.060]  他們其實原來和以色列人一樣
[00:02:33.060 --> 00:02:34.960]  只要仰望上帝
[00:02:34.960 --> 00:02:37.660]  就必得救
[00:02:37.660 --> 00:02:39.760]  仰望這個字很特別
[00:02:39.760 --> 00:02:41.560]  這個字有兩方面的意思
