
[00:00:00.000 --> 00:00:09.000]  主耶穌復活之後,向門徒顯現對他們說:願你們平安。
[00:00:09.000 --> 00:00:16.000]  我在這裏也用同一句話:願你們平安。
[00:00:16.000 --> 00:00:29.000]  也請我們和身邊的人說同一句話:願你們平安。
[00:00:29.000 --> 00:00:39.000]  我們一起祈禱:親愛的主,我們感謝禰,禰爲我們死,又爲我們活。
[00:00:39.000 --> 00:00:46.000]  禰帶來了一個生命的呼召,也給了我們一個永生的盼望。
[00:00:46.000 --> 00:00:54.000]  主,我們享福活節的清晨,我們思想禰自己的話語,思想禰的作爲。
[00:00:54.000 --> 00:01:04.000]  求禰再一次對我們說話,就好像當初呼召彼得那樣,對我們說:來,跟從我。
[00:01:04.000 --> 00:01:14.000]  主,我們願意聖靈打開我們每一個人的心,我們祈禱奉耶穌基督的名,承心所願。
[00:01:14.000 --> 00:01:21.000]  今天我們讀了兩段經文,第一段在《路加福音》第九章,那裏是講到耶穌的呼召,
[00:01:21.000 --> 00:01:26.000]  祂說:你們要天天背起十字架來跟從我。
[00:01:26.000 --> 00:01:34.000]  第二段聖經是《永恆方》二十一章,那裏是復活之後的耶穌對門徒說,
[00:01:34.000 --> 00:01:42.000]  祂說:你年輕的時候,就自己束上腰,喜歡去哪裏都可以,
[00:01:42.000 --> 00:01:50.000]  但你年老的時候,你要伸出手來,別人要把你束上帶你到不願意去的地方。
[00:01:50.000 --> 00:01:59.000]  耶穌說者說是主彼得要怎樣死來榮耀神,說了者說,就對他說:來,跟從我。
[00:01:59.000 --> 00:02:08.000]  第二段的說話是耶穌復活之後對門徒所說的,那裏沒有很明顯提起十字架。
[00:02:08.000 --> 00:02:10.000]  兩段有少少不同。
[00:02:10.000 --> 00:02:16.000]  我今天講的題目是「背起十架,跟從基督」。
[00:02:16.000 --> 00:02:20.000]  十字架是代表了受苦和死亡。
[00:02:20.000 --> 00:02:28.000]  在拉伯人的時候,我們就默想基督在十字架上面,爲我們所做的一切。
[00:02:28.000 --> 00:02:38.000]  今天是復活節,我們十字架是否可以放開了它,因爲已經不需要講十字架了。
[00:02:38.000 --> 00:02:47.000]  要不然十字架仍然在這裏,只不過用一種不同的形式來呈現。
[00:02:47.000 --> 00:02:57.000]  在我的房間裏面有一個十字架,有些人見到有少少奇怪,因爲我的十字架是有一個耶穌像掛在上面的十字架。
[00:02:57.000 --> 00:03:05.000]  一般我們在基督教的教會里面見到的十字架,最後我們看到這個是一個十字架。
[00:03:05.000 --> 00:03:10.000]  比較印象深刻的是,在天主教的地方就會見到十字架有一個耶穌掛在上面。
[00:03:10.000 --> 00:03:20.000]  我很年輕的時候就聽牧師這樣說,天主教的信仰就是耶穌還沒復活,還掛在上面。
[00:03:20.000 --> 00:03:26.000]  我們基督教就不同了,耶穌已經復活了,所以我們的十字架就見不到耶穌掛在上面。
[00:03:26.000 --> 00:03:40.000]  我都信以爲真這個說法,其實這個是一種描述的方法,但我覺得這個描述的方法其實是值得商榷的。
[00:03:40.000 --> 00:03:47.000]  我們不要說基督教的十字架,天主教的十字架其實就不是這樣分的。
[00:03:47.000 --> 00:04:01.000]  這個十字架我們傳統稱它爲復活的十字架,基督已經復活了,所以我們在十字架上看不到有形的耶穌,叫復活的十字架。
[00:04:01.000 --> 00:04:10.000]  而那個叫受苦的十字架,受苦的十字架,復活的十字架。
[00:04:10.000 --> 00:04:20.000]  我最近就被邀請去真鋼小學講這個復活節的序會,對我來說是很大的挑戰,我寧願講崇拜,我都不講那些。
[00:04:20.000 --> 00:04:28.000]  對六年班以下的人講,對我來說是一個很大的困難,我又不可以隨便去亂講一些東西,當他們不懂,
[00:04:28.000 --> 00:04:33.000]  講一些就算了,不用太過重負擔,但對我來說就不行。
[00:04:33.000 --> 00:04:40.000]  所以我那一篇十五分鐘更辛苦過預備一篇崇拜的講道,想來想去怎樣去講呢?
[00:04:40.000 --> 00:04:45.000]  講得比較清楚,因爲我們不可以騙小孩的嘛,對不對?
[00:04:45.000 --> 00:04:52.000]  所以我想了很多,不如講三個十字架吧,因爲耶穌釘十字架的時候有三個十字架,
[00:04:52.000 --> 00:04:56.000]  一個是耶穌的十字架,一個是強度的十字架,一個是悔改的十字架。
[00:04:56.000 --> 00:05:03.000]  於是我在網上找一些圖片來看看,因爲有些圖像可以講的,發覺都很難講,
[00:05:03.000 --> 00:05:07.000]  對小孩講三個十字架,十五分鐘怎樣講呢?
[00:05:07.000 --> 00:05:12.000]  後來我就看到我自己掛在書架上的那個十字架,
[00:05:12.000 --> 00:05:21.000]  我說不如講兩個十字架吧,背面沒有耶穌的十字架,一個是悔改的十字架,反轉它是一個受苦的十字架。
[00:05:21.000 --> 00:05:27.000]  於是我就覺得有道具了,於是我就很開心地預備了一個講兩個十字架。
[00:05:27.000 --> 00:05:34.000]  後來我都覺得太難了,還沒想通怎樣把它簡化。
[00:05:34.000 --> 00:05:43.000]  我很感恩,到最後的時候,上面我想起一個故事,一個真實的故事,於是我就講了那個,那個都沒有人講。
[00:05:43.000 --> 00:05:55.000]  一個十字架我們看到有兩面,有耶穌的和沒有耶穌的,都是一個十字架,都是代表主耶穌基督的受苦和復活。
[00:05:55.000 --> 00:06:10.000]  十字架是上帝的救恩的記號,也是我們得救的記號,所以得救的人身上應該有十字架的記號,
[00:06:10.000 --> 00:06:17.000]  但是問題是怎樣纔算有十字架的記號呢?
[00:06:17.000 --> 00:06:24.000]  耶穌曾經釘十字架,又要求我們天天都背起十字架來跟從祂。
[00:06:24.000 --> 00:06:30.000]  這個要求不因爲祂復活了之後,我們就不需要去背起十字架,
[00:06:30.000 --> 00:06:41.000]  其實這個的呼召,這個的要求,是對每一個基督徒一生一世都是的,天天背起十字架來跟從祂。
[00:06:41.000 --> 00:06:51.000]  但是問題來了,對今天的基督徒是一個很不容易去處理的問題。
[00:06:51.000 --> 00:06:58.000]  第一就是我們不可能像耶穌那樣釘十字架,你想釘都沒有人會釘你的。
[00:06:58.000 --> 00:07:02.000]  沒有人會釘你的。
[00:07:02.000 --> 00:07:10.000]  那個是很久很久之前很out的了,現在不會用這種刑罰來去懲罰人的。
[00:07:10.000 --> 00:07:17.000]  你說我要爲主殉道,沒有機會給你。
[00:07:17.000 --> 00:07:22.000]  沒有機會給你。
[00:07:22.000 --> 00:07:29.000]  所以當耶穌說這個的時候,祂要呼着那些門徒說你要天天背起十字架來跟從我的時候,
[00:07:29.000 --> 00:07:35.000]  對我們來說,我們那個實行上面有一個困難在那裏。
