
[00:00:00.000 --> 00:00:03.280]  我對野生動物很有興趣
[00:00:03.280 --> 00:00:05.880]  其中一種是獅子
[00:00:05.880 --> 00:00:12.980]  獅子是貓科動物中唯一群體聚居
[00:00:12.980 --> 00:00:16.740]  通常一鬥的獅子有二十至三十隻
[00:00:16.740 --> 00:00:19.780]  從某個角度來看
[00:00:19.780 --> 00:00:24.540]  獅子真的做到重擔互相擔當
[00:00:24.540 --> 00:00:27.980]  牠們一起出去打獵是有策略的
[00:00:27.980 --> 00:00:30.940]  一些獅子將獵物趕去某個方向
[00:00:30.940 --> 00:00:33.240]  另一些就迷惑在那裏跳出來
[00:00:33.240 --> 00:00:36.100]  咬住牠的頸打了個彎豆
[00:00:36.100 --> 00:00:37.100]  這樣就吃了牠
[00:00:37.100 --> 00:00:39.100]  不單止這樣
[00:00:39.100 --> 00:00:43.140]  牠們養育孩子都是群策群力
[00:00:43.140 --> 00:00:44.300]  彼此擔當
[00:00:44.300 --> 00:00:48.340]  一個獅子BB仔
[00:00:48.340 --> 00:00:51.700]  牠們很多時候去自己媽媽那裏喝奶
[00:00:51.700 --> 00:00:55.300]  但有時候牠會去另外一些母獅那裏喝奶
[00:00:55.300 --> 00:00:56.100]  這樣也可以
[00:00:56.100 --> 00:00:58.700]  人就很少做這些事
[00:00:58.700 --> 00:01:04.900]  但是獅子也不是分擔重擔分得很好
[00:01:04.900 --> 00:01:08.300]  牠們尤其是吃飯的時候
[00:01:08.300 --> 00:01:10.100]  打了隻獵物出來
[00:01:10.100 --> 00:01:12.300]  你猜哪一個第一個先吃呢?
[00:01:12.300 --> 00:01:14.500]  就是那隻紅獅子
[00:01:14.500 --> 00:01:17.900]  接著就是一群母獅子
[00:01:17.900 --> 00:01:19.500]  最後才是孩子
[00:01:19.500 --> 00:01:21.700]  有些孩子就沒得吃
[00:01:21.700 --> 00:01:23.300]  餓到骨瘦如柴
[00:01:23.300 --> 00:01:24.700]  好像還會餓死的
[00:01:25.300 --> 00:01:30.300]  所以我們看到獅子這種分擔重擔
[00:01:30.300 --> 00:01:32.500]  其實不是出自愛心
[00:01:32.500 --> 00:01:35.700]  也不是出自意志
[00:01:35.700 --> 00:01:37.300]  是天性
[00:01:37.300 --> 00:01:40.700]  上帝為牠預備一些生理規律
[00:01:40.700 --> 00:01:42.300]  牠就跟著去做
[00:01:42.300 --> 00:01:46.900]  牠沒有自由選擇的能力
[00:01:46.900 --> 00:01:49.900]  但是人就不同了
[00:01:49.900 --> 00:01:51.300]  我們看看人怎麼不同呢?
[00:01:51.300 --> 00:01:54.300]  在《創世紀》第二章七節說到
[00:01:54.300 --> 00:01:55.900]  人是有靈性的
[00:01:55.900 --> 00:01:58.100]  二章七節說
[00:01:58.100 --> 00:02:01.900]  耶和華將生氣吹在阿當的鼻孔裡
[00:02:01.900 --> 00:02:03.900]  他就成為有靈的活人
[00:02:03.900 --> 00:02:04.900]  叫做阿當
[00:02:04.900 --> 00:02:09.700]  有靈可以跟上帝聊天、溝通
[00:02:09.700 --> 00:02:10.900]  獅子就不可以
[00:02:10.900 --> 00:02:12.500]  第二
