
[00:00:00.000 --> 00:00:05.600]  今日就重溫一下我們這個迎向挑戰
[00:00:05.600 --> 00:00:08.000]  是有六課書
[00:00:08.000 --> 00:00:10.800]  每一個大題目裏面就有六課
[00:00:10.800 --> 00:00:12.000]  第一個是等候聖靈
[00:00:12.000 --> 00:00:12.600]  我們講了
[00:00:12.600 --> 00:00:14.600]  神跡天天由向夢想出發
[00:00:14.600 --> 00:00:17.000]  危機變轉機第四課
[00:00:17.000 --> 00:00:19.600]  今日我們講的是堅守真理
[00:00:19.600 --> 00:00:23.400]  開始之前就想大家看一下這個故事
[00:00:23.400 --> 00:00:25.200]  有沒有人不認識這個故事的
[00:00:25.200 --> 00:00:28.800]  指鹿為馬是在講什麼
[00:00:28.800 --> 00:00:30.800]  即是指鹿為馬
[00:00:30.800 --> 00:00:33.800]  即是明明那隻是鹿
[00:00:33.800 --> 00:00:34.800]  你就說它是馬
[00:00:34.800 --> 00:00:37.800]  即是說那是錯謬的東西
[00:00:37.800 --> 00:00:40.800]  但有沒有人知道典故是講什麼的
[00:00:40.800 --> 00:00:41.800]  舉手而已
[00:00:41.800 --> 00:00:43.800]  講得多就不知道
[00:00:43.800 --> 00:00:44.800]  這樣也好
[00:00:44.800 --> 00:00:46.800]  起碼可以有些東西講一下今天的故事
[00:00:46.800 --> 00:00:52.800]  這個故事其實是來自古代在秦朝的時候
[00:00:52.800 --> 00:00:56.800]  秦朝裏面有一個皇帝叫秦二世
[00:00:56.800 --> 00:01:00.800]  下面有個宰相叫趙高
[00:01:00.800 --> 00:01:02.800]  宰相是誰呢
[00:01:02.800 --> 00:01:05.800]  宰相就是一人之下
[00:01:05.800 --> 00:01:06.800]  好像藥室一樣
[00:01:06.800 --> 00:01:07.800]  萬人之上
[00:01:07.800 --> 00:01:09.800]  所以他坐第二把交椅
[00:01:09.800 --> 00:01:12.800]  但因為這個秦二世這個皇帝
[00:01:12.800 --> 00:01:14.800]  當時他很弱的
[00:01:14.800 --> 00:01:18.800]  這個趙高已經想著是謀朝作反
[00:01:18.800 --> 00:01:22.800]  所以其實他已經有很大的勢力在他當中
[00:01:22.800 --> 00:01:25.800]  但這一天他就很想去顯露自己的威力
[00:01:25.800 --> 00:01:27.800]  於是他就想做一件事
[00:01:27.800 --> 00:01:31.800]  看看他的威信去到哪裡
[00:01:31.800 --> 00:01:35.800]  於是他就拖了一隻梅花鹿進來
[00:01:35.800 --> 00:01:37.800]  去到皇帝面前
[00:01:37.800 --> 00:01:40.800]  就跟皇帝說
[00:01:40.800 --> 00:01:41.800]  他說皇上
[00:01:41.800 --> 00:01:44.800]  我今天拖了一隻千里馬進來
[00:01:44.800 --> 00:01:45.800]  貢獻給你
[00:01:45.800 --> 00:01:48.800]  這個千里馬就是從大衛
[00:01:48.800 --> 00:01:53.800]  即是一個叫大縣小國裏面奉獻出來的
[00:01:53.800 --> 00:01:56.800]  這隻馬就是日行千里
[00:01:56.800 --> 00:01:58.800]  夜行百百
[00:01:58.800 --> 00:01:59.800]  很厲害的
[00:01:59.800 --> 00:02:01.800]  皇帝看了之後
[00:02:01.800 --> 00:02:02.800]  不是吧
[00:02:02.800 --> 00:02:03.800]  你說話
[00:02:03.800 --> 00:02:06.800]  這隻明明是有梅花點的鹿
[00:02:06.800 --> 00:02:07.800]  你是不是瘋了
[00:02:07.800 --> 00:02:08.800]  心裏面這樣想
[00:02:08.800 --> 00:02:10.800]  但趙高說不是
[00:02:10.800 --> 00:02:12.800]  這隻是馬
[00:02:12.800 --> 00:02:15.800]  皇帝覺得他可能有點疏忽
[00:02:15.800 --> 00:02:18.800]  這幾天可能不開心
[00:02:18.800 --> 00:02:19.800]  於是就說
