
[00:00:00.000 --> 00:00:03.800]  今天我們的主題是「你看到什麼」
[00:00:03.800 --> 00:00:05.400]  「你看到什麼」
[00:00:05.400 --> 00:00:09.400]  因為我們知道每個人看到的東西可能有不同的層面
[00:00:09.400 --> 00:00:12.400]  有些只是看到表面一層而已
[00:00:12.400 --> 00:00:13.400]  看不到裡面的
[00:00:13.400 --> 00:00:14.600]  看到有東西的
[00:00:14.600 --> 00:00:17.400]  不過裡面的意義可能也不同
[00:00:17.400 --> 00:00:21.600]  例如我記得以往當我的小朋友很小的時候
[00:00:21.600 --> 00:00:24.400]  帶他們去迪士尼
[00:00:24.400 --> 00:00:26.800]  我每一次帶小朋友去迪士尼
[00:00:26.800 --> 00:00:31.600]  他們覺得生命只剩下一天
[00:00:31.600 --> 00:00:35.200]  因為要玩到山門都不走
[00:00:35.200 --> 00:00:39.000]  因為怕那一刻不玩就很吃虧
[00:00:39.000 --> 00:00:40.400]  以後都回不來
[00:00:40.400 --> 00:00:43.400]  但大人看就不是只剩下一天生命
[00:00:43.400 --> 00:00:44.600]  大人看還有很多天
[00:00:44.600 --> 00:00:45.800]  每天都可以回來
[00:00:45.800 --> 00:00:47.400]  什麼時候走
[00:00:47.400 --> 00:00:51.800]  小朋友去到迪士尼通常看到的就是機動遊戲
[00:00:51.800 --> 00:00:56.600]  大人去到迪士尼通常看到的就是咖啡店
[00:00:56.600 --> 00:00:58.200]  什麼時候可以坐下
[00:00:58.200 --> 00:01:00.000]  當然大人都很興奮
[00:01:00.000 --> 00:01:01.800]  不過去過很多次
[00:01:01.800 --> 00:01:05.400]  小朋友看到通常都是卡通人物
[00:01:05.400 --> 00:01:10.000]  巴斯干年或者看到鋼鐵人
[00:01:10.000 --> 00:01:12.600]  我們看到其實就是看到小朋友
[00:01:12.600 --> 00:01:15.000]  小朋友開心我們就開心
[00:01:15.000 --> 00:01:19.600]  小朋友到處走我們就跟著到處走
[00:01:19.600 --> 00:01:21.600]  小朋友看到這些很有活力
[00:01:21.600 --> 00:01:23.000]  一直玩玩玩玩
[00:01:23.000 --> 00:01:26.600]  我們去到差不多就像大人一樣
[00:01:26.600 --> 00:01:28.000]  都要休息一下
[00:01:28.000 --> 00:01:28.600]  為什麼呢
[00:01:28.600 --> 00:01:29.600]  因為你每一次
[00:01:29.600 --> 00:01:33.200]  如果你記得起小朋友跟你去
[00:01:33.200 --> 00:01:35.200]  最後一刻他們都睡著了
[00:01:35.200 --> 00:01:36.800]  都是等你抱著走
[00:01:36.800 --> 00:01:41.000]  所以他們很盡情地撒出去
[00:01:41.000 --> 00:01:44.400]  然後你就很盡情地要撿尾巴
[00:01:44.400 --> 00:01:45.600]  真的同一件事
[00:01:45.600 --> 00:01:47.000]  我們都有不同的層面
[00:01:47.000 --> 00:01:47.800]  不同的角度
[00:01:47.800 --> 00:01:49.600]  不同的深度的經歷
[00:01:49.600 --> 00:01:51.000]  所以我去到我這個年歲
[00:01:51.000 --> 00:01:52.800]  我就不明白以往我小時候
[00:01:52.800 --> 00:01:56.400]  當我爺爺、我爸爸帶我去的時候
[00:01:56.400 --> 00:01:59.600]  不知道經常坐在那些荔園
[00:01:59.600 --> 00:02:01.200]  有沒有人去過荔園
[00:02:01.200 --> 00:02:03.400]  嘩,在永盛去過荔園
[00:02:03.400 --> 00:02:04.800]  濕漉漉的,厲害了
[00:02:04.800 --> 00:02:06.600]  為什麼不會不玩
[00:02:06.600 --> 00:02:08.200]  這麼好玩的東西
[00:02:08.200 --> 00:02:10.000]  因為他已經去過一萬次
[00:02:10.000 --> 00:02:11.400]  明白的
[00:02:11.400 --> 00:02:15.000]  今天我們進入一個情景很重要
[00:02:15.000 --> 00:02:18.200]  就是當日去到星期日
[00:02:18.200 --> 00:02:20.400]  也是有一點重溫
[00:02:20.400 --> 00:02:23.000]  上個星期梁牧師講到最後一點
[00:02:23.000 --> 00:02:27.400]  在那個景況究竟看到了什麼
[00:02:27.400 --> 00:02:29.200]  很深入地看一件事
[00:02:29.200 --> 00:02:30.800]  我看了一點背景
[00:02:30.800 --> 00:02:31.800]  接著你會很明白
[00:02:31.800 --> 00:02:35.200]  為什麼我會用這個引言
[00:02:35.200 --> 00:02:37.400]  在二十章約翰福音
[00:02:37.400 --> 00:02:40.000]  也是重溫上個星期
[00:02:40.000 --> 00:02:42.600]  梁牧師去到最後第三點
[00:02:42.600 --> 00:02:44.200]  其中一個景況
[00:02:44.200 --> 00:02:46.600]  那個景況是這樣的
[00:02:46.600 --> 00:02:48.400]  第一節、第二節
[00:02:48.400 --> 00:02:49.200]  我們一起讀
[00:02:49.200 --> 00:02:52.000]  123,七日的第一日清早
[00:02:52.000 --> 00:02:54.000]  天還黑的時候
[00:02:54.000 --> 00:02:58.400]  沒大拉的馬尼亞來到墳墓那裡
[00:02:58.400 --> 00:03:02.000]  看見石頭從墳墓拿開了
[00:03:02.000 --> 00:03:04.600]  就跑來見西門彼得
[00:03:04.600 --> 00:03:07.400]  和耶穌所愛的那個門徒
[00:03:07.400 --> 00:03:08.800]  對他們說
[00:03:08.800 --> 00:03:13.200]  有人把主從墳墓裡拿去了
[00:03:13.200 --> 00:03:16.400]  不知道放在那裡
[00:03:16.400 --> 00:03:18.200]  我們也明白背景
[00:03:18.200 --> 00:03:19.800]  梁牧師上個星期講得很好
[00:03:19.800 --> 00:03:20.800]  那三點
[00:03:20.800 --> 00:03:22.600]  我小小重溫最後一點
[00:03:22.600 --> 00:03:25.800]  就會帶到第十一節
[00:03:25.800 --> 00:03:26.800]  七日的第一日
[00:03:26.800 --> 00:03:28.000]  為什麼這麼早
[00:03:28.000 --> 00:03:29.600]  天還黑
[00:03:29.600 --> 00:03:33.000]  在凌晨和晚上的時候
[00:03:33.000 --> 00:03:37.000]  一個小女子會跑去墳墓呢?
[00:03:37.000 --> 00:03:38.200]  我不知道你有沒有試過
[00:03:38.200 --> 00:03:41.000]  我們剛剛都是掃墓之日
[00:03:41.000 --> 00:03:43.800]  我們通常今年掃墓很難
