
[00:00:00.000 --> 00:00:03.680]  我很想在我繼續下去要講道的時候
[00:00:03.680 --> 00:00:05.600]  就帶大家做一個祈禱
[00:00:05.600 --> 00:00:06.960]  帶大家做一個祈禱
[00:00:06.960 --> 00:00:10.080]  天會上帝我滿心感謝、讚美祢
[00:00:10.080 --> 00:00:12.320]  因為祢是全能永生的上帝
[00:00:12.320 --> 00:00:15.520]  祢是掌管宇宙萬物的上帝
[00:00:15.520 --> 00:00:17.440]  我今天能夠在這裡講道
[00:00:17.440 --> 00:00:18.960]  全部都是祢的恩典
[00:00:18.960 --> 00:00:21.520]  因著疫情的緣故
[00:00:21.520 --> 00:00:23.520]  是全球都大受影響
[00:00:23.520 --> 00:00:24.640]  有人失去生命
[00:00:24.640 --> 00:00:25.600]  有人失去健康
[00:00:25.600 --> 00:00:27.440]  有人失去工作或者收入
[00:00:27.440 --> 00:00:29.760]  有人跌入在幽谷之中
[00:00:29.760 --> 00:00:31.840]  是真的很不容易面對
[00:00:31.840 --> 00:00:33.280]  求祢繼續施恩
[00:00:33.280 --> 00:00:34.400]  求祢繼續憐憫
[00:00:34.400 --> 00:00:36.320]  我們祈求祢止息疫症
[00:00:36.320 --> 00:00:38.240]  阻止疫情的蔓延
[00:00:38.240 --> 00:00:41.440]  在香港或者那些發達的國家
[00:00:41.440 --> 00:00:42.400]  落後的國家
[00:00:42.400 --> 00:00:43.840]  主人祢都止息
[00:00:43.840 --> 00:00:45.680]  祢醫治那些病患者
[00:00:45.680 --> 00:00:48.800]  祢加力扶持那些醫護人員
[00:00:48.800 --> 00:00:50.240]  和製造政策的人
[00:00:50.240 --> 00:00:52.000]  主人那些有飢餓的
[00:00:52.000 --> 00:00:53.280]  或者是缺乏的
[00:00:53.280 --> 00:00:55.760]  祢供應他們需要
[00:00:55.760 --> 00:00:57.600]  祢透過祢的僕人
[00:00:57.600 --> 00:00:58.720]  祢透過祢的侍女
[00:00:58.720 --> 00:01:01.920]  讓我們眾人能夠在患難中彼此相顧
[00:01:01.920 --> 00:01:03.520]  我又祈求祢保守宗教會
[00:01:03.520 --> 00:01:04.480]  不單單是冥恩堂
[00:01:04.480 --> 00:01:05.760]  還有很多的教會在香港
[00:01:05.760 --> 00:01:06.800]  在世界各地
[00:01:06.800 --> 00:01:09.600]  在這個艱難的時刻依靠祢
[00:01:09.600 --> 00:01:12.000]  在這個艱難的時刻繼續服侍祢
[00:01:12.000 --> 00:01:13.280]  在這個艱難的時刻
[00:01:13.280 --> 00:01:16.320]  我們踐行關愛社區的使命
[00:01:16.320 --> 00:01:19.520]  求祢因典大大臨到
[00:01:19.520 --> 00:01:22.160]  我又將今天的崇拜交託給祢
[00:01:22.160 --> 00:01:24.000]  給我們在現場的弟兄姊妹
[00:01:24.000 --> 00:01:25.600]  我們都興奮
[00:01:25.600 --> 00:01:27.600]  因為我們回到這個地方
[00:01:27.600 --> 00:01:28.960]  見到弟兄姊妹
[00:01:28.960 --> 00:01:32.000]  是很具體地將贈禮歸給祢
[00:01:32.000 --> 00:01:33.120]  將敬拜歸給祢
[00:01:33.120 --> 00:01:34.480]  將我們的心歸給祢
[00:01:34.480 --> 00:01:36.960]  我們都將仍在家的弟兄姊妹交給祢
[00:01:36.960 --> 00:01:38.000]  因為這兩天
[00:01:38.000 --> 00:01:40.240]  行雷下雨得很厲害
[00:01:40.240 --> 00:01:41.680]  有些弟兄姊妹想回來
[00:01:41.680 --> 00:01:42.720]  但是都沒有辦法
[00:01:42.720 --> 00:01:44.480]  我祈求祢同樣地
[00:01:44.480 --> 00:01:45.680]  顧念他們的需要
[00:01:45.680 --> 00:01:47.040]  有些睡得不好的
[00:01:47.040 --> 00:01:49.360]  主人祢讓他們在崇拜後
[00:01:49.360 --> 00:01:51.120]  他們能夠有好的休息
[00:01:51.120 --> 00:01:54.160]  主人我們願意祢在我們中間得著榮耀
[00:01:54.160 --> 00:01:56.400]  祢的話語滋潤我們的心
[00:01:56.400 --> 00:01:57.600]  滋潤我們的心
[00:01:57.600 --> 00:01:59.120]  亦都成為我們前的燈
[00:01:59.120 --> 00:02:00.080]  路上的光
[00:02:00.080 --> 00:02:00.960]  我們這樣的祈禱
[00:02:00.960 --> 00:02:02.800]  是奉耶穌基督的聖名而求
[00:02:02.800 --> 00:02:03.600]  阿們
[00:02:27.200 --> 00:02:29.520]  重溫一下也好
[00:02:29.520 --> 00:02:30.640]  你看看
[00:02:30.640 --> 00:02:33.760]  謙卑的證明
[00:02:33.760 --> 00:02:37.920]  我們目者執事
[00:02:37.920 --> 00:02:39.120]  幾年前開始
[00:02:39.120 --> 00:02:40.480]  開執事會之先
[00:02:40.480 --> 00:02:41.920]  我們分享一本書籍
[00:02:41.920 --> 00:02:44.080]  之前大家要看
[00:02:44.080 --> 00:02:46.000]  今年分享的書籍是什麼呢
