
[00:00:00.000 --> 00:00:02.640]  好 讓我們在這裡再有一個祈禱
[00:00:02.640 --> 00:00:05.740]  慈悲的天父 祢求祢預備我們的心
[00:00:05.740 --> 00:00:07.740]  去注入祢的話語
[00:00:07.740 --> 00:00:10.740]  求聖靈同樣也預備我的口
[00:00:10.740 --> 00:00:12.740]  去開啟祢的話語
[00:00:12.740 --> 00:00:16.100]  讓我們在聖靈帶領之下
[00:00:16.100 --> 00:00:20.460]  我們能夠透過講壇的訊息
[00:00:20.460 --> 00:00:25.140]  將神的心意傳達在每一個會眾的耳朵當中
[00:00:25.140 --> 00:00:28.420]  更加求聖靈在祢帶領之下
[00:00:29.020 --> 00:00:32.220]  將神的話語不單止停留在我們耳朵
[00:00:32.220 --> 00:00:34.220]  停留在我們的腦袋裡面
[00:00:34.220 --> 00:00:36.020]  更加能夠進入我們的心裡面
[00:00:36.020 --> 00:00:38.860]  以致我們能夠活出上帝祢的心意
[00:00:38.860 --> 00:00:41.100]  祢現在給我們的心意就是要我們
[00:00:41.100 --> 00:00:43.460]  去做一個聖潔的子民
[00:00:43.460 --> 00:00:45.660]  做一個屬神的祭司
[00:00:45.660 --> 00:00:48.060]  以致我們可以在我們的社群當中
[00:00:48.060 --> 00:00:50.060]  為祢做美好的見證
[00:00:50.060 --> 00:00:52.700]  求聖靈帶領我們 幫助我們
[00:00:52.700 --> 00:00:55.260]  禱告奉耶穌基督得四面之祈求
[00:00:55.260 --> 00:00:57.260]  Amen
[00:00:59.180 --> 00:01:02.140]  這些人不止在街上會看到
[00:01:02.140 --> 00:01:03.340]  有沒有見過
[00:01:03.340 --> 00:01:04.540]  應該越來越多了
[00:01:04.540 --> 00:01:06.540]  就連土瓜園區有時過馬路都會見到
[00:01:06.540 --> 00:01:10.300]  那些女士包頭包到連
[00:01:10.300 --> 00:01:13.580]  只剩下眼睛 全身黑漆漆的
[00:01:13.580 --> 00:01:15.100]  如果你晚上見到
[00:01:15.100 --> 00:01:16.620]  都會很害怕
[00:01:16.620 --> 00:01:18.860]  不過好像他們晚上很少出街
[00:01:18.860 --> 00:01:20.860]  通常他們都白天才出
[00:01:20.860 --> 00:01:24.060]  大家一看就知道這是甚麼教徒
[00:01:24.060 --> 00:01:27.260]  穆斯林會教徒
[00:01:27.260 --> 00:01:29.980]  另外有些就不容易認
[00:01:29.980 --> 00:01:31.980]  不過有時飲宴
[00:01:31.980 --> 00:01:33.420]  三十圍酒席
[00:01:33.420 --> 00:01:35.420]  有一圍是特別吃齋的
[00:01:35.420 --> 00:01:37.420]  可想而知那群人是甚麼
[00:01:37.420 --> 00:01:39.420]  佛教徒
[00:01:39.420 --> 00:01:41.420]  我想說甚麼呢
[00:01:41.420 --> 00:01:43.420]  我們不去研究這些人的習慣
[00:01:43.420 --> 00:01:46.940]  不過你會看到這些人有很鮮明的信仰特徵
[00:01:46.940 --> 00:01:49.900]  就是一看就知道這群人是另類的
[00:01:49.900 --> 00:01:51.340]  這群是穆斯林會教徒
[00:01:51.340 --> 00:01:53.340]  這群人是佛教徒
[00:01:53.340 --> 00:01:58.300]  雖然你會覺得他們好像怪怪的
[00:01:58.300 --> 00:02:00.300]  有些行為或是吃東西
[00:02:00.300 --> 00:02:02.300]  但你會很尊敬他們
[00:02:02.300 --> 00:02:04.300]  你會很嚴守他們的教條
[00:02:04.300 --> 00:02:07.740]  好像那些印尼姐姐
[00:02:07.740 --> 00:02:09.740]  齋戒月的時候
[00:02:09.740 --> 00:02:11.740]  通常是七、八月的時間
[00:02:11.740 --> 00:02:14.940]  早上經常都不吃東西
[00:02:14.940 --> 00:02:16.940]  到黃昏才吃東西
[00:02:16.940 --> 00:02:18.940]  這麼嚴謹
[00:02:18.940 --> 00:02:20.940]  我們減肥都沒那麼乖
[00:02:20.940 --> 00:02:22.940]  只是喝水不吃東西
[00:02:22.940 --> 00:02:24.940]  所以你會尊敬他們
[00:02:24.940 --> 00:02:26.940]  你會覺得他們很敬虔
