
[00:00:00.000 --> 00:00:03.280]  今天我們看回路加 去到第十四章
[00:00:03.280 --> 00:00:06.640]  後半部 前面的那半部 上個星期
[00:00:06.640 --> 00:00:09.440]  是講關於耶穌的 繼續祂的憐憫工作
[00:00:09.440 --> 00:00:11.800]  激勵我們 學校耶穌
[00:00:11.800 --> 00:00:17.840]  好像祂一樣 去向這個世代施行憐憫
[00:00:17.840 --> 00:00:20.200]  去到中間開始
[00:00:20.200 --> 00:00:23.600]  好像主題有一點動了
[00:00:23.600 --> 00:00:26.960]  祂不只是講憐憫 祂開始講成立國
[00:00:26.960 --> 00:00:29.520]  因為在那個延籍裏面
[00:00:29.520 --> 00:00:32.680]  耶穌講關於延籍的教導
[00:00:32.680 --> 00:00:35.400]  去到第十四章的十五節
[00:00:35.400 --> 00:00:39.280]  講完之後 跟著引出了一個問題
[00:00:39.280 --> 00:00:43.000]  一個人在宴會的中間
[00:00:43.000 --> 00:00:45.520]  突然之間聽到耶穌這番說話
[00:00:45.520 --> 00:00:48.080]  他就講了一句感嘆的言語
[00:00:48.080 --> 00:00:51.640]  他說 同籍的有一個人聽見這話
[00:00:51.640 --> 00:00:53.280]  就對耶穌說
[00:00:53.280 --> 00:00:57.280]  在神國裏吃飯的有福了
[00:00:57.280 --> 00:00:59.320]  這個不是問題 這個是一個感嘆
[00:00:59.320 --> 00:01:01.680]  真的好了 能夠在神的國裏面
[00:01:01.680 --> 00:01:04.000]  有份一起開飯的一個延籍
[00:01:04.000 --> 00:01:05.280]  對於以色列人來說
[00:01:05.280 --> 00:01:06.920]  他們有一種信念
[00:01:06.920 --> 00:01:10.840]  就是將來在末後的世代復活的時候
[00:01:10.840 --> 00:01:13.320]  我們在天上面有一個大延籍 很豐富的
[00:01:13.320 --> 00:01:15.440]  是神為他的選民所預備的
[00:01:15.440 --> 00:01:16.840]  如果我們能夠在那裏
[00:01:16.840 --> 00:01:18.200]  跟我們的列祖列宗
[00:01:18.200 --> 00:01:21.760]  即阿巴拉罕 以撒亞各那些人一起開飯
[00:01:21.760 --> 00:01:23.880]  是很開心的 很快樂的事
[00:01:23.880 --> 00:01:27.400]  他就說 在神國裏面吃飯的人有福了
[00:01:27.400 --> 00:01:30.280]  他就指向那個圖畫
[00:01:30.280 --> 00:01:32.640]  那個未來的景象
[00:01:32.640 --> 00:01:35.240]  耶穌就趁著他這個說話
[00:01:35.240 --> 00:01:38.760]  他帶出他另外一個轉向的教導
[00:01:38.760 --> 00:01:40.120]  關於神國裏面
[00:01:40.120 --> 00:01:42.920]  甚麼是在神國裏面呢
[00:01:42.920 --> 00:01:44.360]  讓我們看看這段經文
[00:01:44.360 --> 00:01:47.040]  我很想透過耶穌的這番說話
[00:01:47.040 --> 00:01:48.800]  和繼續裏面的言論
[00:01:48.800 --> 00:01:50.840]  其實路加是想帶出一個主題
[00:01:50.840 --> 00:01:52.720]  在神國裏面的人
[00:01:52.720 --> 00:01:55.160]  其實是有兩樣東西的
[00:01:55.160 --> 00:01:57.760]  應該說有兩個意識 我用意識這兩個字
[00:01:57.760 --> 00:01:59.560]  即是他有一種覺醒覺
[00:01:59.560 --> 00:02:01.120]  他有一種的意識就是
[00:02:01.120 --> 00:02:04.720]  他是一個全是恩典的人
[00:02:04.720 --> 00:02:08.360]  和一個全力以赴的生命
[00:02:08.360 --> 00:02:09.800]  這兩者其實是很相對的
[00:02:09.800 --> 00:02:11.280]  全部都是恩典
[00:02:11.280 --> 00:02:13.280]  但我們要全力以赴
[00:02:13.280 --> 00:02:14.840]  讓我們看看這段經文好不好
[00:02:14.840 --> 00:02:17.280]  15節去到24節
[00:02:17.280 --> 00:02:18.560]  請姐妹讀一次
[00:02:18.560 --> 00:02:20.200]  25節去到35節
[00:02:20.200 --> 00:02:21.000]  弟兄讀
[00:02:21.000 --> 00:02:21.880]  請姐妹先讀
[00:02:21.880 --> 00:02:25.880]  「同植的有一個人聽見這話
[00:02:25.880 --> 00:02:31.520]  周到他說有人大把言直
