
[00:00:00.000 --> 00:00:06.000]  吳亮星議員
[00:00:30.000 --> 00:00:36.000]  張超雄議員
[00:01:00.000 --> 00:01:06.000]  張超雄議員
[00:01:30.000 --> 00:01:36.000]  張超雄議員
[00:02:00.000 --> 00:02:06.000]  張超雄議員
[00:02:30.000 --> 00:02:36.000]  張超雄議員
[00:03:00.000 --> 00:03:06.000]  張超雄議員
[00:03:30.000 --> 00:03:36.000]  張超雄議員
[00:04:00.000 --> 00:04:06.000]  張超雄議員
[00:04:30.000 --> 00:04:36.000]  張超雄議員
[00:05:00.000 --> 00:05:06.000]  張超雄議員
[00:05:30.000 --> 00:05:36.000]  張超雄議員
[00:06:00.000 --> 00:06:06.000]  張超雄議員
[00:06:30.000 --> 00:06:36.000]  張超雄議員
[00:07:00.000 --> 00:07:06.000]  張超雄議員
[00:07:30.000 --> 00:07:36.000]  張國柱議員
[00:08:00.000 --> 00:08:06.000]  張超雄議員
[00:08:30.000 --> 00:08:36.000]  張超雄議員
[00:09:00.000 --> 00:09:06.000]  張超雄議員
[00:09:30.000 --> 00:09:36.000]  張國柱議員
[00:10:00.000 --> 00:10:06.000]  張國柱議員
[00:10:30.000 --> 00:10:36.000]  張國柱議員
[00:11:00.000 --> 00:11:06.000]  張國柱議員
[00:11:30.000 --> 00:11:36.000]  張國柱議員
[00:12:00.000 --> 00:12:06.000]  張國柱議員
[00:12:30.000 --> 00:12:36.000]  張國柱議員
[00:13:00.000 --> 00:13:06.000]  張國柱議員
[00:13:30.000 --> 00:13:36.000]  張國柱議員
[00:14:00.000 --> 00:14:06.000]  張國柱議員
[00:14:30.000 --> 00:14:36.000]  張國柱議員
[00:15:00.000 --> 00:15:06.000]  張國柱議員
[00:15:30.000 --> 00:15:36.000]  張國柱議員
[00:16:00.000 --> 00:16:06.000]  張國柱議員
[00:16:30.000 --> 00:16:36.000]  張國柱議員
[00:17:00.000 --> 00:17:06.000]  張國柱議員
[00:17:30.000 --> 00:17:36.000]  張國柱議員
[00:18:00.000 --> 00:18:06.000]  張國柱議員
[00:18:30.000 --> 00:18:36.000]  張國柱議員
[00:19:00.000 --> 00:19:06.000]  張國柱議員
[00:19:30.000 --> 00:19:36.000]  張國柱議員
[00:20:00.000 --> 00:20:06.000]  張國柱議員
[00:20:31.000 --> 00:20:35.000]  上主要使這地方遭遇七年的饑荒
[00:20:35.000 --> 00:20:41.000]  他應該跟家人離開這裏到別的地方去住
[00:20:41.000 --> 00:20:45.000]  那婦人聽從以利沙的話
[00:20:45.000 --> 00:20:49.000]  跟家人一起到非利時去
[00:20:49.000 --> 00:20:53.000]  在那裏住了七年
[00:20:53.000 --> 00:20:56.000]  七年滿了
[00:20:56.000 --> 00:20:58.000]  他回到以色列
[00:20:58.000 --> 00:21:00.000]  他去見王
[00:21:00.000 --> 00:21:04.000]  請求收回他的房屋和田地
[00:21:04.000 --> 00:21:12.000]  他看見王正向以利沙的僕人基哈西打聽有關以利沙行神蹟的事
[00:21:12.000 --> 00:21:19.000]  當基哈西正告訴以利沙怎樣是一個死了的人復活時
[00:21:19.000 --> 00:21:25.000]  那婦人到王的面前為他的房屋和田地懇求
[00:21:25.000 --> 00:21:28.000]  基哈西對王說陛下
[00:21:28.000 --> 00:21:29.000]  這就是那婦人
[00:21:29.000 --> 00:21:31.000]  這是她的兒子
[00:21:31.000 --> 00:21:34.000]  就是以利沙救活的那人
[00:21:34.000 --> 00:21:36.000]  王向婦人查問
[00:21:36.000 --> 00:21:40.000]  她的回答證實了基哈西所說的事
[00:21:40.000 --> 00:21:43.000]  於是王召了一個神僕
[00:21:43.000 --> 00:21:49.000]  吩咐他把屬於那婦人的東西都還給她
[00:21:49.000 --> 00:21:56.000]  包括她不在那七年田裡出產的農作物
[00:21:56.000 --> 00:22:03.000]  從這裏記載我們知道上帝又藉著旱災去懲罰以色列人
[00:22:03.000 --> 00:22:07.000]  上一次上帝藉著旱災去懲罰以色列人
[00:22:07.000 --> 00:22:09.000]  是在阿哈王的時代
[00:22:09.000 --> 00:22:12.000]  是以利亞做先知的時代
[00:22:12.000 --> 00:22:16.000]  那一次的旱災持續了三年半
[00:22:16.000 --> 00:22:19.000]  這一次要七年
[00:22:19.000 --> 00:22:21.000]  雙倍的懲罰
[00:22:21.000 --> 00:22:25.000]  旱災對農夫來說真的很慘
[00:22:25.000 --> 00:22:28.000]  但是這位母親
[00:22:28.000 --> 00:22:33.000]  她是預先得到先知以利沙的提示
[00:22:33.000 --> 00:22:39.000]  在旱災之前移民去了菲利士居住
[00:22:39.000 --> 00:22:45.000]  當時我相信以色列的土地法不是像今天那樣
[00:22:45.000 --> 00:22:47.000]  主人離開了那塊地
[00:22:47.000 --> 00:22:51.000]  其他人就可以居為己有
[00:22:51.000 --> 00:22:55.000]  當這位婦人和她的家人離開了之後
[00:22:55.000 --> 00:22:58.000]  就有人佔據了他們的土地
