
[00:00:00.000 --> 00:00:02.960]  大家好,一齊看聖經
[00:00:02.960 --> 00:00:07.800]  聖經人聖經時在生命樹宣教網絡為大家提供
[00:00:07.800 --> 00:00:10.840]  今次繼續講機電
[00:00:10.840 --> 00:00:16.960]  今次的題目是「人如何,力量也是如何」
[00:00:16.960 --> 00:00:19.680]  是聖經裏面的一句說話
[00:00:19.680 --> 00:00:25.520]  我們看看「人如何,力量也是如何」
[00:00:25.520 --> 00:00:28.000]  看看它說什麼
[00:00:28.000 --> 00:00:31.880]  時詩第八章十三節
[00:00:31.880 --> 00:00:41.240]  「約阿斯的兒子機電由希烈斯坡從陣上回來」
[00:00:41.240 --> 00:00:46.440]  機電在希烈斯坡這個地方
[00:00:46.440 --> 00:00:48.680]  名字很有趣
[00:00:48.680 --> 00:00:51.880]  因為他一直追米電的領袖
[00:00:51.880 --> 00:00:54.720]  追到很遠的地方
[00:00:54.720 --> 00:00:58.680]  這些名字只出現一次
[00:00:58.680 --> 00:01:01.440]  都懶得考究它在哪裡
[00:01:01.440 --> 00:01:05.160]  不過應該是去到米電人比較深入的地方
[00:01:05.160 --> 00:01:07.280]  從陣上回來
[00:01:07.280 --> 00:01:14.600]  他抓了他們追趕的兩個領袖
[00:01:14.600 --> 00:01:19.120]  記得上一集說什麼呢?
[00:01:19.120 --> 00:01:24.760]  去到疏國這個地方跟疏國的人說
[00:01:24.760 --> 00:01:26.720]  其實是自己人
[00:01:26.720 --> 00:01:30.360]  就是我們三百人追趕米電人
[00:01:30.360 --> 00:01:33.560]  為我們全個以色列民爭戰
[00:01:33.560 --> 00:01:34.760]  上帝要祝福我們
[00:01:34.760 --> 00:01:37.600]  不過我們已經很餓又很累了
[00:01:37.600 --> 00:01:39.120]  所以你記得昨天說
[00:01:39.120 --> 00:01:43.480]  雖然疲乏仍要追趕
[00:01:43.480 --> 00:01:45.040]  雖然累了我們繼續趕
[00:01:45.040 --> 00:01:46.640]  要追趕
[00:01:46.640 --> 00:01:50.040]  可不可以給我們吃點餅
[00:01:50.040 --> 00:01:52.560]  誰知道疏國的人說
[00:01:52.560 --> 00:01:56.120]  要餅?你抓到他們了嗎?
[00:01:56.120 --> 00:01:57.840]  抓到才算吧
[00:01:57.840 --> 00:01:59.720]  不肯給
[00:01:59.720 --> 00:02:04.640]  其實疏國人真是頑皮一點
[00:02:04.640 --> 00:02:06.760]  本來就這樣一個路人很餓
[00:02:06.760 --> 00:02:08.880]  你都要給他吃點餅
[00:02:08.880 --> 00:02:10.440]  誰知何況是自己人
[00:02:10.440 --> 00:02:12.800]  當中可能部分不是自己人
[00:02:12.800 --> 00:02:15.200]  不過照地理位置
[00:02:15.200 --> 00:02:18.720]  是屬於他們的支派裏面的一部分
[00:02:18.720 --> 00:02:20.200]  是以色列人
[00:02:20.200 --> 00:02:21.720]  不過大他
[00:02:21.720 --> 00:02:23.400]  你抓到了嗎?這麼厲害
[00:02:23.400 --> 00:02:25.360]  抓到才算吧
[00:02:25.360 --> 00:02:27.880]  有時要嘲笑他們
[00:02:27.880 --> 00:02:29.960]  看你三百人追趕別人
[00:02:29.960 --> 00:02:31.560]  我怕你沒命回頭
[00:02:31.560 --> 00:02:32.920]  這些我說的
[00:02:32.920 --> 00:02:37.080]  基電就說
[00:02:37.080 --> 00:02:41.000]  如果我抓到那兩個領袖回來
