
[00:00:00.000 --> 00:00:03.160]  我今天就講西班牙書
[00:00:03.160 --> 00:00:07.600]  這些書卷老老實實你很少聽到
[00:00:07.600 --> 00:00:10.240]  西班牙書雖然很短
[00:00:10.240 --> 00:00:12.160]  但學者認為
[00:00:12.160 --> 00:00:20.640]  它就是之前所有先知的審判訊息的總結發言
[00:00:20.640 --> 00:00:22.520]  很厲害
[00:00:22.520 --> 00:00:26.240]  按照西班牙書在聖經裡的排位
[00:00:26.240 --> 00:00:34.360]  其實我們都看得到西班牙書的訊息的總結性
[00:00:34.360 --> 00:00:36.160]  又有些題外話
[00:00:36.160 --> 00:00:38.240]  就是在聖經研究裡
[00:00:38.240 --> 00:00:39.960]  有一門學問
[00:00:39.960 --> 00:00:43.480]  是研究經卷和經文
[00:00:43.480 --> 00:00:46.840]  如何透過排列的次序
[00:00:46.840 --> 00:00:50.920]  而表達一種獨特的訊息
[00:00:50.920 --> 00:00:54.360]  排位本身就是一個訊息
[00:00:54.360 --> 00:00:57.800]  排列次序本身就表達意義
[00:00:57.800 --> 00:01:01.040]  這一點中國人應該很明白
[00:01:01.040 --> 00:01:06.680]  在重大場合走進來的次序
[00:01:06.680 --> 00:01:09.520]  誰人坐在誰人旁邊
[00:01:09.520 --> 00:01:12.320]  其實這些都是大有學問
[00:01:12.320 --> 00:01:15.080]  而聖經經卷的次序
[00:01:15.080 --> 00:01:18.560]  其實是很大的學問
[00:01:18.560 --> 00:01:22.880]  西班牙書的擺位是怎樣擺的呢
[00:01:22.880 --> 00:01:27.200]  它就擺在了拿紅書和哈巴谷書之後
[00:01:27.200 --> 00:01:31.880]  如果大家還記得我上兩次的講道
[00:01:31.880 --> 00:01:35.320]  就是講拿紅書和哈巴谷書
[00:01:35.320 --> 00:01:39.480]  拿紅書主要是審判亞述的
[00:01:39.480 --> 00:01:43.600]  而哈巴谷書主要是審判巴比倫的
[00:01:43.600 --> 00:01:46.960]  而今天講的西班牙書
[00:01:46.960 --> 00:01:51.000]  其實就是審判全人類的罪
[00:01:51.000 --> 00:01:56.360]  這可以說是神對人的罪的總結的發言
[00:01:56.360 --> 00:02:01.280]  而西班牙書之後的排位是甚麼呢
[00:02:01.280 --> 00:02:04.080]  未來幾個月我會講的
[00:02:04.080 --> 00:02:09.120]  就是哈蓋書、撒加利亞書和馬拉基書
[00:02:09.120 --> 00:02:12.760]  這三卷書講的就是
[00:02:12.760 --> 00:02:19.240]  在審判到極點之後的重建
[00:02:19.240 --> 00:02:22.040]  所以今天講西班牙書
[00:02:22.040 --> 00:02:25.520]  我講完之後你們會較為開心
[00:02:25.520 --> 00:02:28.560]  因為不用再聽審判那些了
[00:02:28.560 --> 00:02:30.400]  自由了、釋放了
[00:02:30.400 --> 00:02:32.560]  下一次我再講
[00:02:32.560 --> 00:02:34.720]  就已經是講復興的訊息
[00:02:34.720 --> 00:02:37.920]  大家看得到聖經的經卷
[00:02:37.920 --> 00:02:43.760]  其實每一卷都針對著人類人生的處境
[00:02:43.760 --> 00:02:46.560]  希望你們能夠看得到這一點
[00:02:46.560 --> 00:02:50.200]  下次開始我們就會講重建
[00:02:50.200 --> 00:02:55.480]  聖經經卷的次序其實是經過精心的安排
[00:03:16.560 --> 00:03:18.400]  第一章第一節到第三節
[00:03:18.400 --> 00:03:23.680]  這裡講到一切都回到太初之前的混沌
[00:03:23.680 --> 00:03:25.280]  第一章第一節
[00:03:25.280 --> 00:03:30.600]  當猶大王阿門的兒子約西亞在位的時候
[00:03:30.600 --> 00:03:33.720]  耶和華的話臨到希西加的元孫
[00:03:33.720 --> 00:03:35.960]  阿瑪利亞的曾孫
[00:03:35.960 --> 00:03:37.840]  基大利的孫子
[00:03:37.840 --> 00:03:41.720]  古時的兒子西班牙
[00:03:41.720 --> 00:03:46.920]  書卷設定在約西亞的時代
[00:03:46.920 --> 00:03:52.440]  約西亞的時代是一個國際風雲變幻的大時代
