
[00:00:00.000 --> 00:00:03.540]  各位弟兄姊妹,平安!我是劉少康牧師
[00:00:03.540 --> 00:00:08.600]  很高興又在這裡跟大家一齊思想神的話
[00:00:08.600 --> 00:00:11.680]  現在是因為疫情的緣故
[00:00:11.680 --> 00:00:15.560]  所以很多時候我們沒有辦法回到教會
[00:00:15.560 --> 00:00:19.720]  去不到崇拜,又見不到弟兄姊妹
[00:00:19.720 --> 00:00:23.000]  於是有不少人就有一個問題
[00:00:23.000 --> 00:00:25.000]  很重要的問題
[00:00:25.000 --> 00:00:27.840]  都見不到,那怎麼崇拜?
[00:00:27.840 --> 00:00:29.840]  弟兄姊妹都見不到
[00:00:29.840 --> 00:00:31.840]  那怎麼相交?
[00:00:31.840 --> 00:00:35.840]  沒得見是不是就不可以崇拜呢?
[00:00:35.840 --> 00:00:40.280]  沒得見是不是就不能夠相交呢?
[00:00:40.280 --> 00:00:43.280]  讓我先回答第一個問題
[00:00:43.280 --> 00:00:46.480]  沒得見是不是就不可以崇拜呢?
[00:00:46.480 --> 00:00:48.480]  絕對不會啦
[00:00:48.480 --> 00:00:50.480]  因為網上崇拜
[00:00:50.480 --> 00:00:53.120]  你可以同樣投入唱詩
[00:00:53.120 --> 00:00:56.760]  你可以同樣投入聽詩班的獻詩
[00:00:56.760 --> 00:01:02.280]  你可以同樣投入聽傳道人傳講訊息
[00:01:02.280 --> 00:01:06.680]  因為講訊息是聽回來的
[00:01:06.680 --> 00:01:10.520]  訊道是由聽到而來
[00:01:10.520 --> 00:01:15.720]  所以用我們的耳朵去聽是很重要的
[00:01:15.720 --> 00:01:17.720]  第二個問題
[00:01:17.720 --> 00:01:19.720]  如果我們見不到
[00:01:19.720 --> 00:01:23.240]  那弟兄姊妹是不是沒得交往呢?
[00:01:23.240 --> 00:01:25.640]  那又絕對不是啦
[00:01:25.640 --> 00:01:28.600]  我們一樣可以透過電話
[00:01:28.600 --> 00:01:30.280]  透過WhatsApp
[00:01:30.280 --> 00:01:32.280]  透過Zoom
[00:01:32.280 --> 00:01:35.480]  我們彼此的交往
[00:01:35.480 --> 00:01:41.080]  是絕對不會因為見不到而沒有了
[00:01:41.080 --> 00:01:43.400]  今天很想跟大家講
