
[00:00:00.000 --> 00:00:04.040]  丁姊妹平安 家中的丁姊妹都平安
[00:00:04.040 --> 00:00:07.760]  願意讓我們在實地或者在網上
[00:00:07.760 --> 00:00:11.680]  我們一樣跟人們上帝的說話去建立我們的生命
[00:00:11.680 --> 00:00:15.080]  我們都一起同心去祈禱
[00:00:15.080 --> 00:00:16.440]  最一求你幫助我們
[00:00:16.440 --> 00:00:18.600]  讓我們去認識你的心意
[00:00:18.600 --> 00:00:21.280]  認識你的旨意
[00:00:21.280 --> 00:00:23.000]  好讓我們行事為人
[00:00:23.000 --> 00:00:25.800]  都跟我們所蒙的恩能夠相稱
[00:00:25.800 --> 00:00:28.600]  願你幫助我們開我們心靈的眼睛
[00:00:28.600 --> 00:00:33.320]  我們看得見主你是想怎樣我們活出這份生命
[00:00:33.320 --> 00:00:35.920]  求你帶領我們聽我們祈禱
[00:00:35.920 --> 00:00:38.280]  奉耶穌名字而求
[00:00:38.280 --> 00:00:39.440]  阿們
[00:00:39.440 --> 00:00:44.640]  丁姊妹真是很高興我們一齊回來崇拜裏面
[00:00:44.640 --> 00:00:47.560]  有一個很重要的問題
[00:00:47.560 --> 00:00:48.360]  都很生活性的
[00:00:48.360 --> 00:00:50.080]  就是想問一個問題就是
[00:00:50.080 --> 00:00:53.320]  你想不想找到一份筍工
[00:00:53.320 --> 00:00:56.000]  真是很興奮
[00:00:56.000 --> 00:00:58.320]  我們已經找到了 Amy
[00:00:58.320 --> 00:00:59.560]  一份工就夠了
[00:00:59.560 --> 00:01:03.040]  但是筍工才重要
[00:01:03.040 --> 00:01:06.360]  我們都值得去想一個問題
[00:01:06.360 --> 00:01:08.360]  很多人都想找一份筍工
[00:01:08.360 --> 00:01:11.080]  實在我聽Tony和Alice說
[00:01:11.080 --> 00:01:15.640]  現在好像這裡打工是做皇帝一樣
[00:01:15.640 --> 00:01:18.520]  打工的人要求可以很高
[00:01:18.520 --> 00:01:20.640]  喜歡回不回不回
[00:01:20.640 --> 00:01:22.720]  可能已經有筍工也不一定
[00:01:22.720 --> 00:01:24.760]  不過我都在網上找一找
[00:01:24.760 --> 00:01:29.040]  究竟有沒有什麼好做的筍工
[00:01:29.040 --> 00:01:32.520]  很舒服令人很興奮的
[00:01:32.520 --> 00:01:34.040]  找到一些這樣的工
[00:01:34.040 --> 00:01:39.360]  我在網上找到一些筍工的工作
[00:01:39.360 --> 00:01:40.160]  包括了什麼呢
[00:01:40.160 --> 00:01:44.240]  有廁所測試員
[00:01:44.240 --> 00:01:46.200]  幾千人工呢
[00:01:46.200 --> 00:01:47.800]  七萬元
