
[00:00:00.000 --> 00:00:02.000]  神永遠是我們的神
[00:00:02.000 --> 00:00:06.000]  以致我們的生命是永恆的盼望
[00:00:06.000 --> 00:00:08.000]  首先我們有個禱告
[00:00:08.000 --> 00:00:10.000]  我們一起禱告
[00:00:10.000 --> 00:00:12.000]  天父我們多謝你
[00:00:12.000 --> 00:00:14.000]  你是一位又真又活的神
[00:00:14.000 --> 00:00:17.000]  亦都透過叫人歸向你
[00:00:17.000 --> 00:00:19.000]  我們有永恆的生命
[00:00:19.000 --> 00:00:22.000]  這段經文願意你教導我們
[00:00:22.000 --> 00:00:24.000]  藉著你自己的話
[00:00:24.000 --> 00:00:27.000]  聖靈的去幫助我們明白
[00:00:27.000 --> 00:00:30.000]  我們又藉著孩子的口
[00:00:30.000 --> 00:00:33.000]  主講出合意的話
[00:00:33.000 --> 00:00:35.000]  求你去帶領
[00:00:35.000 --> 00:00:37.000]  祈禱奉主耶穌基督的名
[00:00:37.000 --> 00:00:39.000]  阿們
[00:00:39.000 --> 00:00:41.000]  有一首歌叫做
[00:00:41.000 --> 00:00:43.000]  淚灑天堂 Tears in Heavens
[00:00:43.000 --> 00:00:45.000]  不知道大家有沒有聽過
[00:00:45.000 --> 00:00:48.000]  這首歌的作者是
[00:00:48.000 --> 00:00:50.000]  Eric Clapton
[00:00:50.000 --> 00:00:52.000]  我們翻譯為
[00:00:52.000 --> 00:00:54.000]  克萊普頓
[00:00:54.000 --> 00:00:57.000]  為何克萊普頓寫這首歌呢
[00:00:57.000 --> 00:00:59.000]  當他五十多歲的時候
[00:00:59.000 --> 00:01:02.000]  他的兒子當時只有四歲
[00:01:02.000 --> 00:01:04.000]  突然在一次意外
[00:01:04.000 --> 00:01:07.000]  很不幸的意外中離開
[00:01:07.000 --> 00:01:11.000]  克萊普頓
[00:01:11.000 --> 00:01:14.000]  其實他一直是一個
[00:01:14.000 --> 00:01:16.000]  很坎坷的人
[00:01:16.000 --> 00:01:19.000]  經歷很多不幸的事情
[00:01:19.000 --> 00:01:22.000]  結果兒子這樣離開
[00:01:22.000 --> 00:01:25.000]  對他有很大的傷痛
[00:01:25.000 --> 00:01:28.000]  他是一個很出名的歌手
[00:01:28.000 --> 00:01:32.000]  他差不多被人說他是一個
[00:01:32.000 --> 00:01:37.000]  好像神級的人物
[00:01:37.000 --> 00:01:40.000]  但是這次的打擊對他很大
[00:01:40.000 --> 00:01:44.000]  在這些哀傷的歲月裡
[00:01:44.000 --> 00:01:46.000]  他作了這首歌
[00:01:46.000 --> 00:01:48.000]  叫做淚灑天堂
[00:01:48.000 --> 00:01:52.000]  給他自己一個抒發他的愛傷
[00:01:52.000 --> 00:01:55.000]  也帶來他自己一些的意志
[00:01:55.000 --> 00:01:57.000]  這首歌的歌詞
[00:01:57.000 --> 00:01:59.000]  有幾句是這樣的
[00:01:59.000 --> 00:02:02.000]  好像對他兒子的心聲一樣
[00:02:02.000 --> 00:02:05.000]  如果我在天堂遇見你
[00:02:05.000 --> 00:02:09.000]  你會不會知道我的名字呢
[00:02:09.000 --> 00:02:11.000]  若然我在天堂遇見你
[00:02:11.000 --> 00:02:13.000]  一切的事情
[00:02:13.000 --> 00:02:16.000]  有沒有以前一樣的呢
[00:02:16.000 --> 00:02:19.000]  如果我在天堂遇見你
