
[00:00:00.000 --> 00:00:06.380]  我們一起禱告。
[00:00:06.380 --> 00:00:10.380]  敬拜的天父,我們在這時候特別來到你們面前的時候,
[00:00:10.380 --> 00:00:18.240]  我們要感謝你,因爲你給我們一起在這個地方來敬拜你。
[00:00:18.240 --> 00:00:24.580]  我們也要慰藉一些年輕人,他們在露營的時候,
[00:00:24.580 --> 00:00:28.020]  他們今天早晨下午就要回來了,
[00:00:28.020 --> 00:00:35.020]  我們也把他們交託,就是你在當中也是在看顧保守他們,
[00:00:35.020 --> 00:00:38.020]  特別他們的路程回來這個地方。
[00:00:38.020 --> 00:00:47.020]  我們也要慰藉,我們當中有些會遊的孩子,
[00:00:47.020 --> 00:00:54.020]  他們會在夏天去這個short term mission的來仰望在你的手中。
[00:00:54.020 --> 00:01:03.020]  我們紀念到麻吉的孩子,跟富吉,唐陶德,跟中英的孩子。
[00:01:03.020 --> 00:01:11.020]  神啊,你自己也跟着他們去,在他們侍奉的時候,
[00:01:11.020 --> 00:01:14.020]  神有你自己的同在,你自己的祝福,
[00:01:14.020 --> 00:01:20.020]  也看顧保守他們身體的需要,神你即將恩待。
[00:01:20.020 --> 00:01:26.020]  我們在這時候也慰藉我們以下的時間來仰望在你的手中。
[00:01:26.020 --> 00:01:30.020]  上帝求神你自己的聖靈來充滿我們這個地方,
[00:01:30.020 --> 00:01:34.020]  我們的心,我們的耳朵,我們的眼睛,
[00:01:34.020 --> 00:01:38.020]  讓我們可以看到神,你自己不是看人。
[00:01:38.020 --> 00:01:44.020]  神啊,求神你自己恩待,帶領我們以下的時間跟我們說話,
[00:01:44.020 --> 00:01:49.020]  這樣禱告是奉主耶穌的名求,阿們。
[00:01:49.020 --> 00:01:54.020]  我們繼續的看耶穌亞書今天。
[00:01:54.020 --> 00:02:07.020]  我們常常喜歡提高那些漂亮的,聰明的,幸運的,
[00:02:07.020 --> 00:02:15.020]  在提高他們上來,來好像偶像的去敬拜他們。
[00:02:15.020 --> 00:02:20.020]  但是我們真正要敬拜的應該是神,
[00:02:20.020 --> 00:02:33.020]  因爲這章經文最後的一節就是要我們提高我們的神,敬拜祂。
[00:02:33.020 --> 00:02:41.020]  但是我們很多時候忘記把我們的眼睛看在神上,
[00:02:41.020 --> 00:02:44.020]  我們看在人的身上。
[00:02:44.020 --> 00:02:52.020]  所以神需要以色列人,當他們在過這個耶誕核的時候,
[00:02:52.020 --> 00:03:00.020]  拿起每個人從十二門派,拿起一個石頭過去,
[00:03:00.020 --> 00:03:05.020]  建立一個看得到的見證,
