
[00:00:00.000 --> 00:00:05.120]  今天很高興和大家一起去談天說地
[00:00:05.120 --> 00:00:07.760]  我們有錄影的 不過放心
[00:00:07.760 --> 00:00:09.760]  是錄不到大家的樣子的
[00:00:09.760 --> 00:00:12.800]  只是錄到那些招牌
[00:00:12.800 --> 00:00:18.160]  香港或者中國 一到新年的時候
[00:00:18.160 --> 00:00:22.760]  就很濃厚的宗教氣氛
[00:00:22.760 --> 00:00:26.160]  年三十晚 十一點鐘
[00:00:26.160 --> 00:00:31.280]  那些人已經開始排隊到黃大仙那裡上頭柱坑
[00:00:31.280 --> 00:00:34.740]  初二初三就奢供 拜奢供
[00:00:34.740 --> 00:00:38.400]  初六可能就不是太多人知道了 就接財神
[00:00:38.400 --> 00:00:42.320]  接著沒多久 遲些就觀音開庫
[00:00:42.320 --> 00:00:46.280]  又有經席 要打小人
[00:00:46.280 --> 00:00:47.920]  如果我們留意到
[00:00:47.920 --> 00:00:53.560]  原來在這個宗教這麼濃厚的氣氛底下
[00:00:53.560 --> 00:00:55.480]  你拜什麼都無所謂的
[00:00:55.480 --> 00:01:00.000]  但是年年在香港 都會很著緊的就是
[00:01:00.000 --> 00:01:04.480]  車公他又說些什麼呢 怎樣顯靈呢
[00:01:04.480 --> 00:01:07.480]  很多人就會去求簽的
[00:01:07.480 --> 00:01:10.080]  不知道大家是否可以開麥克風說
[00:01:10.080 --> 00:01:16.200]  大家知不知道一個簽筒裡面 有幾支簽呢
[00:01:16.200 --> 00:01:22.040]  有沒有人可以回答呢 答錯是沒有問題的
[00:01:22.040 --> 00:01:23.840]  知不知道
[00:01:23.840 --> 00:01:26.840]  100支 沒錯100支
[00:01:26.840 --> 00:01:31.840]  其實是一個很簡單的科學數據
[00:01:31.840 --> 00:01:36.840]  雖然這次劉業強很多次都搖不到一支簽出來
[00:01:36.840 --> 00:01:41.040]  我當你搖了一支簽出來
[00:01:41.040 --> 00:01:45.080]  你看到是多少號簽 譬如是28號簽
[00:01:45.080 --> 00:01:48.480]  你再等進去 再搖一次
[00:01:48.480 --> 00:01:51.480]  看會不會搖回28號簽
[00:01:51.480 --> 00:01:55.480]  因為如果那個神靈很想指示你的時候
[00:01:55.480 --> 00:01:57.720]  是不是應該雙同一支簽出來呢
[00:01:57.720 --> 00:02:03.720]  這個是最好的一個試驗的方法
[00:02:03.720 --> 00:02:06.240]  第二就是因為100支簽
[00:02:06.240 --> 00:02:10.240]  試過有記者去做一個調查
[00:02:10.240 --> 00:02:15.240]  發覺很多個簽筒都是沒有100支簽的
[00:02:15.240 --> 00:02:17.240]  未必是刻意的
[00:02:17.240 --> 00:02:25.240]  胡蘇貞也說了 自從何志平在車公廟求了一支下下簽之後
[00:02:25.240 --> 00:02:31.240]  以後車公誕的時候 那些政府官員去求簽的時候
[00:02:31.240 --> 00:02:33.240]  簽筒是特製的 大家知不知道是什麼
[00:02:33.240 --> 00:02:37.240]  是沒有了下下簽的
[00:02:37.240 --> 00:02:41.240]  但仍然不是很好 那些簽出來
[00:02:41.240 --> 00:02:48.240]  原來很多簽筒裡面都不夠100支簽
