
[00:00:00.000 --> 00:00:07.000]  原來人在生活裡無論大罪小罪都是罪
[00:00:07.000 --> 00:00:15.000]  我們世上作為人我們就有機會犯過失犯錯
[00:00:15.000 --> 00:00:22.000]  我們可以大奸大惡我們也可以做一些小惡
[00:00:22.000 --> 00:00:29.000]  或者我們可能在心裡所想的一些過犯未完全顯出來
[00:00:29.000 --> 00:00:32.000]  但是世上人和事是分不開的
[00:00:32.000 --> 00:00:38.000]  作為一個人我們都會做一些事
[00:00:38.000 --> 00:00:41.000]  聖經裡面保羅告訴我們
[00:00:41.000 --> 00:00:45.000]  若有人在基督裡他就是新造的人
[00:00:45.000 --> 00:00:49.000]  舊事已過都變成新的了
[00:00:49.000 --> 00:00:53.000]  若有人在基督裡他就是新造的人
[00:00:53.000 --> 00:00:58.000]  舊事已過都變成新的了
[00:00:58.000 --> 00:01:03.000]  阿Ben很厲害他不用看稿子
[00:01:03.000 --> 00:01:06.000]  他舊事全部記得了
[00:01:06.000 --> 00:01:13.000]  但是這個對他來說已經過去了
[00:01:13.000 --> 00:01:15.000]  因為當他相信神的時候
[00:01:15.000 --> 00:01:19.000]  神就完完全全的接納
[00:01:19.000 --> 00:01:23.000]  人很多時候以我們自己的行為去判別
[00:01:23.000 --> 00:01:26.000]  我們自己判別別人
[00:01:26.000 --> 00:01:32.000]  但是我們總要為我們所作的去負責
[00:01:32.000 --> 00:01:35.000]  阿Ben所作的
[00:01:35.000 --> 00:01:40.000]  他身體上曾經受過的傷害
[00:01:40.000 --> 00:01:45.000]  又或者在監牢裡面要失去自由
[00:01:45.000 --> 00:01:48.000]  可以說我們可能是這個社會的錯
[00:01:48.000 --> 00:01:51.000]  家庭環境所造成
[00:01:51.000 --> 00:01:56.000]  但弟兄姊妹各位來賓原來這位神是怎樣呢
[00:01:56.000 --> 00:01:59.000]  給我們人都有自由
[00:01:59.000 --> 00:02:02.000]  神造人都給我們有自由
[00:02:02.000 --> 00:02:07.000]  就好像當初阿當夏娃犯罪一樣
[00:02:07.000 --> 00:02:11.000]  叫他不要吃分別是惡處的果子他要吃
[00:02:11.000 --> 00:02:15.000]  人那種自由他願意做他想做的事
[00:02:15.000 --> 00:02:18.000]  但是當我們這樣去做的時候
[00:02:18.000 --> 00:02:23.000]  我們就有機會犯過失犯罪
[00:02:23.000 --> 00:02:28.000]  但是弟兄姊妹我們看到弟兄他的改變
[00:02:28.000 --> 00:02:32.000]  他願意藉著一個禱告去靠近耶穌
[00:02:32.000 --> 00:02:34.000]  相信耶穌
[00:02:34.000 --> 00:02:37.000]  又或者我們去看看我們自己
[00:02:37.000 --> 00:02:40.000]  我們每一位弟兄姊妹或者我們每一位新來賓
[00:02:40.000 --> 00:02:45.000]  在你的生活行為裡面有沒有犯過失
[00:02:45.000 --> 00:02:50.000]  可能和阿Ben的分享都是不好的事情
[00:02:50.000 --> 00:02:53.000]  神不喜悅的事情
[00:02:53.000 --> 00:02:57.000]  聖經很清楚告訴我們
[00:02:57.000 --> 00:03:03.000]  如果不合乎神的心意就已經是罪
[00:03:03.000 --> 00:03:06.000]  弟兄上了讀印是吧
[00:03:06.000 --> 00:03:10.000]  修術很厲害
[00:03:10.000 --> 00:03:15.000]  有沒有人撐人錢想找人呢
[00:03:15.000 --> 00:03:18.000]  當然阿Ben可以有很多竅門告訴你
[00:03:18.000 --> 00:03:20.000]  但是他已經不做這些了
[00:03:20.000 --> 00:03:25.000]  你現在是在做一間公司的設計
[00:03:25.000 --> 00:03:31.000]  已經是改變了不再在舊事壞事裡面去打滾
[00:03:31.000 --> 00:03:34.000]  因為關鍵在哪裡
[00:03:34.000 --> 00:03:37.000]  關鍵他知道這個是罪
[00:03:37.000 --> 00:03:40.000]  這個已經不是一件好的事情
[00:03:40.000 --> 00:03:43.000]  他就完全去改變
[00:03:43.000 --> 00:03:47.000]  完全在他生命裡面不一樣
[00:03:47.000 --> 00:03:52.000]  原來人都有不同程度上的人
[00:03:52.000 --> 00:03:55.000]  弟兄姊妹你有沒有打機
[00:03:55.000 --> 00:03:57.000]  打機有多長
[00:03:57.000 --> 00:04:03.000]  專家告訴我們你一天多過八小時就上了印
[00:04:03.000 --> 00:04:06.000]  姊妹你有沒有看韓劇
[00:04:06.000 --> 00:04:09.000]  韓劇看韓劇會上印
[00:04:09.000 --> 00:04:13.000]  我打過隔離場
[00:04:13.000 --> 00:04:16.000]  一班女士打羽毛球
[00:04:16.000 --> 00:04:22.000]  其中一個就是煲韓劇煲到要戒
[00:04:22.000 --> 00:04:24.000]  都是上印的
[00:04:24.000 --> 00:04:26.000]  他不是做什麼錯事
