
[00:00:00.000 --> 00:00:04.000]  大家好 預祝大家聖誕快樂
[00:00:04.000 --> 00:00:08.000]  當然我們基督徒聖誕快樂的意義是很不同的
[00:00:08.000 --> 00:00:10.000]  或者這段經文我們一起去學的時候
[00:00:10.000 --> 00:00:13.000]  一起去思想 給我們更加多的意思
[00:00:13.000 --> 00:00:16.000]  讓我們在這個聖誕節更加覺得
[00:00:16.000 --> 00:00:20.000]  在神的心要裏面 更加蒙神的恩典
[00:00:20.000 --> 00:00:22.000]  我們一起首先去禱告
[00:00:22.000 --> 00:00:31.000]  天父多謝祢讓我們一起在紀念主誕生的日期的時候
[00:00:31.000 --> 00:00:34.000]  我們一起去學習 求主祢幫助我們
[00:00:34.000 --> 00:00:37.000]  祈禱奉主耶穌基督的名 阿們
[00:00:37.000 --> 00:00:41.000]  聖誕節我記得我未信主的時候
[00:00:41.000 --> 00:00:43.000]  我都覺得是一個很歡樂的日子
[00:00:43.000 --> 00:00:47.000]  周圍環境的氣氛都是很好
[00:00:47.000 --> 00:00:50.000]  但是心境就很難說 每個人都不同
[00:00:50.000 --> 00:00:54.000]  我想聖誕節總是給人一個歡樂的感覺
[00:00:54.000 --> 00:00:56.000]  去到街上有很多燈飾
[00:00:56.000 --> 00:00:59.000]  商場有很多特別的擺設
[00:00:59.000 --> 00:01:02.000]  我聽人說現在的燈飾越來越少
[00:01:02.000 --> 00:01:04.000]  在外面買回來的商場多
[00:01:04.000 --> 00:01:06.000]  那是真的 做生意的人都很會想
[00:01:06.000 --> 00:01:10.000]  擺很多的裝飾 吸引很多人去商場
[00:01:10.000 --> 00:01:14.000]  又或者我們和一些親友聚集在一起
[00:01:14.000 --> 00:01:18.000]  吃大餐 都是一個很溫暖的日子
[00:01:18.000 --> 00:01:22.000]  不知你想怎樣過聖誕節
[00:01:22.000 --> 00:01:27.000]  在美國華盛頓的兒童醫院
[00:01:27.000 --> 00:01:30.000]  那些小朋友 病童
[00:01:30.000 --> 00:01:32.000]  他們很小的時候在醫院住
[00:01:32.000 --> 00:01:36.000]  經歷過一個很特別的聖誕節的慶祝
[00:01:36.000 --> 00:01:40.000]  原因是幾天前 大家如果有留意新聞
[00:01:40.000 --> 00:01:43.000]  上一任的總統奧巴馬
[00:01:43.000 --> 00:01:47.000]  親自來到這個地方和小朋友慶祝
[00:01:47.000 --> 00:01:51.000]  他戴了一個聖誕帽 帶了一大袋禮物去
[00:01:51.000 --> 00:01:56.000]  去到這個地方 當然家長和醫護人員都歡迎他
[00:01:56.000 --> 00:01:58.000]  這麼重要的人物來到當中
[00:01:58.000 --> 00:02:01.000]  那些小朋友有什麼反應呢
[00:02:01.000 --> 00:02:07.000]  這個大人物竟然來到我這裡
[00:02:07.000 --> 00:02:09.000]  有一個就和他說玩笑
[00:02:09.000 --> 00:02:13.000]  你在這裡做替工 扮聖誕老人
[00:02:13.000 --> 00:02:17.000]  有一個就和他自拍
[00:02:17.000 --> 00:02:21.000]  有一個走到他的房間去看
[00:02:21.000 --> 00:02:24.000]  有一個嚇到 總統來到我這裡
[00:02:24.000 --> 00:02:25.000]  雙手掩著嘴巴
[00:02:25.000 --> 00:02:28.000]  奧巴馬很熱情地抱著他
[00:02:28.000 --> 00:02:30.000]  親一下 親一親
[00:02:30.000 --> 00:02:33.000]  他簡直感動到流淚
[00:02:33.000 --> 00:02:38.000]  我不知你在那醫院有什麼感受
[00:02:38.000 --> 00:02:39.000]  其實你想一想
[00:02:39.000 --> 00:02:43.000]  一定覺得很特別 這麼大的人物來到自己當中
[00:02:43.000 --> 00:02:48.000]  還要和你一起去過這個慶祝生日
