
[00:00:00.000 --> 00:00:01.960]  丁姐妹,早晨!
[00:00:01.960 --> 00:00:03.740]  感恩節快樂!
[00:00:03.740 --> 00:00:07.080]  跟大家補講一聲感恩節快樂!
[00:00:07.080 --> 00:00:10.840]  今天我們繼續來到
[00:00:10.840 --> 00:00:13.600]  《河西亞書》的講道系列,是嗎?
[00:00:13.600 --> 00:00:16.060]  OK,今天我們講的題目叫做
[00:00:16.060 --> 00:00:17.540]  《迴轉的二部》
[00:00:17.540 --> 00:00:20.060]  因為整卷《河西亞書》
[00:00:20.060 --> 00:00:22.360]  其實主題都是圍繞著神
[00:00:22.360 --> 00:00:24.000]  很想祂們迴轉
[00:00:24.000 --> 00:00:27.340]  今天我們講講迴轉其中的兩個
[00:00:27.340 --> 00:00:28.560]  很簡單的步驟
[00:00:28.560 --> 00:00:30.400]  是一個簡單的步驟
[00:00:30.400 --> 00:00:31.760]  首先在講之前
[00:00:31.760 --> 00:00:34.840]  我想簡單地重複一下
[00:00:34.840 --> 00:00:38.440]  《河西亞書》一些的很重點
[00:00:38.440 --> 00:00:40.680]  《河西亞書》的訊息講到
[00:00:40.680 --> 00:00:43.840]  講到神的懲罰與安慰
[00:00:43.840 --> 00:00:45.540]  遠離神的時候
[00:00:45.540 --> 00:00:48.920]  想藉著《河西亞書》
[00:00:48.920 --> 00:00:50.320]  神想藉著《河西亞書》
[00:00:50.320 --> 00:00:51.760]  娶一個淫婦
[00:00:51.760 --> 00:00:54.480]  然後讓她感受一下
[00:00:54.480 --> 00:00:56.920]  當她最愛的一個太太
[00:00:56.920 --> 00:00:58.200]  遠離她的時候
[00:00:58.200 --> 00:00:59.480]  背叛她的時候
[00:00:59.480 --> 00:01:02.600]  她那種的悲傷和憤怒
[00:01:02.600 --> 00:01:04.560]  然後神就有很重要的訊息
[00:01:04.560 --> 00:01:06.520]  就是當你肯迴轉的時候
[00:01:06.520 --> 00:01:10.480]  你都能夠領受到神重生的慈愛、憐憫
[00:01:10.480 --> 00:01:13.920]  你能夠享受到神重生給你一些安慰
[00:01:13.920 --> 00:01:16.480]  也都享受到神給你一些賜福
[00:01:16.480 --> 00:01:19.640]  然後重見神的親密關係
[00:01:19.640 --> 00:01:22.080]  今天我們會講到迴轉
[00:01:22.080 --> 00:01:23.360]  如果主題是迴轉
[00:01:23.360 --> 00:01:25.360]  有兩個簡單的步驟
[00:01:25.360 --> 00:01:28.920]  第一個步驟就是「脫去舊人」
[00:01:28.920 --> 00:01:31.840]  就是將一些舊的開始脫去
[00:01:31.840 --> 00:01:35.520]  在《河西亞書》的第九章是這樣說的
[00:01:35.520 --> 00:01:40.480]  以色列,不要歡喜,將萬民一樣快樂
