
[00:00:00.000 --> 00:00:02.920]  今天我想從大家這三段經文裏面來講
[00:00:02.920 --> 00:00:05.800]  分享作為一個母親的角色
[00:00:05.800 --> 00:00:08.480]  要面對的一個現實
[00:00:08.480 --> 00:00:10.880]  我會透過兩個的挑戰
[00:00:10.880 --> 00:00:12.280]  一個鼓勵
[00:00:12.280 --> 00:00:14.080]  來跟大家分享
[00:00:14.080 --> 00:00:15.520]  在母親節裏面
[00:00:15.520 --> 00:00:18.560]  去重新思想母親這個角色
[00:00:18.560 --> 00:00:21.160]  那個使命
[00:00:21.160 --> 00:00:27.560]  以及那個意義
[00:00:27.560 --> 00:00:31.440]  第一段經文在《創世紀》十四至十六節
[00:00:31.440 --> 00:00:34.480]  我相信大家都很熟悉的一段經文
[00:00:34.480 --> 00:00:37.360]  不知道你有沒有去深思去想一想
[00:00:37.360 --> 00:00:40.840]  究竟為甚麼上帝要這樣安排
[00:00:40.840 --> 00:00:44.880]  女性要面對著這個
[00:00:44.880 --> 00:00:51.080]  博奕上帝之後的後果
[00:00:51.080 --> 00:00:53.080]  我們看三章的十四至十六節
[00:00:53.080 --> 00:00:54.440]  預備起
[00:00:54.440 --> 00:01:09.240]  「耶和華神對蛇說,你既做了這事,就必受詛咒,比一切的牲畜和野獸更重,你必用兔子行走,終生吃兔。
[00:01:09.240 --> 00:01:16.680]  我要使你和女人彼此為仇,你的後裔和女人的後裔也彼此為仇。
[00:01:16.680 --> 00:01:34.120]  她要傷你的頭,你要傷她的腳筋,又對女人說,我必多多加增你懷胎的痛苦,你生兒女時必多受痛苦,你必亂誣你丈夫,她必管轄你。」
[00:01:34.120 --> 00:01:39.920]  《創世紀》第三章裏面是記載了人類離開伊甸園的原因
[00:01:39.920 --> 00:01:44.000]  是他們博奕上帝,不聽上帝的吩咐
[00:01:44.000 --> 00:01:48.480]  以致帶來非常之嚴重的後果
[00:01:48.480 --> 00:01:54.000]  而在對整個犯罪的過程,博奕上帝的過程裏面
[00:01:54.000 --> 00:01:58.800]  上帝分別宣判了三個派對
[00:01:58.800 --> 00:02:00.880]  蛇、男人、女人
[00:02:00.880 --> 00:02:07.920]  將來面對著離開上帝之後的結局
[00:02:07.920 --> 00:02:15.920]  我想帶大家特別去看看作為女人面對的下場
[00:02:15.920 --> 00:02:27.320]  聖經後提到,神對女人說,我必多多加增你懷胎的痛苦,你生兒女時必多受痛苦,你必亂誣你丈夫
[00:02:27.320 --> 00:02:33.760]  在這裏我們看到三件事,三件事加在女性的身上
[00:02:33.760 --> 00:02:40.520]  而這當中亦都可以成為我們作為母親要面對的現實挑戰
[00:02:40.520 --> 00:02:45.800]  創世紀在這裏記載了上帝為母親所定下的角色
[00:02:45.800 --> 00:02:50.080]  這是一個很現實的角色
[00:02:50.080 --> 00:02:55.400]  從夏娃的情況來說,我們可以看到女性或者媽媽
[00:02:55.400 --> 00:03:05.120]  她們要面對著孩子和丈夫帶給她的情感衝擊和心靈肉體上的衝擊
[00:03:05.120 --> 00:03:18.320]  我相信這種衝擊、這種震撼只有作為曾經生過孩子、為人母親的才能體會到其中的滋味
[00:03:18.320 --> 00:03:23.920]  想一想,懷胎十月的滋味
[00:03:23.920 --> 00:03:33.800]  肚子裏的孩子一直生長時,伴隨著帶來媽媽身體不同的反應
[00:03:33.800 --> 00:03:44.840]  那種不同的感受,這一切就唯有作為媽媽的自己去默然承受
[00:03:44.840 --> 00:03:55.800]  即使你作為丈夫,你如何愛你的妻子,你只是眼睜睜地看著她,不過是急字
[00:03:55.800 --> 00:04:03.200]  好了,到了你熬過這八、九個月的日子
[00:04:03.200 --> 00:04:10.120]  告訴你快要生了,這個時刻
[00:04:10.120 --> 00:04:13.960]  同樣是一個極具挑戰的時刻
[00:04:13.960 --> 00:04:26.920]  由痛楚開始,來到告訴你孩子將要進入這個世界,呼吸大地上的第一口氣息的時候來了
[00:04:26.920 --> 00:04:32.360]  看似是一個很雀躍,生命誕生的日子
[00:04:32.360 --> 00:04:39.040]  但同樣有人說這是生與死的擦身而過的時刻
