
[00:00:00.000 --> 00:00:02.960]  各位蝸狐的弟兄姊妹 你們好
[00:00:02.960 --> 00:00:05.740]  首先要多謝大家給我一個機會
[00:00:05.740 --> 00:00:09.680]  在五十週年紀念這個日子裏面
[00:00:09.680 --> 00:00:12.780]  和大家分享神的話語
[00:00:12.780 --> 00:00:17.300]  願上帝祝福我們 也祝福教會
[00:00:17.300 --> 00:00:22.580]  叫教會成為了香港的燈台 照亮很多的人
[00:00:22.580 --> 00:00:25.660]  今天我想和大家思想的題目叫做
[00:00:25.660 --> 00:00:30.140]  以覺臨格 在地若天
[00:00:30.140 --> 00:00:36.040]  是講到耶穌基督在《馬太福音》第六章九至十三節
[00:00:36.040 --> 00:00:42.540]  我們通常叫做主禱文 其實應該叫做門徒的禱文
[00:00:42.540 --> 00:00:47.300]  因為這個不是耶穌向天父祈禱的禱文
[00:00:47.300 --> 00:00:51.060]  而是耶穌教導門徒怎樣去禱告
[00:00:51.060 --> 00:00:54.800]  其實主禱文是很精彩的
[00:00:54.800 --> 00:00:58.360]  我就很想用少許時間和大家分享
[00:00:58.360 --> 00:01:03.640]  耶穌基督在登山裏的主禱文裏面
[00:01:03.640 --> 00:01:06.600]  和我們講一些甚麼的話
[00:01:06.600 --> 00:01:11.640]  在思想這段聖經之前 請你同心低頭和祈禱
[00:01:11.640 --> 00:01:14.740]  慈悲人的天父 我們滿心多謝你
[00:01:14.740 --> 00:01:22.360]  多謝你在這個混亂的世界裏給我們有盼望
[00:01:22.360 --> 00:01:27.020]  我們知道有一天你會再來
[00:01:27.020 --> 00:01:31.080]  將這個地轉化為新天、新地
[00:01:31.080 --> 00:01:33.260]  我們再一次多謝你
[00:01:33.260 --> 00:01:38.760]  求你讓我們藉著你的話語提醒、勸勉、教導
[00:01:38.760 --> 00:01:42.760]  安慰、督責我們 叫我們明白你的話語
[00:01:42.760 --> 00:01:47.100]  而懂得怎樣去運用你的話語在我們的生命裏面
[00:01:47.100 --> 00:01:50.260]  我們多謝祈禱 奉耶穌基督名求
[00:01:50.260 --> 00:01:53.880]  阿門
[00:01:53.880 --> 00:01:57.500]  今年是「窩福堂」50週年紀念
[00:01:57.500 --> 00:02:00.040]  回想過去50年的歲月
[00:02:00.040 --> 00:02:03.200]  由1976年到1985年
[00:02:03.200 --> 00:02:07.000]  還有2000年到2013年
[00:02:07.000 --> 00:02:09.920]  總共有22年的時間
[00:02:09.920 --> 00:02:13.640]  窩福都是我們一家屬靈的大家庭
[00:02:13.640 --> 00:02:16.100]  還記得1976年的時候
[00:02:16.100 --> 00:02:18.680]  我們一家從美國回到香港
[00:02:18.680 --> 00:02:21.040]  開始在窩福侍奉
[00:02:21.040 --> 00:02:22.740]  接著那一年
[00:02:22.740 --> 00:02:25.520]  我們在港台的信息都是分享
[00:02:25.520 --> 00:02:30.700]  《馬太福音》第五章到第七章的登山部分
[00:02:30.700 --> 00:02:32.680]  回到香港不夠一年
[00:02:32.680 --> 00:02:36.240]  太太君玉再次懷孕
[00:02:36.240 --> 00:02:40.460]  但是大概10個星期左右
[00:02:40.460 --> 00:02:43.960]  香港就發生了德國疾病的疫症
[00:02:43.960 --> 00:02:46.780]  君玉很不幸的染上了
[00:02:46.780 --> 00:02:49.560]  從醫學的角度來看
[00:02:49.560 --> 00:02:51.900]  胎裏面的嬰兒
[00:02:51.900 --> 00:02:56.080]  有很大機會是受到感染而導致不正常
[00:02:56.080 --> 00:03:03.540]  或者是盲、或者是聾、或者是智障、或者是心瘤
[00:03:03.540 --> 00:03:06.040]  當時我們很憂慮
[00:03:06.040 --> 00:03:08.880]  兩口子往往相對無言
[00:03:08.880 --> 00:03:11.420]  唯有淚千行
[00:03:11.420 --> 00:03:14.140]  在那一個主日
[00:03:14.140 --> 00:03:18.280]  我剛剛分享到《馬太福音》第六章
[00:03:18.280 --> 00:03:20.960]  有關憂慮的信息
