
[00:00:00.000 --> 00:00:02.500]  在我們開始之前,我們一起有個祈禱
[00:00:02.500 --> 00:00:07.000]  張天福,我們感謝你,因為是你揀選了我們
[00:00:07.000 --> 00:00:09.500]  求你今天與我們每一個人說話
[00:00:09.500 --> 00:00:13.000]  你想用孩子的口,讓我說得清楚
[00:00:13.000 --> 00:00:15.500]  也讓弟兄姊妹聽得明白
[00:00:15.500 --> 00:00:19.500]  讓你親自與我們每一個人說話
[00:00:19.500 --> 00:00:21.500]  因為你是獨一的神
[00:00:21.500 --> 00:00:23.000]  你是永活的主
[00:00:23.000 --> 00:00:24.500]  你是全能的神
[00:00:24.500 --> 00:00:26.500]  我們感謝你,求你與我們同在
[00:00:26.500 --> 00:00:29.500]  聽我們祈禱,奉耶穌基督德性的名求
[00:00:29.500 --> 00:00:31.500]  阿們
[00:00:31.500 --> 00:00:35.000]  你們最近的講道系列叫做
[00:00:35.000 --> 00:00:37.000]  「也許相愛很難」
[00:00:37.000 --> 00:00:39.500]  是一個很好的名字,很有意思
[00:00:39.500 --> 00:00:42.000]  講關於衝突
[00:00:42.000 --> 00:00:46.500]  其實人生有很多大大小小的衝突
[00:00:46.500 --> 00:00:48.500]  如果你告訴我你沒有遇過
[00:00:48.500 --> 00:00:50.500]  基本上應該沒有什麼可能
[00:00:50.500 --> 00:00:52.500]  就算可能你現在沒有遇過
[00:00:52.500 --> 00:00:55.000]  你將來很大機會會遇到
[00:00:55.000 --> 00:00:56.000]  為什麼?
[00:00:56.000 --> 00:01:00.000]  因為人的分歧在不同的原因之下
[00:01:00.000 --> 00:01:02.000]  只會越來越大
[00:01:02.000 --> 00:01:06.000]  其實有些衝突是我們可以避免的
[00:01:06.000 --> 00:01:08.500]  有些衝突是我們處理得到
[00:01:08.500 --> 00:01:10.500]  有些是我們處理不到的
[00:01:10.500 --> 00:01:13.500]  我們應該怎樣面對呢?
[00:01:13.500 --> 00:01:17.500]  所以今天我選的題目
[00:01:17.500 --> 00:01:20.500]  是叫「衝突終活出愛」
[00:01:20.500 --> 00:01:23.000]  可能你會說,有沒有聽錯呢?
[00:01:23.000 --> 00:01:25.500]  你沒有聽錯,我們也沒有打錯字
[00:01:25.500 --> 00:01:28.000]  是「衝突終活出愛」
[00:01:28.000 --> 00:01:29.500]  當我選這個題目的時候
[00:01:29.500 --> 00:01:31.000]  其實我也覺得
[00:01:31.000 --> 00:01:33.000]  我不知道是不是音的問題
[00:01:33.000 --> 00:01:36.500]  好像很難讀
[00:01:36.500 --> 00:01:39.000]  我就想,這個意思其實
[00:01:39.000 --> 00:01:41.500]  跟讀音我覺得很相似
[00:01:41.500 --> 00:01:44.500]  衝突終活出愛
[00:01:44.500 --> 00:01:46.500]  是否很難呢?
[00:01:46.500 --> 00:01:48.000]  其實真的很難
[00:01:48.000 --> 00:01:50.500]  但是否沒有可能呢?
[00:01:50.500 --> 00:01:52.000]  當然不是了
[00:01:52.000 --> 00:01:55.500]  《史提反經》不單教我們如何面對衝突
[00:01:55.500 --> 00:01:57.500]  處理衝突
[00:01:57.500 --> 00:02:01.000]  也教我們如何在衝突中活出愛
[00:02:01.000 --> 00:02:05.500]  今天我想藉著這個試圖行轉的人物
[00:02:05.500 --> 00:02:07.500]  史提反
[00:02:07.500 --> 00:02:10.000]  他正面對一個又大又難的衝突
[00:02:10.000 --> 00:02:13.000]  我們來看看這個衝突對當時的教會
[00:02:13.000 --> 00:02:16.000]  當時的世代帶來什麼樣的影響
[00:02:16.000 --> 00:02:19.500]  其實史提反的故事已經是一個過去式
[00:02:19.500 --> 00:02:22.500]  但是他的故事所帶來的閹評
[00:02:22.500 --> 00:02:24.500]  到今天仍然影響我們
[00:02:24.500 --> 00:02:28.000]  因為神的說話是跨越時代
[00:02:28.000 --> 00:02:31.000]  所以我很希望藉著他的故事
[00:02:31.000 --> 00:02:33.000]  讓我們今天的信徒看看
[00:02:33.000 --> 00:02:35.000]  我們應該用什麼心態
[00:02:35.000 --> 00:02:38.000]  去面對我們的衝突
[00:02:38.000 --> 00:02:42.000]  如何可以在衝突中活出基督的愛
[00:02:42.000 --> 00:02:45.500]  其實我打算預備一些背景的資料
[00:02:45.500 --> 00:02:49.500]  但是可能大家已經在六月底開始到現在
[00:02:49.500 --> 00:02:51.500]  已經不停地聽著《史提反經》
[00:02:51.500 --> 00:02:52.500]  其實這個是很好的
[00:02:52.500 --> 00:02:54.500]  因為你有連貫性
[00:02:54.500 --> 00:02:56.500]  也節省了我的時間
[00:02:56.500 --> 00:02:58.500]  不用再預備背景資料
[00:02:58.500 --> 00:03:02.500]  因為可能你們的背景資料還比我熟悉
[00:03:02.500 --> 00:03:07.500]  所以我今天反而想著重說多一些關於史提反這個人物
[00:03:07.500 --> 00:03:11.000]  因為我有很多經文想跟大家一起分享
