
[00:00:00.000 --> 00:00:03.020]  相信今年都是一個很特別的一年
[00:00:03.020 --> 00:00:04.660]  因為過往日子裏面
[00:00:04.660 --> 00:00:07.240]  我們都從未試過聯合崇拜
[00:00:07.240 --> 00:00:09.400]  是需要透過網上去進行
[00:00:09.400 --> 00:00:14.020]  剛才說和一班同工一起去大敬拜
[00:00:14.020 --> 00:00:15.400]  過往日子裏面
[00:00:15.400 --> 00:00:17.820]  其實我們都有教會五年的計劃
[00:00:17.820 --> 00:00:21.200]  我們第一年是成為一個報道的群體
[00:00:21.200 --> 00:00:23.160]  剛剛在過往一年裏面
[00:00:23.160 --> 00:00:24.400]  雖然在疫情中間
[00:00:24.400 --> 00:00:25.400]  很感謝主
[00:00:25.400 --> 00:00:26.800]  整年裏面
[00:00:26.800 --> 00:00:30.400]  我依然有十三位朋友去致信耶穌
[00:00:30.400 --> 00:00:32.400]  今年進入第二年的時候
[00:00:32.400 --> 00:00:34.600]  我們會成為一個敬拜的群體
[00:00:34.600 --> 00:00:37.800]  第三年會成為一個愛慕聖經的群體
[00:00:37.800 --> 00:00:40.500]  第四年是成為一個相愛的群體
[00:00:40.500 --> 00:00:44.600]  第五年就是成為一個宣教的群體
[00:00:44.600 --> 00:00:48.500]  今年當我們特別說到敬拜的群體的時候
[00:00:48.500 --> 00:00:53.300]  都盼望和大家在敬拜的課題上一起去學習
[00:00:54.800 --> 00:00:59.400]  承諾加巴特說敬拜是教會所有規律的本源
[00:00:59.400 --> 00:01:03.500]  敬拜是屬神的救贖群體生活的中心
[00:01:03.500 --> 00:01:07.400]  在裏面說到敬拜是教會裏面
[00:01:07.400 --> 00:01:10.000]  差不多一切很重要的元素
[00:01:10.000 --> 00:01:12.400]  也是救贖群體裏面的一個中心
[00:01:12.400 --> 00:01:16.900]  威斯敏斯特信仰回答裏面說
[00:01:16.900 --> 00:01:20.400]  人類的目標就是永遠去榮耀神和享受祂
[00:01:20.400 --> 00:01:22.600]  這是人類的目標
[00:01:23.700 --> 00:01:26.900]  敬拜也可以作為信徒和教會靈性的指標
[00:01:26.900 --> 00:01:29.700]  教會委身應該怎樣去敬拜神
[00:01:29.700 --> 00:01:32.500]  放在教會的教導事宮裏面
[00:01:32.500 --> 00:01:35.500]  最重要和最優先的位置
[00:01:35.500 --> 00:01:41.000]  敬拜的真諦其實就是在相遇那一刻裏面
[00:01:41.000 --> 00:01:43.000]  人將生命獻給神
[00:01:43.000 --> 00:01:45.000]  產生回應不同的改變
[00:01:45.000 --> 00:01:47.000]  簡單地說
[00:01:47.000 --> 00:01:52.500]  敬拜其實就是將神應得的歸給祂
[00:01:53.900 --> 00:01:55.300]  所以很多時候我們說
[00:01:55.300 --> 00:01:56.500]  敬拜worship
[00:01:56.500 --> 00:01:59.700]  就是將配得的獻給神自己
[00:01:59.700 --> 00:02:04.100]  在今年的裏面
[00:02:04.100 --> 00:02:08.300]  其實我們會分四季和大家分享
[00:02:08.300 --> 00:02:09.400]  在第一季裏面
[00:02:09.400 --> 00:02:11.600]  我們會說到敬拜和個人的關係
[00:02:11.600 --> 00:02:13.200]  在第二季四至六月
[00:02:13.200 --> 00:02:15.600]  我們會說到敬拜和家庭的關係
[00:02:15.600 --> 00:02:19.100]  亦都鼓勵弟兄姊妹去建立家庭崇拜
[00:02:19.100 --> 00:02:20.900]  在七至九月的時候
[00:02:20.900 --> 00:02:23.100]  我們會說到敬拜和教會的更新
[00:02:23.300 --> 00:02:24.900]  在十至十二月的時候
[00:02:24.900 --> 00:02:27.700]  我們會說到敬拜和世界的關係
[00:02:27.700 --> 00:02:30.500]  有弟兄姊妹曾經開玩笑地說
[00:02:30.500 --> 00:02:34.600]  今年這四季的分題裏面
[00:02:34.600 --> 00:02:37.400]  是否就好像收身齊家治國平天下一樣
[00:02:37.400 --> 00:02:39.500]  那裏面無論說到個人
[00:02:39.500 --> 00:02:40.500]  說到群體
[00:02:40.500 --> 00:02:41.500]  說到家庭
[00:02:41.500 --> 00:02:43.200]  說到整個世界裏面
[00:02:43.200 --> 00:02:45.200]  讓我們在裏面一起
[00:02:45.200 --> 00:02:48.300]  去不同的層面裏面學習如何去敬拜
[00:02:48.300 --> 00:02:53.200]  今天選了啟示錄第四第五章
[00:02:53.200 --> 00:02:54.200]  跟大家分享
[00:02:54.200 --> 00:02:56.000]  啟示錄第四第五章
[00:02:56.000 --> 00:02:58.100]  其實當時那群弟兄姊妹
[00:02:58.100 --> 00:03:01.300]  正面對著他們周遭環境很多的逼迫
[00:03:01.300 --> 00:03:03.600]  面對著那種艱難
[00:03:03.600 --> 00:03:05.100]  在啟示錄裏面
[00:03:05.100 --> 00:03:07.800]  就是當那群弟兄姊妹面對著生活那種張力
[00:03:07.800 --> 00:03:09.800]  面對著那種挑戰難處的時候
[00:03:09.800 --> 00:03:12.600]  每個星期他們聚集一起敬拜的時候
[00:03:12.600 --> 00:03:13.900]  他們就能夠重新得力
[00:03:13.900 --> 00:03:17.500]  以致他們能夠繼續有力地面對他們生活那種考驗
[00:03:17.500 --> 00:03:19.500]  當我們看啟示錄的時候
[00:03:19.500 --> 00:03:23.300]  其實早前周佩健傳道也跟我們分享過
[00:03:23.300 --> 00:03:25.900]  往往我們看啟示錄的時候
[00:03:25.900 --> 00:03:29.500]  我們只是看到樹木而看不見樹林
[00:03:29.500 --> 00:03:32.000]  各個不同的人去看啟示錄的時候
[00:03:32.000 --> 00:03:36.000]  其實著眼甚至是很多微觀不同的事情
[00:03:36.000 --> 00:03:41.000]  或者猜裡面一些圖像究竟在說什麼話
[00:03:41.000 --> 00:03:45.600]  有些就是將一些細微的東西咬著不放
[00:03:45.600 --> 00:03:49.400]  以致看到那棵樹就看不到整個樹林在裏面
[00:03:50.500 --> 00:03:52.000]  其實當我們看啟示錄的時候
[00:03:52.000 --> 00:03:54.500]  啟示錄裏面其實很清楚
[00:03:54.500 --> 00:03:58.000]  裏面其實有很多引用舊約聖經
[00:03:58.000 --> 00:04:00.400]  所以當我們看啟示錄的時候
[00:04:00.400 --> 00:04:02.400]  其實我們是否明白啟示錄呢?
[00:04:02.400 --> 00:04:05.900]  其實就不是好像裏面有很多不同的圖像
[00:04:05.900 --> 00:04:06.700]  很多的畫面
[00:04:06.700 --> 00:04:07.900]  很多我們不明白的事情
[00:04:07.900 --> 00:04:08.800]  我們去猜
[00:04:08.800 --> 00:04:10.800]  其實對當時那群讀者來說
[00:04:10.800 --> 00:04:14.100]  因為他們裏面引用了很大量舊用的聖經
[00:04:14.100 --> 00:04:16.900]  所以當一講到很多不同的描述的時候
[00:04:16.900 --> 00:04:19.300]  他們很清楚知道舊約聖經在說什麼
[00:04:20.500 --> 00:04:21.900]  啟示錄第四第五章
[00:04:21.900 --> 00:04:23.800]  其實可以說差不多是一個單元
[00:04:23.800 --> 00:04:25.800]  所以我們看兩章一起去看
[00:04:25.800 --> 00:04:30.500]  第四第五章其實第四章講到這位創造主
[00:04:30.500 --> 00:04:33.300]  第五章講到神就是那位救贖主
[00:04:33.300 --> 00:04:36.700]  所以第四第五章講到我們去敬拜這位創造主
[00:04:36.700 --> 00:04:38.300]  和敬拜這位救贖主
[00:04:38.300 --> 00:04:40.800]  我一起和大家去看看這段經文
[00:04:40.800 --> 00:04:45.000]  「只因我觀看見天上有門開了」
[00:04:45.000 --> 00:04:48.500]  「我初次聽見好像吹號的聲音對我說」
[00:04:48.800 --> 00:04:50.800]  「你想到這裡來」
[00:04:50.800 --> 00:04:53.500]  「我要將以後必成的事指示你」
[00:04:53.500 --> 00:04:55.400]  其實在第一節裏面
[00:04:55.400 --> 00:04:57.400]  其實在呼應第一章第十九節
[00:04:57.400 --> 00:05:00.500]  講到要將將來的事指示給約翰
[00:05:00.500 --> 00:05:02.400]  所以在不同解經家裏面
[00:05:02.400 --> 00:05:03.900]  有很多不同的理解
[00:05:03.900 --> 00:05:05.600]  由第四章到第二十二章
[00:05:05.600 --> 00:05:07.500]  很多時候都有另外一個理解
[00:05:07.500 --> 00:05:09.500]  今天我們時間關係
[00:05:09.500 --> 00:05:11.500]  我們就集中去看第四第五章
[00:05:11.500 --> 00:05:14.400]  我們就不去討論很多學術的研究
