
[00:00:00.000 --> 00:00:02.360]  我們一齊去敬拜上帝
[00:00:02.360 --> 00:00:05.880]  一齊聆聽上帝為我們前來禱告
[00:00:05.880 --> 00:00:10.520]  親愛的主 願主來保守帶領我們
[00:00:10.520 --> 00:00:14.040]  讓我們去聆聽祢的話
[00:00:14.040 --> 00:00:16.080]  跟隨主祢的教訓
[00:00:16.080 --> 00:00:19.280]  亦好好地來回應主祢的道
[00:00:19.280 --> 00:00:20.880]  願主親自帶領
[00:00:20.880 --> 00:00:23.080]  讓我們好好地跟隨祢
[00:00:23.080 --> 00:00:28.320]  以上禱告奉我主耶穌的聖名 阿們
[00:00:28.320 --> 00:00:31.320]  如果大家記得今個年度
[00:00:31.320 --> 00:00:34.400]  我的講道全部都是集字
[00:00:34.400 --> 00:00:38.400]  《不經不覺》已經是第七集了
[00:00:38.400 --> 00:00:41.320]  回顧一下
[00:00:41.320 --> 00:00:43.480]  之前一開始是集會
[00:00:43.480 --> 00:00:50.960]  接著是集信 集大大 集訓 集數 集號
[00:00:50.960 --> 00:00:52.400]  你發覺就這樣看名字
[00:00:52.400 --> 00:00:54.160]  你不知道是講什麼的
[00:00:54.160 --> 00:00:56.120]  但是如果你清楚
[00:00:56.120 --> 00:00:57.760]  「集」字是什麼意思呢
[00:00:57.760 --> 00:01:00.280]  你就會猜多幾成
[00:01:00.280 --> 00:01:04.120]  「集」字是說我們一齊會集
[00:01:04.120 --> 00:01:05.920]  集合所有的人
[00:01:05.920 --> 00:01:09.880]  是要集合冥恩堂的弟兄姊妹
[00:01:09.880 --> 00:01:12.360]  我們一齊要做冥恩人
[00:01:12.360 --> 00:01:14.320]  集合在一起的時間
[00:01:14.320 --> 00:01:16.440]  我們有很多事情要去學習
[00:01:16.440 --> 00:01:18.360]  很多事情要去面對
[00:01:18.360 --> 00:01:21.760]  所以特別在這幾年裡面
[00:01:21.760 --> 00:01:24.560]  生活裡面面對很多的狀況
[00:01:24.560 --> 00:01:27.480]  我覺得冥恩堂我們的弟兄姊妹
[00:01:27.480 --> 00:01:29.680]  冥恩人我們很需要一起的
[00:01:29.680 --> 00:01:34.320]  向著這麼多方向來去學習
[00:01:34.320 --> 00:01:37.480]  今天講「集」字
[00:01:37.480 --> 00:01:43.600]  一個海洋裡面很多的事物在裡面充斥
[00:01:43.600 --> 00:01:47.200]  這個是說我們一齊要去學習
[00:01:47.200 --> 00:01:52.400]  我們在信仰裡面應該有的一些什麼特質
[00:01:52.400 --> 00:01:54.640]  經文裡面是在講
