
[00:00:00.000 --> 00:00:06.000]  今天我打算和大家一起思想一個可能你並不陌生的人物
[00:00:06.000 --> 00:00:08.000]  叫做「彈爾利」
[00:00:08.000 --> 00:00:12.000]  雖然彈爾利書裡面記載了很多超自然的現象
[00:00:12.000 --> 00:00:14.000]  預言啟示
[00:00:14.000 --> 00:00:17.000]  但是他的真實性是不容置疑的
[00:00:17.000 --> 00:00:20.000]  耶穌自己引用彈爾利書的記載
[00:00:20.000 --> 00:00:22.000]  他對他的門徒說
[00:00:22.000 --> 00:00:24.000]  你們看見先知彈爾利所說的
[00:00:24.000 --> 00:00:26.000]  那行毀壞可憎的
[00:00:26.000 --> 00:00:28.000]  站在聖地
[00:00:28.000 --> 00:00:31.000]  這是引用彈爾利書第九章裡面一些的經文
[00:00:31.000 --> 00:00:35.000]  見證了彈爾利是真有其人
[00:00:35.000 --> 00:00:37.000]  真是在歷史上的一個人物
[00:00:37.000 --> 00:00:41.000]  彈爾利書所記載的內容是實有其事
[00:00:41.000 --> 00:00:43.000]  聖經告訴我們
[00:00:43.000 --> 00:00:45.000]  彈爾利是一個猶太人
[00:00:45.000 --> 00:00:48.000]  在猶大王約亞徑第三年
[00:00:48.000 --> 00:00:53.000]  在位第三年就是主前605年的時候
[00:00:53.000 --> 00:00:55.000]  他被擄到巴比律
[00:00:55.000 --> 00:00:58.000]  在那次是第一次的被擄當中
[00:00:58.000 --> 00:01:00.000]  被俘虜的人聖經告訴我們
[00:01:00.000 --> 00:01:03.000]  都是以色列人的忠實貴宙
[00:01:03.000 --> 00:01:06.000]  就是年少沒有殘疾
[00:01:06.000 --> 00:01:08.000]  相貌俊美
[00:01:08.000 --> 00:01:10.000]  通達各樣學問 知識聰明
[00:01:10.000 --> 00:01:15.000]  具備足能士納在皇宮裡的少年才俊
[00:01:15.000 --> 00:01:19.000]  巴比律王善待這一批人裝備他們
[00:01:19.000 --> 00:01:22.000]  是要叫他們將來在王面前士納
[00:01:22.000 --> 00:01:27.000]  彈爾利也的的確確在尼布格尼撒王的政府裡
[00:01:27.000 --> 00:01:29.000]  擔當重要的位分
[00:01:29.000 --> 00:01:33.000]  直到尼布格尼撒的兒子白沙薩做皇帝的時候
[00:01:33.000 --> 00:01:38.000]  他仍然在朝中身處高位
[00:01:38.000 --> 00:01:43.000]  彈爾利雖然生活在一個外邦人的環境裡
[00:01:43.000 --> 00:01:48.000]  可以說是充滿勾心鬥角的政界裡工作
[00:01:48.000 --> 00:01:53.000]  但他始終結身自愛 出於禮而不厭
[00:01:53.000 --> 00:01:56.000]  成為神在外邦人中的見證人
[00:01:56.000 --> 00:02:01.000]  透過他的生命彰顯神的恩典和榮美
[00:02:01.000 --> 00:02:06.000]  今天我想和大家一起去從彈爾利他的政治敵人
[00:02:06.000 --> 00:02:09.000]  從彈爾利所服侍的皇帝
[00:02:09.000 --> 00:02:12.000]  從彈爾利所敬拜的侍奉的神
[00:02:12.000 --> 00:02:14.000]  三個的角度
[00:02:14.000 --> 00:02:19.000]  去解讀彈爾利被扔進獅子坑的遭遇裡
[00:02:19.000 --> 00:02:24.000]  去認識到我們的神是怎麼尊榮祂的宗部
