
[00:00:00.000 --> 00:00:01.920]  OK 等節目早晨
[00:00:01.920 --> 00:00:06.340]  我們會繼續瑪麗亞眼中的聖誕節講道系列
[00:00:06.340 --> 00:00:09.960]  今天講講神奇妙的計劃
[00:00:09.960 --> 00:00:14.500]  在這一節的講道當中跟大家分享基本上兩點
[00:00:14.500 --> 00:00:16.500]  第一點就是講講神的計劃
[00:00:16.500 --> 00:00:19.500]  第二點是講講瑪麗亞對神這個計劃
[00:00:19.500 --> 00:00:21.500]  一些回應
[00:00:21.500 --> 00:00:23.500]  OK 第一個就是
[00:00:23.500 --> 00:00:25.800]  神邀請我們參與祂的計劃
[00:00:25.800 --> 00:00:28.300]  在路加福音一章二十六節說
[00:00:28.300 --> 00:00:30.300]  到了第六個月
[00:00:30.300 --> 00:00:32.300]  天使加伯列奉神差遣
[00:00:32.300 --> 00:00:36.300]  王伽利利一個名叫拿撒勒的城鎮去
[00:00:36.300 --> 00:00:38.300]  到了一個童女那裏
[00:00:38.300 --> 00:00:40.300]  她已經許配給大衛家族
[00:00:40.300 --> 00:00:44.300]  一個名叫約瑟的男子
[00:00:44.300 --> 00:00:46.300]  童女的名字叫瑪麗亞
[00:00:46.300 --> 00:00:48.300]  天使進去對她說
[00:00:48.300 --> 00:00:50.300]  蒙大恩的女子 你好
[00:00:50.300 --> 00:00:52.300]  主與你同在
[00:00:52.300 --> 00:00:55.300]  她卻因這話驚慌失措
[00:00:55.300 --> 00:00:58.300]  反覆思索者問候時什麼意思
[00:00:58.300 --> 00:01:00.300]  天使說 瑪麗亞不要害怕
[00:01:00.300 --> 00:01:02.300]  因為你已經在神
[00:01:02.300 --> 00:01:05.300]  那裏蒙恩鳥
[00:01:05.300 --> 00:01:09.300]  神其實不需要我們都可以做很多事情
[00:01:09.300 --> 00:01:11.300]  不過神就選擇了
[00:01:11.300 --> 00:01:13.300]  做事的時候有一個計劃
[00:01:13.300 --> 00:01:16.300]  邀請我們參與這個計劃
[00:01:16.300 --> 00:01:20.300]  我們的人生也是因為參與
[00:01:20.300 --> 00:01:22.300]  而得到一個轉化
[00:01:22.300 --> 00:01:25.300]  生命變得更加的豐盛
[00:01:25.300 --> 00:01:27.300]  在聖誕節的時候
[00:01:27.300 --> 00:01:28.300]  我們很感恩的就是
[00:01:28.300 --> 00:01:31.300]  凡是謙卑或者很卑微的人
[00:01:31.300 --> 00:01:33.300]  都是一個福氣來的
[00:01:33.300 --> 00:01:34.300]  因為神的計劃
[00:01:34.300 --> 00:01:37.300]  往往臨到一些很卑微的人
[00:01:37.300 --> 00:01:40.300]  在神其中一個很大的計劃就是
[00:01:40.300 --> 00:01:42.300]  主的所謂降生
[00:01:42.300 --> 00:01:45.300]  他是選擇了簡選瑪麗亞
[00:01:45.300 --> 00:01:48.300]  一個非常卑微的女子
[00:01:48.300 --> 00:01:51.300]  生活在一座城叫拿撒勒
[00:01:51.300 --> 00:01:53.300]  是以色列一座非常小的城
[00:01:53.300 --> 00:01:55.300]  真的很小
[00:01:55.300 --> 00:01:59.300]  就好像我前一陣子去德國探訪宣教時
[00:01:59.300 --> 00:02:01.300]  去的城市叫做比利佛
[00:02:01.300 --> 00:02:03.300]  很小的城市
[00:02:03.300 --> 00:02:06.300]  小到連德國人都沒有聽過有這座城
[00:02:06.300 --> 00:02:09.300]  所以他選擇了一個很小的城
[00:02:09.300 --> 00:02:13.300]  一個非常卑微的女子
[00:02:13.300 --> 00:02:17.300]  來讓這個計劃讓她參與
[00:02:17.300 --> 00:02:19.300]  神也是選擇了一些很卑微的人
[00:02:19.300 --> 00:02:21.300]  因為保羅說得很清楚
[00:02:21.300 --> 00:02:24.300]  神所揀選的都是世人體相很愚蠢的人
[00:02:24.300 --> 00:02:26.300]  不是一些很厲害的人
[00:02:26.300 --> 00:02:28.300]  所以如果你覺得
[00:02:28.300 --> 00:02:30.300]  我自己普普通通很卑微
[00:02:30.300 --> 00:02:32.300]  就感恩這個Good News
[00:02:32.300 --> 00:02:35.300]  神喜歡揀選一些很卑微的人
