
[00:00:00.000 --> 00:00:02.000]  (主席)好,大英智慧,早晨
[00:00:02.000 --> 00:00:09.000]  好,感謝主,今天是第一次在這個堂的崇拜裡面和大家見面
[00:00:09.000 --> 00:00:13.000]  今天的題目,「你還愛我嗎?」
[00:00:13.000 --> 00:00:16.000]  這個「你」字是「神」字邊的「你」
[00:00:16.000 --> 00:00:19.000]  所以我們正在問神
[00:00:19.000 --> 00:00:24.000]  但是一般人在什麼情況之下會問神,你是不是還愛我呢?
[00:00:24.000 --> 00:00:28.000]  第一可能就是你首先對神有些認識
[00:00:28.000 --> 00:00:32.000]  或者可能這個問題不知道會不會是基督徒問多
[00:00:32.000 --> 00:00:37.000]  因為當你相信耶穌那一刻開始
[00:00:37.000 --> 00:00:40.000]  或者當你當日聽到福音
[00:00:40.000 --> 00:00:45.000]  當你願意說,主啊,我願意相信接受你做我的救主的時候
[00:00:45.000 --> 00:00:48.000]  你心裡面很感動,被神的愛來觸動你
[00:00:48.000 --> 00:00:53.000]  你願意相信,但是你心裡面有沒有想過一些情況
[00:00:53.000 --> 00:00:56.000]  因為聽過很多的見證
[00:00:56.000 --> 00:00:59.000]  可能生命裡面有些困難
[00:00:59.000 --> 00:01:02.000]  然後相信了耶穌之後,那些困難就沒有了
[00:01:02.000 --> 00:01:06.000]  聽到這個,聽到那個,全部困難都沒有
[00:01:06.000 --> 00:01:12.000]  有一個人患了絕症,相信耶穌之後癌症都不見了
[00:01:12.000 --> 00:01:15.000]  聽多兩次,你信不信?
[00:01:15.000 --> 00:01:20.000]  不信都不行,這麼好的,相信耶穌,什麼事都沒有
[00:01:20.000 --> 00:01:24.000]  我記得大概30年前左右,剛剛出來侍奉
[00:01:24.000 --> 00:01:28.000]  我在荃灣侍奉初期
[00:01:28.000 --> 00:01:31.000]  都是在仁濟醫院有些人幫忙
[00:01:31.000 --> 00:01:34.000]  有時候有些院目打電話來
[00:01:34.000 --> 00:01:38.000]  有些病人需要洗禮,就會叫我們幫忙
[00:01:38.000 --> 00:01:44.000]  通常洗完禮之後,我就會用教會程序表去刊登一下
[00:01:44.000 --> 00:01:47.000]  幾時幾日ABC就信了主
[00:01:47.000 --> 00:01:50.000]  為他洗禮,請大家繼續為他禱告
[00:01:50.000 --> 00:01:54.000]  或者過多兩星期又會出多一個報告
[00:01:54.000 --> 00:01:58.000]  幾時幾日ABC已經安息主懷了
[00:01:58.000 --> 00:02:00.000]  大家為家人禱告
[00:02:00.000 --> 00:02:05.000]  那時候有一次大概是七八月的時候
[00:02:05.000 --> 00:02:08.000]  有一個小姊妹就來找我
[00:02:08.000 --> 00:02:13.000]  牧師你覺不覺得近來你不是很好
[00:02:13.000 --> 00:02:16.000]  等會你有沒有跟牧師說
