
[00:00:00.000 --> 00:00:05.200]  好 《使徒行傳》的第24章
[00:00:05.200 --> 00:00:07.820]  好 那我們一起祈禱了 好嗎?
[00:00:07.820 --> 00:00:08.820]  好 我們一起祈禱
[00:00:08.820 --> 00:00:10.140]  我們低頭禱告
[00:00:10.140 --> 00:00:12.600]  天父 多謝祢給我們能夠再次回來
[00:00:12.600 --> 00:00:14.600]  一同的仰望在祢面前
[00:00:14.600 --> 00:00:17.600]  天父 感謝祢讓我們可以一同前來
[00:00:17.600 --> 00:00:19.600]  在祢的根前仰望
[00:00:19.600 --> 00:00:22.560]  求祢帶領我們每一個弟兄姊妹
[00:00:22.560 --> 00:00:25.200]  求祢帶領我們每一個兄弟姐妹
[00:00:25.200 --> 00:00:27.200]  隨著祢的聖靈引導我們
[00:00:27.200 --> 00:00:29.800]  隨著祢的聖靈引導我們
[00:00:29.800 --> 00:00:32.500]  使得我們都能夠明白主祢的道
[00:00:32.500 --> 00:00:34.800]  使我們能夠明白主您的道
[00:00:34.800 --> 00:00:36.800]  直奔永恆的道路
[00:00:36.800 --> 00:00:38.500]  直奔永恆的道路
[00:00:38.500 --> 00:00:40.000]  我們同心的禱告
[00:00:40.000 --> 00:00:42.000]  奉靠主耶穌基督得勝的名字
[00:00:42.000 --> 00:00:44.000]  以及我們同心禱告
[00:00:44.000 --> 00:00:46.000]  奉靠主耶穌基督的名求
[00:00:46.000 --> 00:00:48.000]  阿門
[00:00:48.000 --> 00:00:50.000]  阿彪坐在那裡
[00:00:50.000 --> 00:00:52.000]  阿忠要錄影了
[00:00:52.000 --> 00:00:55.000]  好 那我們上個禮拜
[00:00:55.000 --> 00:00:57.000]  我們已經開始講了
[00:00:57.000 --> 00:01:00.500]  有關於一些間接的信仰攻擊
[00:01:00.500 --> 00:01:04.000]  我們上週聊到了一些間接的信仰攻擊
[00:01:04.000 --> 00:01:07.500]  我們只是看了一點點的背景
[00:01:07.500 --> 00:01:11.000]  我們只是涉及到一些小小的背景
[00:01:11.000 --> 00:01:12.500]  我們看到一個人物
[00:01:12.500 --> 00:01:14.000]  我們看到一個人物
[00:01:14.000 --> 00:01:15.500]  他的名字叫做肥力斯
[00:01:15.500 --> 00:01:17.500]  他的名字叫做肥力斯
[00:01:17.500 --> 00:01:19.500]  他們兩夫婦
[00:01:19.500 --> 00:01:21.000]  他們夫婦倆
[00:01:21.000 --> 00:01:23.000]  他們的背景很複雜
[00:01:23.000 --> 00:01:24.500]  背景相當的複雜
[00:01:24.500 --> 00:01:28.000]  因為他們利用了很多婚姻的關係
[00:01:28.000 --> 00:01:30.000]  因為他們利用了很多婚姻的關係
[00:01:30.000 --> 00:01:32.500]  來達到他們在這個世界
[00:01:32.500 --> 00:01:34.500]  謀取利益的手段
[00:01:34.500 --> 00:01:36.500]  來達到他們在這個世界
