
[00:00:00.000 --> 00:00:02.560]  當時發生了什麼事呢?就是太平洋戰爭
[00:00:02.560 --> 00:00:08.700]  日本偷襲珍珠港成功,當時美國的海軍遭受重創
[00:00:08.700 --> 00:00:14.600]  但日軍是很無盡的,幾個月之後再發動中途島戰役
[00:00:14.600 --> 00:00:21.000]  這場仗目的就是想徹底摧毀美軍的航空母艦的實力
[00:00:21.000 --> 00:00:27.400]  雖然,然後艦隊的上將山本五十六這次的周詳部署
[00:00:27.400 --> 00:00:29.700]  似乎是天衣無縫
[00:00:30.460 --> 00:00:33.540]  但美軍早有準備,結果很奇怪
[00:00:33.540 --> 00:00:39.940]  日本以絕對的軍事優勢,竟然輸得一敗塗地
[00:00:39.940 --> 00:00:43.000]  軍事形勢完全逆轉
[00:00:43.000 --> 00:00:49.920]  就是在整個二次大戰當中,這場仗扭轉了整個戰局
[00:00:49.920 --> 00:00:56.060]  當時日本的海軍中將
[00:00:59.380 --> 00:01:03.020]  大西商智囊想出一個絕對反擊的策略
[00:01:03.020 --> 00:01:09.880]  就是利用武士道精神發動刺殺式襲擊
[00:01:09.880 --> 00:01:16.900]  方法是用裝滿炸藥和燃油的戰機撞向美國的軍艦
[00:01:16.900 --> 00:01:18.720]  特別是航空母艦
[00:01:18.720 --> 00:01:22.460]  我想大家可能有聽過"神風特攻隊"
[00:01:24.400 --> 00:01:30.140]  其實,這次所謂的"刺殺式戰術"
[00:01:30.140 --> 00:01:35.440]  首先需要說服一些飛行員
[00:01:35.440 --> 00:01:37.580]  要去送死
[00:01:37.580 --> 00:01:41.980]  第一隊的隊員大部分都是年輕人
[00:01:41.980 --> 00:01:47.040]  他們本身有些是軍國主義的狂熱分子
[00:01:47.040 --> 00:01:50.600]  這些人本身是好戰的
[00:01:50.700 --> 00:01:54.960]  很容易就會相信他們是爲天皇的榮耀
[00:01:54.960 --> 00:01:57.480]  爲了神的榮耀
[00:01:57.480 --> 00:02:00.100]  爲了家人的榮耀而犧牲
[00:02:00.100 --> 00:02:04.320]  但當中也有更多的隊員
[00:02:04.320 --> 00:02:08.700]  純粹是因爲被逼服從上級的命令
[00:02:08.700 --> 00:02:11.820]  我們知道日本人服從性很高
[00:02:11.820 --> 00:02:15.480]  再加上神道教的信念裏面
[00:02:15.480 --> 00:02:20.380]  當一個人很悲慘地死去的話
[00:02:20.700 --> 00:02:24.980]  慘死人的冤魂就會對人間造成傷害
[00:02:24.980 --> 00:02:28.980]  所以他們爲了安撫這些亡靈的時候
[00:02:28.980 --> 00:02:32.220]  神道教就會供奉這些人
[00:02:32.220 --> 00:02:38.740]  日本軍方就向神風特攻隊灌輸了一個思想
[00:02:38.740 --> 00:02:41.640]  天皇就是神的化身
[00:02:41.640 --> 00:02:44.360]  他們要效忠天皇
[00:02:44.360 --> 00:02:48.120]  他們爲天皇犧牲就會成爲神
[00:02:48.800 --> 00:02:50.900]  無論是什麼原因
[00:02:50.900 --> 00:02:57.920]  軍方的說法就是所有的特擊隊員都是自願犧牲
[00:02:57.920 --> 00:03:00.740]  所以在執行任務之前
[00:03:00.740 --> 00:03:03.100]  他們要在長官面前用一杯
[00:03:03.100 --> 00:03:05.060]  決別的酒
