
[00:00:00.000 --> 00:00:04.000]  我們光當照在人前
[00:00:04.000 --> 00:00:06.000]  但前面一句說話就是
[00:00:06.000 --> 00:00:08.000]  我們是世上的炎
[00:00:08.000 --> 00:00:13.000]  因為兩者有密切的關係
[00:00:13.000 --> 00:00:17.000]  所以就要一齊的來帶去思想
[00:00:17.000 --> 00:00:19.000]  所以我們就應該一同來思想
[00:00:19.000 --> 00:00:20.000]  那也想簡單一點
[00:00:20.000 --> 00:00:22.000]  我們的題目就叫炎與光
[00:00:22.000 --> 00:00:23.000]  那簡單一點
[00:00:23.000 --> 00:00:25.000]  所以我們的題目叫炎與光
[00:00:25.000 --> 00:00:28.000]  我們先來帶去讀這一段的經文
[00:00:28.000 --> 00:00:35.000]  我們一齊來帶去讀馬太福音第五章十三到十六節
[00:00:35.000 --> 00:00:38.000]  我們一起來讀馬太福音第五章十三到十六節
[00:00:38.000 --> 00:01:07.000]  你們是世上的炎,炎若是了胃
[00:01:07.000 --> 00:01:20.000]  我們這段經文對基督徒來說是非常熟悉
[00:01:20.000 --> 00:01:22.000]  但往往越熟悉的經文
[00:01:22.000 --> 00:01:27.000]  有時候我們就會忽略了當中的意義
[00:01:27.000 --> 00:01:32.000]  我們要了解炎是有什麼作用
[00:01:32.000 --> 00:01:37.000]  炎最基本就是調味和防腐
[00:01:37.000 --> 00:01:39.000]  現在在這個世代裡面
[00:01:39.000 --> 00:01:40.000]  只是用來調味
[00:01:40.000 --> 00:01:42.000]  但在這個世代當中我們只用來調味
[00:01:42.000 --> 00:01:44.000]  就不會用來防腐
[00:01:44.000 --> 00:01:45.000]  卻不用來防腐
[00:01:45.000 --> 00:01:47.000]  但在耶穌的年代
[00:01:47.000 --> 00:01:49.000]  最重要其實是用來防腐
[00:01:49.000 --> 00:01:52.000]  但在耶穌的年代最重要的作用是用來防腐
[00:01:52.000 --> 00:01:56.000]  而光的本質就是向外發展的
[00:01:56.000 --> 00:01:58.000]  而光的本質就是向外發展的
[00:01:58.000 --> 00:02:00.000]  所以兩者是很重要
[00:02:00.000 --> 00:02:01.000]  所以兩者是很重要
[00:02:01.000 --> 00:02:02.000]  一個是被動
[00:02:02.000 --> 00:02:03.000]  一個是被動
[00:02:03.000 --> 00:02:04.000]  一個是主動
[00:02:04.000 --> 00:02:05.000]  一個是主動
[00:02:05.000 --> 00:02:07.000]  聖經永遠都是這樣提醒我們
[00:02:07.000 --> 00:02:09.000]  聖經永遠都是這麼提醒我們
[00:02:09.000 --> 00:02:11.000]  你要逃避少年人的私慾
[00:02:11.000 --> 00:02:13.000]  你要逃避少年人的私慾
[00:02:13.000 --> 00:02:14.000]  但不只是逃避
[00:02:14.000 --> 00:02:15.000]  但不只是逃避
[00:02:15.000 --> 00:02:16.000]  後面那句是什麼
[00:02:16.000 --> 00:02:17.000]  後面那句是什麼
