
[00:00:00.000 --> 00:00:03.320]  映照會平安已經進入十二月了
[00:00:03.320 --> 00:00:06.520]  我不知道是不是你被很多聖誕的佈置
[00:00:06.520 --> 00:00:09.500]  聖誕的節目所吸引
[00:00:09.500 --> 00:00:12.280]  所以你都分散了你的注意力
[00:00:12.280 --> 00:00:14.240]  你沒有留心關心
[00:00:14.240 --> 00:00:19.600]  到底我和主耶穌建立是否一個很密切的關係
[00:00:19.600 --> 00:00:22.200]  你沒有藉着聖誕節的期間
[00:00:22.200 --> 00:00:26.280]  來思想到底你和耶穌之間
[00:00:26.280 --> 00:00:28.800]  是否時時都保持這麼緊密
[00:00:28.800 --> 00:00:32.600]  你愛主的心是否不斷的加添
[00:00:32.600 --> 00:00:35.560]  還是是漸漸冷淡
[00:00:35.560 --> 00:00:38.720]  今天我要講一個很重要的題目
[00:00:38.720 --> 00:00:40.840]  就是耶穌回來之前
[00:00:40.840 --> 00:00:44.520]  到底有什麼預兆呢?
[00:00:44.520 --> 00:00:46.080]  大家都知道
[00:00:46.080 --> 00:00:49.320]  在《馬太福音》二十四、二十五章
[00:00:49.320 --> 00:00:53.600]  有很出名的"監覽山"的語言
[00:00:53.600 --> 00:00:55.280]  我想如果你作爲基督徒
[00:00:55.280 --> 00:00:56.960]  你對這兩張聖經
[00:00:56.960 --> 00:00:59.040]  可能你說我聽過很多次了
[00:00:59.040 --> 00:01:00.400]  我都很熟
[00:01:00.400 --> 00:01:03.000]  但是我很想特別提醒你
[00:01:03.000 --> 00:01:05.680]  現在這個時代
[00:01:05.680 --> 00:01:08.160]  今天這個世代
[00:01:08.160 --> 00:01:10.800]  已經截然不同
[00:01:10.800 --> 00:01:13.560]  你不單止聽見打仗的風聲
[00:01:13.560 --> 00:01:16.800]  而且打仗是打得很緊張
[00:01:16.800 --> 00:01:19.720]  而且很多的跡象
[00:01:19.720 --> 00:01:22.280]  都和聖經裏面的語言
[00:01:22.280 --> 00:01:26.040]  是一個一個的應驗
[00:01:26.040 --> 00:01:29.480]  所以今天我要用《馬太福音》二十四章
[00:01:29.480 --> 00:01:33.000]  和你提出有九個
[00:01:33.000 --> 00:01:36.640]  你必須要睜開眼睛
[00:01:36.640 --> 00:01:39.360]  大大的來看看
[00:01:39.360 --> 00:01:44.120]  到底是不是和耶穌所講的語言是吻合的
[00:01:44.120 --> 00:01:45.960]  如果是的話
[00:01:45.960 --> 00:01:48.480]  你要更加的警醒
[00:01:48.480 --> 00:01:50.520]  因爲耶穌回來的日子
[00:01:50.520 --> 00:01:53.040]  實在是很近很近了
[00:01:53.040 --> 00:01:55.200]  第一個的預兆
[00:01:55.200 --> 00:01:57.600]  就是很多信徒
[00:01:57.600 --> 00:02:02.760]  愛主的心是逐漸冷淡
[00:02:02.760 --> 00:02:04.560]  我作爲一個牧師
[00:02:04.560 --> 00:02:07.320]  我很能夠證明這一點
[00:02:07.320 --> 00:02:09.040]  今天這個世界
[00:02:09.040 --> 00:02:10.720]  很多基督徒
[00:02:10.720 --> 00:02:13.240]  根本沒有愛耶穌的心
[00:02:13.240 --> 00:02:14.680]  只有外表而已
[00:02:14.680 --> 00:02:17.120]  我星期天有上禮拜堂
[00:02:17.120 --> 00:02:19.120]  我有參與侍奉
[00:02:19.120 --> 00:02:21.160]  我有奉獻
[00:02:21.160 --> 00:02:23.600]  我有什麼什麼
[00:02:23.600 --> 00:02:27.320]  但你問下自己的心
[00:02:27.320 --> 00:02:30.640]  到底對耶穌那份的愛
[00:02:30.640 --> 00:02:32.640]  是淡了呢?
[00:02:32.640 --> 00:02:36.040]  還是濃烈了呢?
[00:02:36.040 --> 00:02:38.160]  如果你不要騙我
[00:02:38.160 --> 00:02:40.160]  你也不要騙神
[00:02:40.160 --> 00:02:42.960]  你苦心自問
[00:02:42.960 --> 00:02:48.120]  我愛耶穌到底有多少?
[00:02:48.120 --> 00:02:50.520]  聖經講得很清楚
[00:02:50.520 --> 00:02:52.400]  在末世的時候
[00:02:52.400 --> 00:02:58.760]  愛主的心才漸漸冷淡
[00:02:58.760 --> 00:03:04.240]  那個冷淡是漸漸漸漸凍了下來
[00:03:04.240 --> 00:03:07.320]  記得耶穌在啓示錄七封信裏面
[00:03:07.320 --> 00:03:09.560]  責備老底家的教會
[00:03:09.560 --> 00:03:12.000]  你不冷不熱
