
[00:00:00.000 --> 00:00:04.720]  今日我們講到「教會入世而不屬世」
[00:00:04.720 --> 00:00:09.660]  我們就看看《哥羅西書》第四章
[00:00:09.660 --> 00:00:11.560]  我們一起讀一節聖經好嗎?
[00:00:11.560 --> 00:00:13.520]  第四章五至六節
[00:00:13.520 --> 00:00:15.520]  我們開聲讀神的話語
[00:00:30.200 --> 00:00:32.200]  教會入世而不屬世
[00:00:32.200 --> 00:00:34.120]  OK 回答各位就可以了
[00:00:34.120 --> 00:00:36.120]  我們一起先低頭祈禱
[00:00:36.120 --> 00:00:39.600]  因主我們將這段時間恭敬仰望祢
[00:00:39.600 --> 00:00:42.200]  藉著我們聽祢的話語的時候
[00:00:42.200 --> 00:00:44.200]  我們來到去敬拜祢
[00:00:44.200 --> 00:00:47.520]  主祈求祢用祢的話語觸摸我們的心
[00:00:47.520 --> 00:00:49.280]  讓我們知道祢的話語的時候
[00:00:49.280 --> 00:00:51.680]  我們曉得怎樣更加愛祢
[00:00:51.680 --> 00:00:53.480]  特別將教會
[00:00:53.480 --> 00:00:56.400]  不單止會點教會交在主的手當中
[00:00:56.400 --> 00:00:58.800]  更加在灣區的很多教會
[00:00:58.800 --> 00:01:01.400]  灣區很多中國華人的教會
[00:01:01.400 --> 00:01:03.000]  我們帶到主的面前
[00:01:03.000 --> 00:01:04.840]  求主幫助每一個教會
[00:01:04.840 --> 00:01:08.440]  成為一個入世而不屬世的教會
[00:01:08.440 --> 00:01:11.240]  是一個能夠影響社群的教會
[00:01:11.240 --> 00:01:14.920]  主幫助我們信徒能夠造炎造光
[00:01:14.920 --> 00:01:16.400]  發揮這種功用
[00:01:16.400 --> 00:01:18.280]  改變這個世界
[00:01:18.280 --> 00:01:23.000]  主我們知道在我們的生命當中有很大的使命
[00:01:23.000 --> 00:01:25.000]  所以求祢特別的幫助我們
[00:01:25.000 --> 00:01:26.080]  我們這樣祈禱
[00:01:26.080 --> 00:01:28.840]  教託奉耶穌命求,阿門
[00:01:56.080 --> 00:01:58.600]  在一個會所
[00:01:58.600 --> 00:02:00.120]  一個Club
[00:02:00.120 --> 00:02:02.320]  自己圍圍餵我們
[00:02:02.320 --> 00:02:03.320]  廣東話很特別
[00:02:03.320 --> 00:02:04.000]  圍圍餵
[00:02:04.000 --> 00:02:05.440]  不知道為什麼
[00:02:05.440 --> 00:02:07.120]  我們自己搞定自己
[00:02:07.120 --> 00:02:09.280]  我們跟世界沒有什麼關係
[00:02:09.280 --> 00:02:10.840]  這樣我們發覺
[00:02:10.840 --> 00:02:14.280]  這個教會一定是一個慢慢死的教會
[00:02:14.280 --> 00:02:16.200]  其實教會不進步
[00:02:16.200 --> 00:02:18.320]  教會不能夠影響世界
[00:02:18.320 --> 00:02:20.240]  就是被世界影響的
[00:02:20.240 --> 00:02:23.280]  教會慢慢會死的
[00:02:23.280 --> 00:02:26.320]  所以我今天跟大家講三個化字
[00:02:26.320 --> 00:02:28.800]  其實這個化字是道家思想
[00:02:28.800 --> 00:02:30.800]  我們說你都不化的
[00:02:30.800 --> 00:02:32.920]  其實已經化了
[00:02:32.920 --> 00:02:35.560]  這些是中國人很特別的話語
[00:02:35.560 --> 00:02:36.560]  不過呢
[00:02:36.560 --> 00:02:39.480]  世界是想整化教會的
[00:02:39.480 --> 00:02:41.200]  第一就是淡化我們
[00:02:41.200 --> 00:02:43.200]  福音的使命淡化了
[00:02:43.200 --> 00:02:45.080]  失去了愛心
[00:02:45.080 --> 00:02:49.280]  福音的使命慢慢好像沒有一個熱誠在裡面
[00:02:49.280 --> 00:02:51.360]  好像教會沒有一個目標
[00:02:51.360 --> 00:02:52.560]  沒有一個方向
[00:02:52.560 --> 00:02:54.400]  教會淡化了
[00:02:54.400 --> 00:02:55.480]  在馬達福音說
[00:02:55.480 --> 00:02:57.480]  只因不法的事增多
[00:02:57.480 --> 00:03:01.360]  許多人的愛心漸漸冷淡了
[00:03:01.360 --> 00:03:03.920]  唯有忍耐到底必然得救
[00:03:03.920 --> 00:03:05.280]  這個話就講到
[00:03:05.280 --> 00:03:06.360]  很多事
[00:03:06.360 --> 00:03:08.400]  我們看到世界overwhelm我們
[00:03:08.400 --> 00:03:09.800]  就是很多不法的事
[00:03:09.800 --> 00:03:11.920]  很多不好的事發生
[00:03:11.920 --> 00:03:14.120]  所以我們發覺我們愛心
[00:03:14.120 --> 00:03:15.760]  我們愛神的心
[00:03:15.760 --> 00:03:17.040]  愛人的心
[00:03:17.040 --> 00:03:18.080]  都淡了
[00:03:18.080 --> 00:03:19.000]  都沒什麼用
[00:03:19.000 --> 00:03:20.800]  心淡了
[00:03:20.800 --> 00:03:21.360]  是不是?
[00:03:21.960 --> 00:03:25.040]  我看到有些父母對子女心淡了
[00:03:25.040 --> 00:03:27.200]  子女養大了他
[00:03:27.200 --> 00:03:28.240]  又無有益了
[00:03:28.240 --> 00:03:30.240]  突然間他也不回來了
[00:03:30.240 --> 00:03:31.480]  心淡了
[00:03:31.480 --> 00:03:33.360]  我們看到很多事
[00:03:33.360 --> 00:03:34.960]  激起了我們的愛心
[00:03:34.960 --> 00:03:37.000]  覺得好像浪費了氣力
[00:03:37.000 --> 00:03:39.000]  究竟我們的生命裡面
[00:03:39.000 --> 00:03:40.080]  應該是怎麼樣呢?
[00:03:40.080 --> 00:03:41.560]  我們看到很多不法的事
[00:03:41.560 --> 00:03:43.040]  所以唯有忍耐到底
[00:03:43.040 --> 00:03:44.440]  忍耐到底的意思就是
[00:03:44.440 --> 00:03:45.480]  繼續
[00:03:45.480 --> 00:03:47.440]  我們的愛主的心
[00:03:47.440 --> 00:03:48.480]  忍下去
[00:03:48.480 --> 00:03:49.920]  我們繼續要愛主
[00:03:49.920 --> 00:03:51.000]  繼續要愛主
[00:03:51.000 --> 00:03:53.280]  繼續要關心人的靈魂
[00:03:53.280 --> 00:03:56.720]  這天國的福音要傳遍天下
