
[00:00:00.000 --> 00:00:02.960]  今天繼續和大家思想到《羅馬書》第七十講
[00:00:02.960 --> 00:00:04.800]  不可叛倒人
[00:00:04.800 --> 00:00:07.560]  《羅馬書》裡面特別強調到第十四十五章
[00:00:07.560 --> 00:00:08.640]  關於人際關係
[00:00:08.640 --> 00:00:10.640]  有時應用在家庭、社會
[00:00:10.640 --> 00:00:12.360]  特別是在教會的生命裡面
[00:00:12.360 --> 00:00:14.360]  有時在人際相處裡面
[00:00:14.360 --> 00:00:17.520]  有時用口傷人是其中一個大的問題
[00:00:17.520 --> 00:00:20.600]  我們有論斷、有輕視、有藐視的問題
[00:00:20.600 --> 00:00:22.080]  今天經文提醒我們
[00:00:22.080 --> 00:00:23.880]  我們每人一言一行
[00:00:23.880 --> 00:00:25.880]  都在神面前要交仗
[00:00:25.880 --> 00:00:27.960]  我們要不要因為小事
[00:00:27.960 --> 00:00:29.800]  傷害我們的弟兄姊妹
[00:00:29.800 --> 00:00:32.440]  傷害神家裡面的親友
[00:00:32.440 --> 00:00:33.560]  我們在家庭裡面
[00:00:33.560 --> 00:00:34.760]  都不會因為小事
[00:00:34.760 --> 00:00:36.520]  傷害彼此的感情
[00:00:36.520 --> 00:00:39.600]  我們珍惜對方是我們的親人
[00:00:39.600 --> 00:00:40.640]  我們看今天經文
[00:00:40.640 --> 00:00:43.280]  在《羅馬書》第十四章十到十五節
[00:00:43.280 --> 00:00:44.800]  六節經文一起讀
[00:01:00.400 --> 00:01:02.600]  「密室必向我跪拜
[00:01:02.600 --> 00:01:05.000]  密口必向我承認
[00:01:05.000 --> 00:01:06.200]  這樣看來
[00:01:06.200 --> 00:01:08.960]  我們各人必要將自己的事
[00:01:08.960 --> 00:01:11.240]  在神面前說明
[00:01:11.240 --> 00:01:14.560]  所以我們不可再彼此論斷
[00:01:14.560 --> 00:01:17.120]  寧可定義誰也不給弟兄
[00:01:17.120 --> 00:01:19.960]  放下半腳跌人之物
[00:01:19.960 --> 00:01:23.120]  我憑著主耶穌確知心信
[00:01:23.120 --> 00:01:25.960]  凡物本來沒有不潔淨的
[00:01:25.960 --> 00:01:28.440]  唯獨人以為不潔淨的
[00:01:28.440 --> 00:01:30.840]  在他就不潔淨了
[00:01:30.840 --> 00:01:33.760]  你若因食物叫弟兄憂愁
[00:01:33.760 --> 00:01:36.920]  就不要按照愛人的道理行
[00:01:36.920 --> 00:01:39.040]  基督已經替他死
[00:01:39.040 --> 00:01:43.000]  你不可因你的食物叫他敗壞」
