
[00:00:00.000 --> 00:00:03.080]  我手上這張小玩意是甚麼來的呢
[00:00:03.080 --> 00:00:05.000]  我想有些你都會知道
[00:00:05.000 --> 00:00:07.000]  這是一個天使仔
[00:00:07.000 --> 00:00:09.000]  但下面有五粒
[00:00:09.000 --> 00:00:11.000]  差點摔爛了
[00:00:11.000 --> 00:00:13.000]  有五粒有顏色的珠仔
[00:00:13.000 --> 00:00:17.000]  這一隻是一個十字架
[00:00:17.000 --> 00:00:20.000]  也是有五粒有顏色的珠仔
[00:00:20.000 --> 00:00:24.000]  這個是一抽提子
[00:00:24.000 --> 00:00:28.000]  是用五種顏色的珠仔去製成的
[00:00:28.000 --> 00:00:30.000]  還有這個呢
[00:00:30.000 --> 00:00:34.000]  這個很漂亮
[00:00:34.000 --> 00:00:36.000]  是一隻蝴蝶
[00:00:36.000 --> 00:00:38.000]  是一隻蝴蝶
[00:00:38.000 --> 00:00:41.000]  也是有五種顏色的珠仔
[00:00:41.000 --> 00:00:45.000]  今天和大家所分享的呢
[00:00:45.000 --> 00:00:49.000]  叫做五色福音
[00:00:49.000 --> 00:00:55.000]  我相信大部份弟兄姊妹都見過這些小小的飾物
[00:00:55.000 --> 00:00:58.000]  有誰是見過的舉一舉手
[00:00:58.000 --> 00:01:00.000]  我們教會很多人都見過
[00:01:00.000 --> 00:01:03.000]  有誰是未見過的又舉一舉手
[00:01:03.000 --> 00:01:05.000]  未見過的
[00:01:05.000 --> 00:01:07.000]  你都未見過
[00:01:07.000 --> 00:01:09.000]  一會兒送一條給你
[00:01:09.000 --> 00:01:11.000]  他又好
[00:01:11.000 --> 00:01:13.000]  但那些都不是我的
[00:01:13.000 --> 00:01:15.000]  不要緊 借花送給你
[00:01:15.000 --> 00:01:20.000]  這次我們教會一行23人去了柬埔寨
[00:01:20.000 --> 00:01:22.000]  是短宣
[00:01:22.000 --> 00:01:24.000]  這次我也有去參與
[00:01:24.000 --> 00:01:26.000]  17日去
[00:01:26.000 --> 00:01:28.000]  23日回8月
[00:01:28.000 --> 00:01:30.000]  其中一件事
[00:01:30.000 --> 00:01:32.000]  我們去到那裡
[00:01:32.000 --> 00:01:34.000]  這次很厲害
[00:01:34.000 --> 00:01:37.000]  有一些聚會有二百幾十
[00:01:37.000 --> 00:01:39.000]  有說二百一十
[00:01:39.000 --> 00:01:41.000]  有說二百五十
[00:01:41.000 --> 00:01:43.000]  我估計是二百四十幾的小朋友
[00:01:43.000 --> 00:01:47.000]  來參加我們為他們預備的聚會
[00:01:47.000 --> 00:01:49.000]  做些什麼呢
[00:01:49.000 --> 00:01:51.000]  香港的小朋友就不會做這些事
[00:01:51.000 --> 00:01:53.000]  你今天有沒有洗澡
[00:01:53.000 --> 00:01:55.000]  今天沒有
[00:01:55.000 --> 00:01:57.000]  昨天有沒有洗澡
[00:01:57.000 --> 00:01:59.000]  昨天沒有洗澡
[00:01:59.000 --> 00:02:01.000]  那裡的小朋友
[00:02:01.000 --> 00:02:03.000]  你問他
[00:02:03.000 --> 00:02:05.000]  你多久洗一次頭
[00:02:05.000 --> 00:02:07.000]  他回答一句單字
[00:02:07.000 --> 00:02:09.000]  Never
[00:02:09.000 --> 00:02:11.000]  Never
[00:02:11.000 --> 00:02:13.000]  那些頭髮有失禮
[00:02:13.000 --> 00:02:15.000]  所以我們弟兄姊妹幫他們
[00:02:15.000 --> 00:02:17.000]  其中一樣就是要洗澡
[00:02:17.000 --> 00:02:19.000]  男的洗澡 女的洗澡
[00:02:19.000 --> 00:02:21.000]  小朋友來的
[00:02:21.000 --> 00:02:23.000]  洗頭 還要用特別的藥水去洗頭
[00:02:23.000 --> 00:02:25.000]  因為頭髮是有頭塞的
[00:02:25.000 --> 00:02:27.000]  拿把梳梳
[00:02:27.000 --> 00:02:29.000]  就會看到一隻一隻的那些頭髮
[00:02:29.000 --> 00:02:31.000]  其中一位姊妹
[00:02:31.000 --> 00:02:33.000]  做完一輪事之後
[00:02:33.000 --> 00:02:35.000]  全身很多黑芝麻在那裡
[00:02:35.000 --> 00:02:37.000]  我問這是什麼
[00:02:37.000 --> 00:02:39.000]  原來一隻一隻抓在身上的那些
[00:02:39.000 --> 00:02:41.000]  就是頭塞
[00:02:41.000 --> 00:02:43.000]  於是我就叫她女兒
[00:02:43.000 --> 00:02:45.000]  我給她一塊膠紙
[00:02:45.000 --> 00:02:47.000]  在她身上貼一貼 貼了四隻
[00:02:47.000 --> 00:02:49.000]  貼一下
[00:02:49.000 --> 00:02:51.000]  現在放在我電話那裡
[00:02:51.000 --> 00:02:53.000]  你問牧師拍照嗎
[00:02:53.000 --> 00:02:55.000]  不是 是真的
[00:02:55.000 --> 00:02:57.000]  如果待會想看我給你看
[00:02:57.000 --> 00:02:59.000]  不過已經不能動了
[00:02:59.000 --> 00:03:01.000]  這裡就是這次我們去柬埔寨
[00:03:01.000 --> 00:03:03.000]  短孫的其中一樣東西
[00:03:03.000 --> 00:03:05.000]  就是去那裡和小朋友
[00:03:05.000 --> 00:03:07.000]  教他們唱歌
[00:03:07.000 --> 00:03:09.000]  他們講簡文
[00:03:09.000 --> 00:03:11.000]  但是很多小朋友開始有機會學英文
[00:03:11.000 --> 00:03:13.000]  有一個小妹妹上到台上
[00:03:13.000 --> 00:03:15.000]  她整首
[00:03:15.000 --> 00:03:17.000]  Jesus loves me this I know
[00:03:17.000 --> 00:03:19.000]  Tell me so
[00:03:19.000 --> 00:03:21.000]  整首歌唱出來
[00:03:21.000 --> 00:03:23.000]  很純正的英文
[00:03:23.000 --> 00:03:25.000]  所以我們和今天講到
[00:03:25.000 --> 00:03:27.000]  五色蜂有什麼關係
[00:03:27.000 --> 00:03:29.000]  就是我們還去探訪那些家庭
[00:03:29.000 --> 00:03:31.000]  因為小朋友來
[00:03:31.000 --> 00:03:33.000]  那些小朋友
[00:03:33.000 --> 00:03:35.000]  比他小這麼大都自己到處走
[00:03:35.000 --> 00:03:37.000]  沒有鞋穿
[00:03:37.000 --> 00:03:39.000]  不穿鞋的
