
[00:00:00.000 --> 00:00:02.700]  最近思想到耶穌基督的生平
[00:00:02.700 --> 00:00:04.400]  曾經一段很長的時間
[00:00:04.400 --> 00:00:08.000]  都是講到保羅的書信和保羅的生平故事
[00:00:08.000 --> 00:00:10.800]  最近就想進入耶穌的生平故事
[00:00:10.800 --> 00:00:14.900]  今天選了一段是講到耶穌誕生的時候
[00:00:14.900 --> 00:00:19.000]  是經歷冰冷、貧窮和卑微的生命
[00:00:19.000 --> 00:00:20.900]  在世代裏面有時很艱難
[00:00:20.900 --> 00:00:22.700]  就是基督有時覺得不順利
[00:00:22.700 --> 00:00:25.400]  或者自己都遭遇一些逆境的時候
[00:00:25.400 --> 00:00:29.000]  有時最危險就是將自己的心都冰冷了
[00:00:29.000 --> 00:00:31.400]  耶穌基督特別想起第一個聖誕
[00:00:31.400 --> 00:00:33.300]  耶穌誕生的故事的時候
[00:00:33.300 --> 00:00:37.000]  祂自己經歷冰冷、貧窮和卑微
[00:00:37.000 --> 00:00:39.100]  祂卻帶著一個火熱的心
[00:00:39.100 --> 00:00:40.600]  熱愛世人的心
[00:00:40.600 --> 00:00:42.400]  將光芒臨到世界
[00:00:42.400 --> 00:00:44.700]  盼望我們都有耶穌基督的生命
[00:00:44.700 --> 00:00:47.400]  我們看今天經文臨後第八章第九節
[00:00:47.400 --> 00:00:48.900]  楊枫欽一章十一節
[00:00:48.900 --> 00:00:51.000]  和盧家峰第二章八到十一二節
[00:00:51.000 --> 00:00:52.700]  這幾節經文一起讀
[00:00:52.700 --> 00:00:56.400]  你們知道我們主耶穌基督的恩典
[00:00:56.400 --> 00:01:00.400]  祂本來富足卻為你們成了貧窮
[00:01:00.400 --> 00:01:04.300]  叫你們因祂的貧窮可以成為富足
[00:01:04.300 --> 00:01:06.400]  祂到自己的地方來
[00:01:06.400 --> 00:01:08.900]  自己的人都不接待祂
[00:01:08.900 --> 00:01:12.200]  在伯利恆之野地裡有牧羊的人
[00:01:12.200 --> 00:01:15.800]  野家安就更似看守羊群
[00:01:15.800 --> 00:01:19.000]  有主的使者站在他們旁邊
[00:01:19.000 --> 00:01:21.900]  主的榮光四面照著他們
[00:01:21.900 --> 00:01:24.400]  牧羊的人就甚懼怕
[00:01:24.400 --> 00:01:26.400]  那天使對他們說
[00:01:26.400 --> 00:01:27.600]  不要懼怕
[00:01:27.600 --> 00:01:30.000]  我報給你們大氣的訊息
[00:01:30.000 --> 00:01:31.900]  是關乎萬民的
[00:01:31.900 --> 00:01:34.200]  因今天在大圍的城裡
[00:01:34.200 --> 00:01:36.100]  為你們生了救主
[00:01:36.100 --> 00:01:37.800]  就是主基督
[00:01:37.800 --> 00:01:40.100]  你們要看見一個嬰孩
[00:01:40.100 --> 00:01:42.700]  包著布臥在馬路裡
[00:01:42.700 --> 00:01:44.800]  那就是記號了
[00:01:44.800 --> 00:01:47.700]  就好像最近默想到耶穌基督的生平
[00:01:47.700 --> 00:01:49.700]  特別是耶穌基督誕生的時候
[00:01:49.700 --> 00:01:51.400]  感受到耶穌基督
[00:01:51.400 --> 00:01:54.700]  身處在一個冰冷絕情的世代裡
[00:01:54.700 --> 00:01:58.100]  祂進入一個相對非常冰冷絕情的世代
[00:01:58.100 --> 00:01:59.400]  祂是讓我們明白到
[00:01:59.400 --> 00:02:00.600]  我們主要是明白
[00:02:00.600 --> 00:02:03.100]  人類經歷的冰冷和絕情
[00:02:03.100 --> 00:02:04.200]  祂要救那些
[00:02:04.200 --> 00:02:08.000]  拯救那些遭遇冰冷絕情的人
[00:02:08.000 --> 00:02:10.200]  耶穌基督來到世界
[00:02:10.200 --> 00:02:12.100]  一個破碎的世界
[00:02:12.100 --> 00:02:13.100]  父神讓我們明白
