
[00:00:00.000 --> 00:00:01.760]  再過兩天就是
[00:00:01.760 --> 00:00:04.140]  美國的
[00:00:04.140 --> 00:00:07.620]  什麼
[00:00:07.620 --> 00:00:10.900]  國慶日
[00:00:10.900 --> 00:00:15.120]  其實每一次當我們想到國慶日的時候
[00:00:15.120 --> 00:00:16.920]  不要只想到放煙火
[00:00:16.920 --> 00:00:20.400]  或者是烤肉
[00:00:20.400 --> 00:00:23.300]  就像在台灣每次沖秋節 大家現在只想到什麼
[00:00:23.300 --> 00:00:24.300]  烤肉
[00:00:24.300 --> 00:00:29.520]  Independent 美國的獨立經濟激烈日
[00:00:29.520 --> 00:00:32.880]  美國的國慶日是一個很重要的
[00:00:32.880 --> 00:00:35.940]  因為這個國家是一個信靠上帝的國家
[00:00:35.940 --> 00:00:36.940]  Amen
[00:00:36.940 --> 00:00:41.920]  所以紀念這個耶穌 紀念這個國慶日的時候
[00:00:41.920 --> 00:00:44.580]  我們更應該想到這個國家
[00:00:44.580 --> 00:00:47.900]  是一個按照上帝的名所建立的國家
[00:00:47.900 --> 00:00:50.780]  這個國家應該要回到上帝的面前了 Amen
[00:00:50.780 --> 00:00:57.040]  我們最近在這段時間裡面
[00:00:57.040 --> 00:00:58.940]  我們講格羅西斯的信息
[00:00:59.860 --> 00:01:03.520]  我們一直都看見整個保羅的信息裡面
[00:01:03.520 --> 00:01:05.200]  強調一件事情
[00:01:05.200 --> 00:01:08.800]  除了基督以外 沒有其他任何的
[00:01:08.800 --> 00:01:11.840]  意識形態 主義 世界的潮流
[00:01:11.840 --> 00:01:14.340]  或者一切世界上面的功臣民舊
[00:01:14.340 --> 00:01:16.640]  可以代替耶穌基督 Amen
[00:01:16.640 --> 00:01:19.580]  所以在
[00:01:19.580 --> 00:01:21.940]  這個
[00:01:21.940 --> 00:01:26.000]  今天的這段經文裡面我們看見
[00:01:26.000 --> 00:01:28.720]  我們稍微複習一下
[00:01:28.720 --> 00:01:31.640]  整個保羅在講到第二章的時候
[00:01:31.640 --> 00:01:34.720]  你看 在第九節到十二節
[00:01:34.720 --> 00:01:36.420]  保羅是要對付
[00:01:36.420 --> 00:01:40.540]  當時候教會受到所謂希臘哲學的影響
[00:01:40.540 --> 00:01:43.640]  也就是理性主義的影響
[00:01:43.640 --> 00:01:45.640]  那麼十三到十七節
[00:01:45.640 --> 00:01:48.640]  他要對付的是猶太教的這種律法
[00:01:48.640 --> 00:01:51.660]  回到律法規條裡面 回到律法的主義裡面
[00:01:51.660 --> 00:01:53.760]  保羅對付這一個
[00:01:53.760 --> 00:01:57.220]  十八到十九節 保羅是要對付那個神秘主義
[00:01:57.220 --> 00:02:01.160]  就是那個自己認為自己有一個超然經驗的
[00:02:01.160 --> 00:02:03.760]  我就想到最近有一個名字出來
[00:02:03.760 --> 00:02:05.740]  就是要那個什麼 廟什麼
[00:02:05.740 --> 00:02:07.260]  台灣叫什麼
[00:02:07.260 --> 00:02:11.740]  廟天 是廟天嘛
[00:02:11.740 --> 00:02:14.660]  他有個地址叫廟禪 是不是
[00:02:14.660 --> 00:02:17.700]  這一些
[00:02:17.700 --> 00:02:20.900]  他認為自己跟這個神明
[00:02:20.900 --> 00:02:24.900]  有所謂的親密的關係 或者有很親切的關係的人
[00:02:24.900 --> 00:02:28.020]  常常就會變成是 他吸引一大批的匯眾
[00:02:28.020 --> 00:02:30.980]  聽說廟天在台灣有三十萬的匯眾
[00:02:30.980 --> 00:02:33.300]  所以各黨派都想要找他
[00:02:33.300 --> 00:02:35.540]  anyway 今天不談政治
[00:02:35.540 --> 00:02:38.560]  但今天我們要講的是
[00:02:38.560 --> 00:02:41.660]  保羅接下來在第二章最後要
[00:02:41.660 --> 00:02:44.680]  要對付的就是
[00:02:44.680 --> 00:02:47.300]  這個所謂的苦羞主義
[00:02:47.300 --> 00:02:52.820]  好 我們先來看看
[00:02:55.880 --> 00:02:58.980]  在這個希臘哲學當中
[00:02:58.980 --> 00:03:03.400]  曾經有一段時間 有兩派的哲學思想
[00:03:03.400 --> 00:03:07.700]  影響當時候的整個的民眾
[00:03:07.700 --> 00:03:11.820]  那麼這兩個哲學思想呢
[00:03:11.820 --> 00:03:15.020]  一個叫做伊比鳩魯 是不是
[00:03:15.020 --> 00:03:19.200]  那麼另外一個叫做什麼
[00:03:21.780 --> 00:03:25.980]  叫做斯多噶 有的把他翻成叫斯多亞
[00:03:25.980 --> 00:03:28.260]  那麼一個呢
[00:03:28.260 --> 00:03:32.080]  這個伊比鳩魯跟這個斯多亞
[00:03:32.080 --> 00:03:36.180]  其實你看保羅在聖經裡面使徒行在十七章
[00:03:36.180 --> 00:03:39.280]  十七章十八節
[00:03:39.280 --> 00:03:43.540]  保羅在這段聖經裡面 他提到了這兩個教派
[00:03:43.540 --> 00:03:48.020]  我唸給大家聽好 使徒行在十七章十八節
[00:03:48.020 --> 00:03:53.880]  還有伊比鳩魯和斯多亞兩門的學士與他爭論
[00:03:53.880 --> 00:03:56.860]  所以他提到這兩個
[00:03:56.860 --> 00:03:59.640]  當然翻譯他把他一個叫做伊比鳩魯
[00:03:59.640 --> 00:04:01.780]  就是這個伊比鳩魯
[00:04:01.780 --> 00:04:05.500]  另外一個叫做斯多亞 他把他翻成斯多亞
[00:04:05.500 --> 00:04:09.080]  那麼我們也有人 也很多把他翻成叫做斯多噶
[00:04:09.080 --> 00:04:10.660]  噶就是我的噶
[00:04:10.660 --> 00:04:15.920]  這個伊比鳩魯呢
[00:04:15.920 --> 00:04:18.840]  是古希臘哲學家
[00:04:18.840 --> 00:04:21.220]  他所創的學派
[00:04:21.220 --> 00:04:26.780]  他教導人快樂乃是人生最高的美德
