
[00:00:00.000 --> 00:00:03.940]  我相信在人生當中,事實上有很多的謎團
[00:00:03.940 --> 00:00:08.640]  我們是似知,似不知,似明,似不明的
[00:00:08.640 --> 00:00:14.560]  其中一個謎團就是人為何而生
[00:00:14.560 --> 00:00:18.580]  人到底是為了什麼而生存在這個世界上呢?
[00:00:18.580 --> 00:00:23.440]  我不知道大家有沒有曾經問過這個問題
[00:00:23.440 --> 00:00:27.720]  不是問出聲的,可能在心裡面想過這個問題
[00:00:27.720 --> 00:00:31.880]  這個問題其實可以有一個很簡單的答案
[00:00:31.880 --> 00:00:36.040]  人為何而生很簡單,我父母要小孩
[00:00:36.040 --> 00:00:40.400]  年紀不小了,要開始家庭了,就生了我出來
[00:00:40.400 --> 00:00:44.360]  這是最簡單的答案,為什麼你生在這個世界上
[00:00:44.360 --> 00:00:47.920]  如果從這個觀點去看,可能有些人會告訴你
[00:00:47.920 --> 00:00:52.080]  其實我是我父母的意外產品
[00:00:52.080 --> 00:00:57.080]  沒想過忽然之間一個意外就多了我出來,我就在這裡
[00:00:57.080 --> 00:00:59.120]  有可能有些人更加會告訴你
[00:00:59.120 --> 00:01:01.440]  其實我父母是不想要我的
[00:01:01.440 --> 00:01:04.480]  因為他見到我,就會想起一些傷心事
[00:01:04.480 --> 00:01:08.600]  不過,anyway,生了我出來了,that's why I'm here
[00:01:08.600 --> 00:01:10.920]  於是我就生在這裡
[00:01:10.920 --> 00:01:16.160]  可能你還可以聽到很多類似這些答案
[00:01:16.160 --> 00:01:20.920]  但無論如何,大家會發覺一個事實是什麼呢?
[00:01:20.920 --> 00:01:27.920]  人是不能夠選擇生存在這個世界上的
[00:01:27.920 --> 00:01:30.040]  我們沒有這個選擇權
[00:01:30.040 --> 00:01:32.320]  選擇權不在我們的手上
[00:01:32.320 --> 00:01:34.880]  不過,當我們生在這個世界上的時候
[00:01:34.880 --> 00:01:42.560]  我們可以選擇為何而活,如何去生活
[00:01:42.560 --> 00:01:46.360]  所以今天,事實上,我跟大家分享的是
[00:01:46.360 --> 00:01:52.440]  人為何仍要生活在這個世界上
[00:01:52.440 --> 00:01:57.880]  人活著,到底有什麼意義和目的呢?
[00:01:57.880 --> 00:02:01.000]  如果人是不會思考的
[00:02:01.000 --> 00:02:03.080]  人沒有思想的,人沒有靈魂的
[00:02:03.080 --> 00:02:04.920]  如果你不相信這些的話
[00:02:04.920 --> 00:02:06.960]  好像其他動物一樣
[00:02:06.960 --> 00:02:09.200]  其實,可能你不需要問這個問題
[00:02:09.200 --> 00:02:11.600]  甚至你根本就不會問這個問題
[00:02:11.600 --> 00:02:13.560]  你沒有思想的
[00:02:13.560 --> 00:02:18.440]  你沒有靈魂的,你怎麼會問這個問題呢?
[00:02:18.440 --> 00:02:19.760]  這個問題是什麼呢?
[00:02:19.760 --> 00:02:22.480]  這個問題是因為我們有思想
[00:02:22.480 --> 00:02:24.840]  所謂的迪卡爾語:我思故我在
[00:02:24.840 --> 00:02:27.840]  因為我們有思想,我們相信人有靈魂的
[00:02:27.840 --> 00:02:29.640]  所以很多時候,我們會發覺
[00:02:29.640 --> 00:02:32.720]  很多時候,不知不覺地,很自然地
[00:02:32.720 --> 00:02:35.320]  這些問題,就算你不問出口
[00:02:35.320 --> 00:02:38.400]  會在我們腦海裡面閃過
[00:02:38.400 --> 00:02:40.160]  有沒有閃過這些問題?
[00:02:40.160 --> 00:02:43.120]  有沒有曾經問過?
[00:02:43.120 --> 00:02:47.560]  這樣每天生活,是為了什麼呢?
[00:02:47.560 --> 00:02:49.040]  這樣生活有什麼意思呢?
[00:02:49.040 --> 00:02:51.040]  為什麼我會繼續這樣生活下去呢?
[00:02:51.040 --> 00:02:55.080]  到底,我應該怎樣繼續生活呢?
[00:02:55.080 --> 00:02:57.200]  特別現在我們生活壓力這麼大的時候
[00:02:57.200 --> 00:03:00.200]  我相信時不時,這些類似的問題
[00:03:00.200 --> 00:03:05.880]  都會可能在我們腦海裡面閃過
[00:03:05.880 --> 00:03:08.280]  如果你和我都會這樣想
[00:03:08.280 --> 00:03:12.800]  你想想,被稱為全世界最有智慧的人
[00:03:12.800 --> 00:03:16.080]  前無古人,後無來者的所羅門王
[00:03:16.080 --> 00:03:17.840]  他會不會這樣想呢?
[00:03:17.840 --> 00:03:19.160]  會不會啊?
[00:03:19.160 --> 00:03:20.600]  當然會啦
[00:03:20.600 --> 00:03:23.080]  那你知不知道他怎麼想的呢?
[00:03:23.080 --> 00:03:26.440]  這個人很厲害的,他不僅是會想
[00:03:26.440 --> 00:03:28.480]  他還會付諸實行
[00:03:28.480 --> 00:03:33.400]  我們看看《傳道書》第二章
[00:03:33.400 --> 00:03:35.640]  《傳道書》第二章,第一到第十二節
[00:03:35.640 --> 00:03:38.840]  我們看看他想些什麼,做些什麼
[00:03:38.840 --> 00:03:40.040]  所羅門王說
[00:03:40.040 --> 00:03:42.880]  我心裡面這麼想,來吧
[00:03:42.880 --> 00:03:47.840]  不如盡情快樂,好好享受一下吧
[00:03:47.840 --> 00:03:51.600]  唉,這也是毫無意義的
[00:03:51.600 --> 00:03:55.520]  歡笑啊,這只是一陣的瘋狂
[00:03:55.520 --> 00:03:59.280]  享樂啊,你帶來什麼呢?
[00:03:59.280 --> 00:04:02.920]  於是我決意用酒刺激自己
[00:04:02.920 --> 00:04:04.960]  但仍然保持理智
[00:04:04.960 --> 00:04:07.760]  他才做得到,我相信
[00:04:07.760 --> 00:04:10.600]  仍然保持理智去體驗荒唐的生活
[00:04:10.600 --> 00:04:13.640]  直至找出在短暫的人生中
[00:04:13.640 --> 00:04:17.160]  人究竟可以做些什麼為止
[00:04:17.160 --> 00:04:19.000]  我為了得到滿足
[00:04:19.000 --> 00:04:21.920]  便為自己興建亭台樓閣
[00:04:21.920 --> 00:04:23.440]  栽種葡萄園
[00:04:23.440 --> 00:04:25.640]  開墾花圃園友
[00:04:25.640 --> 00:04:28.200]  遍植果樹開作池塘
[00:04:28.200 --> 00:04:30.080]  繞貫叢林
[00:04:30.080 --> 00:04:32.200]  我買了瀑皮又有家爐
[00:04:32.200 --> 00:04:36.160]  所擁有的牛羊遠超過耶路撒冷
[00:04:36.160 --> 00:04:38.160]  歷來的人所有的
[00:04:38.160 --> 00:04:40.360]  我又為自己積聚金銀
[00:04:40.360 --> 00:04:43.600]  蒐羅帝王和各省的奇珍異寶
[00:04:43.600 --> 00:04:46.360]  又為自己組織歌頌團
[00:04:46.360 --> 00:04:48.480]  召入無數的妃嬪
[00:04:48.480 --> 00:04:51.080]  極盡聲勢奢華
[00:04:51.080 --> 00:04:53.840]  這樣我便財勢逸增
[00:04:53.840 --> 00:04:57.160]  享譽盛名
[00:04:57.160 --> 00:05:00.520]  超過耶路撒冷歷來所有的人
[00:05:00.520 --> 00:05:04.000]  然而我的智慧依然存在
[00:05:04.000 --> 00:05:08.480]  凡我眼所愛恨心所渴慕的
[00:05:08.480 --> 00:05:10.600]  我都不加抑制
[00:05:10.600 --> 00:05:12.520]  只管盡情享受
[00:05:12.520 --> 00:05:17.600]  因這一切都是我用努力換取回來的
[00:05:17.600 --> 00:05:22.480]  當我回顧我手伸勤所建樹的一切時
[00:05:22.480 --> 00:05:23.800]  唉
[00:05:23.800 --> 00:05:30.480]  便發覺這些都只不過是暴風一般的虛無縹緲
[00:05:30.480 --> 00:05:33.200]  在日光之下的一切事物
[00:05:33.200 --> 00:05:38.000]  都沒有半點逆轉
[00:05:38.000 --> 00:05:43.080]  從所魯門王的描述當中我們會發覺
[00:05:43.080 --> 00:05:44.920]  今天很多人
[00:05:44.920 --> 00:05:46.240]  一般人
[00:05:46.240 --> 00:05:49.360]  以為可以帶給我們生活意義
[00:05:49.360 --> 00:05:53.520]  成為我們人生目的的事物
[00:05:53.520 --> 00:05:56.720]  所魯門王全部都有了
[00:05:56.720 --> 00:05:57.920]  是吧
[00:05:57.920 --> 00:05:59.400]  這些包括什麼呢
[00:05:59.400 --> 00:06:02.360]  金銀滿屋,他當然有錢
[00:06:02.360 --> 00:06:05.840]  電影里有所魯門王的寶座
[00:06:05.840 --> 00:06:06.960]  但除此之外
[00:06:06.960 --> 00:06:12.040]  不單單他有錢,有名譽,有地位,有身份,有權柄
[00:06:12.040 --> 00:06:14.600]  對社會,對國家有建樹
[00:06:14.600 --> 00:06:16.440]  個人有很大的成就
